# Time(ps) CRYO_average_angle(degrees) CRYO_std
0.000000000000000000e+00 5.161284218716841821e+01 6.971068205530172976e-06
1.000000000000000000e+03 4.715334090932388733e+01 2.581189517308601022e+00
2.000000000000000000e+03 4.589510047968845186e+01 1.466465173940356248e+00
3.000000000000000000e+03 4.489534383588122779e+01 3.695612198196819964e+00
4.000000000000000000e+03 4.526310806500936934e+01 4.910893896556009608e+00
5.000000000000000000e+03 4.473659101772305036e+01 6.169975261586043480e+00
6.000000000000000000e+03 4.477413972066814551e+01 4.585463983052122217e+00
7.000000000000000000e+03 4.645727668792754628e+01 1.002946307864729292e+01
8.000000000000000000e+03 4.455518697999139732e+01 7.066347868683585887e+00
9.000000000000000000e+03 4.296472399185866209e+01 1.037092255415192632e+01
1.000000000000000000e+04 4.288509216449757844e+01 7.348781679921521537e+00
1.100000000000000000e+04 4.416727388277412558e+01 9.002553954328051944e+00
1.200000000000000000e+04 4.388185959850644480e+01 5.730075791413018926e+00
1.300000000000000000e+04 4.101938288529724730e+01 6.437067201447141507e+00
1.400000000000000000e+04 4.724659058737050543e+01 1.069672431680182534e+01
1.500000000000000000e+04 4.283160426518496422e+01 8.356846000615854919e+00
1.600000000000000000e+04 4.444517574075688060e+01 5.153947445891753354e+00
1.700000000000000000e+04 4.620789851813839988e+01 6.508207866620169035e+00
1.800000000000000000e+04 4.664786924696103654e+01 1.066803571383473681e+01
1.900000000000000000e+04 4.121447842224490188e+01 8.383286243927747350e+00
2.000000000000000000e+04 4.309178547034682794e+01 6.778806467083395404e+00
2.100000000000000000e+04 4.276800300001454502e+01 8.147098073029365395e+00
2.200000000000000000e+04 4.394687076292744621e+01 8.194379860480976774e+00
2.300000000000000000e+04 4.212178508058578075e+01 7.596372904974420415e+00
2.400000000000000000e+04 4.324842325325090542e+01 7.549532954207003321e+00
2.500000000000000000e+04 4.425791771644014005e+01 9.148112802665039567e+00
2.600000000000000000e+04 4.540722254865611518e+01 8.834579872689456437e+00
2.700000000000000000e+04 4.576248617717370593e+01 9.115550064544841291e+00
2.800000000000000000e+04 4.512620169157160888e+01 4.284612939324007108e+00
2.900000000000000000e+04 4.049008427600076487e+01 3.150782436567076239e+00
3.000000000000000000e+04 4.424501962609872407e+01 4.512683278733724990e+00
3.100000000000000000e+04 4.571767346256223163e+01 5.026959317316654463e+00
3.200000000000000000e+04 4.229201271350500235e+01 7.388233324096176169e+00
3.300000000000000000e+04 4.722856368525816606e+01 8.690941234508153812e+00
3.400000000000000000e+04 4.417103539950296920e+01 9.088316452147573443e+00
3.500000000000000000e+04 4.547491538853989823e+01 4.755282994948457187e+00
3.600000000000000000e+04 4.606668635364128761e+01 5.618111328058474463e+00
3.700000000000000000e+04 4.663252842210227556e+01 8.984983923179150622e+00
3.800000000000000000e+04 4.203704828792916004e+01 8.437570320129148982e+00
3.900000000000000000e+04 4.469602452407118420e+01 5.335304727580990836e+00
4.000000000000000000e+04 4.232378214699881624e+01 4.881282429045509907e+00
4.100000000000000000e+04 4.610433233452410917e+01 4.829114629620534060e+00
4.200000000000000000e+04 4.270997702057396594e+01 8.699933454956656931e+00
4.300000000000000000e+04 4.058572806120069743e+01 7.063769854837055107e+00
4.400000000000000000e+04 4.331638089407103820e+01 5.647761365616335461e+00
4.500000000000000000e+04 4.528091558383526660e+01 7.540328733877592171e+00
4.600000000000000000e+04 4.494795452765832522e+01 6.205572394360882704e+00
4.700000000000000000e+04 4.722441466283852662e+01 7.203661250054118170e+00
4.800000000000000000e+04 4.476714545128807998e+01 7.527855652886307425e+00
4.900000000000000000e+04 4.226979066926140405e+01 6.560902010348116598e+00
5.000000000000000000e+04 4.358403315489796626e+01 3.775835050584607000e+00
5.100000000000000000e+04 4.434801407001511109e+01 3.144482321429975524e+00
5.200000000000000000e+04 4.280538665879218740e+01 5.893023559207740902e+00
5.300000000000000000e+04 4.330038052310732155e+01 5.068320961527430946e+00
5.400000000000000000e+04 4.469027248867054425e+01 5.673614526966925808e+00
5.500000000000000000e+04 4.354603901099645213e+01 6.749840468673300897e+00
5.600000000000000000e+04 4.355182579045587232e+01 6.203326691967527395e+00
5.700000000000000000e+04 4.216627357600866333e+01 4.465294559096181892e+00
5.800000000000000000e+04 4.388590369493602594e+01 3.730749346121527310e+00
5.900000000000000000e+04 4.213543513744333069e+01 5.115643360215748281e+00
6.000000000000000000e+04 4.393217751467786059e+01 5.619757145330915193e+00
6.100000000000000000e+04 4.546446861309888021e+01 6.829183797294936298e+00
6.200000000000000000e+04 4.619583551130520505e+01 5.141021719878362539e+00
6.300000000000000000e+04 4.528334962532024122e+01 5.269074370827078191e+00
6.400000000000000000e+04 4.772814472990255297e+01 8.557035477533524670e+00
6.500000000000000000e+04 4.741117825568026944e+01 8.408149900396361787e+00
6.600000000000000000e+04 4.555323522751900356e+01 1.007343912250546580e+01
6.700000000000000000e+04 4.774650982469135840e+01 9.399486063973121475e+00
6.800000000000000000e+04 4.608691804440520912e+01 7.493348931836160354e+00
6.900000000000000000e+04 4.337101290006590659e+01 6.885516330326858281e+00
7.000000000000000000e+04 4.506914878726644247e+01 4.601522295979983745e+00
7.100000000000000000e+04 4.312953438502318448e+01 6.909908718713959175e+00
7.200000000000000000e+04 4.359535463617496021e+01 6.360259537838379273e+00
7.300000000000000000e+04 4.521637175901480532e+01 4.866418932292684296e+00
7.400000000000000000e+04 4.660203672581455692e+01 6.501803062765209695e+00
7.500000000000000000e+04 4.409232351075222311e+01 4.798758491991939934e+00
7.600000000000000000e+04 4.328878696306610152e+01 5.441569105182379573e+00
7.700000000000000000e+04 4.486284642173320947e+01 5.647718368345340245e+00
7.800000000000000000e+04 4.250595731155017631e+01 7.609306140991337841e+00
7.900000000000000000e+04 4.362320614072060465e+01 5.716865698996352663e+00
8.000000000000000000e+04 4.589585792160203681e+01 5.888123824288411079e+00
8.100000000000000000e+04 4.348180483408700781e+01 3.608604335836339327e+00
8.200000000000000000e+04 4.564858145724802796e+01 5.921818928371257229e+00
8.300000000000000000e+04 4.524610394119268619e+01 8.129266294969324846e+00
8.400000000000000000e+04 4.205229314194005497e+01 7.340261936791632635e+00
8.500000000000000000e+04 4.181736462039251734e+01 1.216446191131146648e+01
8.600000000000000000e+04 4.187386178394668690e+01 9.170709908244170094e+00
8.700000000000000000e+04 4.164634784184450211e+01 7.872031215879584209e+00
8.800000000000000000e+04 4.187338427789913453e+01 8.461700820377608068e+00
8.900000000000000000e+04 4.346104195938261228e+01 1.163247093952592515e+01
