# Time(ps) ATP_average_angle(degrees) ATP_std
0.000000000000000000e+00 5.161285177238757882e+01 7.105427357601001859e-15
1.000000000000000000e+03 4.838577462782404837e+01 2.947253194509293905e+00
2.000000000000000000e+03 4.710030959098615710e+01 2.671913077742992471e+00
3.000000000000000000e+03 5.155954369279951521e+01 2.816690738133862837e+00
4.000000000000000000e+03 4.998076470004731675e+01 1.595676872426875725e+00
5.000000000000000000e+03 5.169287648578123395e+01 5.037864755066835620e+00
6.000000000000000000e+03 5.022825873035608168e+01 6.135206149779567575e+00
7.000000000000000000e+03 5.125186919394680274e+01 5.007241256522725337e+00
8.000000000000000000e+03 4.966419690342486604e+01 2.738446581672363767e+00
9.000000000000000000e+03 4.870258305422243694e+01 4.453067316735082493e+00
1.000000000000000000e+04 4.786590503566734611e+01 2.695139338323157219e+00
1.100000000000000000e+04 4.773782595862793698e+01 5.217981880714375187e+00
1.200000000000000000e+04 4.665215093119940803e+01 2.500003796161785807e+00
1.300000000000000000e+04 4.627231557060680700e+01 4.314628396343411332e+00
1.400000000000000000e+04 4.498354841226326073e+01 5.799416773770332156e+00
1.500000000000000000e+04 4.773860818895874303e+01 3.377036987395509282e+00
1.600000000000000000e+04 4.425305526961516023e+01 5.050726514262772859e+00
1.700000000000000000e+04 4.549179064384714621e+01 6.244764313697053204e+00
1.800000000000000000e+04 4.555176969662283426e+01 4.474524929905885351e+00
1.900000000000000000e+04 4.516794202587871609e+01 4.312635395116661385e+00
2.000000000000000000e+04 4.369439300390589409e+01 4.641855619150301315e+00
2.100000000000000000e+04 5.004458748088647013e+01 5.721202482506867248e+00
2.200000000000000000e+04 4.636268866024026636e+01 5.165830940039763064e+00
2.300000000000000000e+04 4.619134709764183810e+01 3.821414950793623255e+00
2.400000000000000000e+04 4.783370042213398676e+01 3.406038079495856685e+00
2.500000000000000000e+04 4.564332277560843920e+01 6.181481440847170994e+00
2.600000000000000000e+04 4.477783352468555478e+01 4.483277290421376016e+00
2.700000000000000000e+04 4.522430131414212440e+01 6.995016627350088001e+00
2.800000000000000000e+04 4.434918182756278782e+01 5.482150383927450576e+00
2.900000000000000000e+04 4.843032761039376055e+01 5.612287269650431121e+00
3.000000000000000000e+04 4.926750717494294207e+01 5.964390160368052918e+00
3.100000000000000000e+04 4.701594587560883554e+01 5.103568669988571394e+00
3.200000000000000000e+04 4.773366930552522547e+01 3.930661025843749101e+00
3.300000000000000000e+04 4.646155945334873394e+01 2.638881098528996549e+00
3.400000000000000000e+04 4.808945561710606853e+01 4.150091964123821420e+00
3.500000000000000000e+04 4.855949197424580177e+01 4.480802748173276839e+00
3.600000000000000000e+04 4.528093522517480096e+01 1.522177663408203374e+00
3.700000000000000000e+04 4.371281114189509509e+01 5.707865268551477911e+00
3.800000000000000000e+04 4.576532192192355808e+01 4.301505653983299204e+00
3.900000000000000000e+04 4.951072326576224469e+01 5.595704835295986612e+00
4.000000000000000000e+04 4.672675702494928629e+01 5.272606505435790680e+00
4.100000000000000000e+04 4.580706894568326248e+01 4.158655050506012252e+00
4.200000000000000000e+04 4.642475916293130211e+01 4.634552088267362535e+00
4.300000000000000000e+04 4.594126161470933312e+01 8.009834333484750601e+00
4.400000000000000000e+04 4.649674849316001257e+01 4.926536130318672768e+00
4.500000000000000000e+04 4.403004265246472926e+01 5.742979173535659676e+00
4.600000000000000000e+04 4.341840562391115554e+01 5.608487882301909089e+00
4.700000000000000000e+04 4.565067827282629054e+01 4.188442080011288482e+00
4.800000000000000000e+04 4.413283073528408806e+01 7.337318033954224106e+00
4.900000000000000000e+04 4.581649325897474512e+01 3.069348297600022590e+00
5.000000000000000000e+04 4.755971477605076103e+01 4.186042055881681989e+00
5.100000000000000000e+04 4.792137115319791008e+01 3.347138952068324791e+00
5.200000000000000000e+04 4.938575335701749225e+01 4.077157810097856050e+00
5.300000000000000000e+04 4.781319257988283766e+01 5.254665815978970755e+00
5.400000000000000000e+04 4.799627686021956663e+01 1.009189467045289135e+01
5.500000000000000000e+04 4.714457327597178704e+01 8.312279766762417310e+00
5.600000000000000000e+04 4.726561487700492847e+01 8.767708220163054733e+00
5.700000000000000000e+04 4.883138018926092627e+01 6.756836132389534733e+00
5.800000000000000000e+04 4.513674671680554695e+01 1.106726380581610103e+00
5.900000000000000000e+04 4.909321701486847189e+01 3.495236180307200957e+00
6.000000000000000000e+04 4.949181211232068733e+01 8.232795581835770093e+00
6.100000000000000000e+04 4.883711297422046727e+01 6.480183497352777877e+00
6.200000000000000000e+04 4.957992176698923004e+01 3.488531758415784445e+00
6.300000000000000000e+04 4.910539726409637495e+01 1.221185747988364989e+00
6.400000000000000000e+04 4.664968747494648937e+01 7.885170902906141421e+00
6.500000000000000000e+04 5.358103889996412050e+01 8.413773673361323091e+00
6.600000000000000000e+04 5.024139749912006891e+01 4.008156655352570930e+00
6.700000000000000000e+04 4.911660372485737014e+01 1.065693750977373178e+01
6.800000000000000000e+04 4.862296915715451462e+01 6.014395436108846305e+00
6.900000000000000000e+04 4.712504424337085140e+01 6.164282019390876499e+00
7.000000000000000000e+04 4.825785558800594544e+01 7.083229853221734373e+00
7.100000000000000000e+04 4.959404200788133465e+01 5.269396723682651107e+00
7.200000000000000000e+04 5.087233223945634819e+01 9.106167300695428679e+00
7.300000000000000000e+04 4.980991581316435202e+01 8.712981253729820352e+00
7.400000000000000000e+04 4.750296718828054310e+01 7.364816413460705924e+00
7.500000000000000000e+04 4.618034931461065895e+01 7.923270346921779783e+00
7.600000000000000000e+04 4.417836704722272145e+01 6.660851247860107627e+00
7.700000000000000000e+04 4.604883687084947752e+01 7.545833261050719720e+00
7.800000000000000000e+04 4.706228068414871757e+01 6.511541455394039168e+00
7.900000000000000000e+04 4.420316862400089519e+01 3.197570372448039322e+00
8.000000000000000000e+04 4.675609427861761702e+01 8.814908953640122391e+00
8.100000000000000000e+04 4.612172630316720046e+01 8.462065886096262091e+00
8.200000000000000000e+04 4.259324335262874683e+01 9.187476527666227355e+00
8.300000000000000000e+04 4.615340965049026067e+01 6.238809085830758328e+00
8.400000000000000000e+04 4.715791307077178374e+01 9.281446055702849307e+00
8.500000000000000000e+04 4.569593213221152439e+01 1.064124046984827565e+01
8.600000000000000000e+04 4.761491139420952834e+01 1.147280687571363167e+01
8.700000000000000000e+04 4.522103993348853379e+01 7.059041681945312341e+00
8.800000000000000000e+04 4.678562817588809253e+01 9.645872744224590178e+00
8.900000000000000000e+04 4.343111951741368415e+01 5.753674541198770420e+00
9.000000000000000000e+04 4.743590282695715388e+01 8.874547866160918730e+00
9.100000000000000000e+04 4.140599935404106446e+01 5.163256835593942995e+00
9.200000000000000000e+04 4.770231387323597261e+01 7.534766927769276812e+00
9.300000000000000000e+04 4.796883828377702486e+01 4.361568281209557085e+00
9.400000000000000000e+04 5.005638485296943685e+01 1.233501081416880218e+01
9.500000000000000000e+04 4.878101839488302005e+01 1.033867431246274116e+01
9.600000000000000000e+04 4.958067550626900299e+01 1.011614888427222958e+01
9.700000000000000000e+04 4.987898546476667150e+01 9.651092138378293939e+00
9.800000000000000000e+04 5.199776101307725185e+01 7.991484631879535172e+00
9.900000000000000000e+04 4.721326971685332552e+01 4.692950638652844120e+00
1.000000000000000000e+05 4.666759647360148477e+01 5.631976744409226576e+00
1.010000000000000000e+05 4.549713623002351426e+01 2.590069532106986205e+00
1.020000000000000000e+05 4.583778284613810428e+01 6.543555587998053369e+00
1.030000000000000000e+05 4.193813856697745734e+01 5.101165577323315325e+00
1.040000000000000000e+05 4.351360864581003796e+01 4.840427609095782735e+00
1.050000000000000000e+05 4.338018653982426542e+01 6.321591451226670877e+00
1.060000000000000000e+05 4.111390774548409155e+01 4.404687236805326478e+00
1.070000000000000000e+05 4.496750417350606455e+01 3.367548909373146770e+00
1.080000000000000000e+05 4.122190505426925711e+01 4.917906833425963242e+00
1.090000000000000000e+05 4.042929337063590367e+01 5.060613754749488713e+00
1.100000000000000000e+05 4.205012568738138867e+01 6.359566136878621379e+00
1.110000000000000000e+05 4.434729088077384773e+01 6.145867826657411825e+00
1.120000000000000000e+05 4.320335883405279986e+01 4.340957511999895324e+00
1.130000000000000000e+05 4.497829251788494531e+01 5.488587003830075695e+00
1.140000000000000000e+05 4.446307744068928969e+01 3.852088486078766749e+00
1.150000000000000000e+05 4.112705545268509155e+01 6.461991512467927024e+00
1.160000000000000000e+05 4.309253676372433972e+01 6.450677101017431525e+00
1.170000000000000000e+05 4.403381922414830285e+01 6.415040203368673311e+00
1.180000000000000000e+05 4.137100210719236060e+01 5.902858484087477819e+00
1.190000000000000000e+05 4.048142758360091875e+01 5.032416623523817023e+00
1.200000000000000000e+05 4.405192738170258338e+01 7.721297542337447695e+00
1.210000000000000000e+05 4.105011874723693666e+01 7.171100858277871914e+00
1.220000000000000000e+05 4.118794459254492324e+01 6.682051192229858216e+00
1.230000000000000000e+05 4.217496510872399540e+01 4.089005513569276218e+00
1.240000000000000000e+05 4.176502767118138593e+01 4.905798547557221667e+00
1.250000000000000000e+05 4.195657298568709592e+01 4.197470008426513743e+00
1.260000000000000000e+05 3.935584154831233406e+01 4.067894390995823173e+00
1.270000000000000000e+05 4.299275744321223414e+01 3.353291488880049354e+00
1.280000000000000000e+05 3.937783680727820723e+01 3.755420424380605304e+00
1.290000000000000000e+05 3.824573591896346869e+01 3.456922225732919962e+00
1.300000000000000000e+05 3.898454688791062495e+01 6.681578930913780745e+00
1.310000000000000000e+05 4.267035589798051376e+01 6.547661638956575381e+00
1.320000000000000000e+05 3.992664155337094911e+01 5.043325144076642452e+00
1.330000000000000000e+05 3.864745271415506522e+01 5.122060299920442539e+00
1.340000000000000000e+05 4.036363507441825504e+01 5.179684202153494788e+00
1.350000000000000000e+05 4.094725238859272309e+01 5.890851769085087675e+00
1.360000000000000000e+05 4.108942587115528511e+01 6.199372765616034897e+00
1.370000000000000000e+05 4.002671561268834921e+01 6.543392755063395683e+00
1.380000000000000000e+05 3.863415154017022957e+01 5.577912073068445942e+00
1.390000000000000000e+05 3.958346110239691740e+01 4.629829953148198562e+00
1.400000000000000000e+05 3.746490620500389923e+01 4.060065588230455269e+00
1.410000000000000000e+05 4.062292028576551672e+01 6.657900020485140402e+00
1.420000000000000000e+05 3.368808183244884447e+01 6.647621787732189702e+00
1.430000000000000000e+05 3.587687320292769755e+01 9.090395209756142236e+00
1.440000000000000000e+05 3.722635696094490498e+01 7.770520174739957930e+00
1.450000000000000000e+05 3.603050357581201979e+01 8.487228509590844183e+00
1.460000000000000000e+05 3.668409109117538236e+01 9.425779218594529496e+00
1.470000000000000000e+05 3.731179308586623478e+01 7.622536025751143640e+00
1.480000000000000000e+05 3.735974513129722396e+01 7.553300757677384958e+00
1.490000000000000000e+05 3.682772073499817367e+01 6.908322110486484036e+00
1.500000000000000000e+05 3.518029581417982143e+01 8.376550040637649630e+00
1.510000000000000000e+05 3.665746943814180270e+01 6.404321584239625942e+00
1.520000000000000000e+05 3.976935888957414278e+01 7.712547999078303462e+00
1.530000000000000000e+05 3.693485087208303241e+01 7.061825827093361596e+00
1.540000000000000000e+05 3.878273079337342466e+01 8.032399873729969997e+00
1.550000000000000000e+05 3.754638625665241847e+01 1.025686329773845529e+01
1.560000000000000000e+05 3.598653768421335286e+01 5.995174365592326637e+00
1.570000000000000000e+05 3.572785102567048909e+01 7.714756131048394749e+00
1.580000000000000000e+05 3.510856433147164068e+01 7.028970970886343927e+00
1.590000000000000000e+05 3.779185627491595056e+01 7.204722252138000549e+00
1.600000000000000000e+05 3.617737911520271155e+01 7.232762268010132445e+00
1.610000000000000000e+05 3.453486809250544809e+01 5.033790624709168604e+00
1.620000000000000000e+05 3.925730055603114721e+01 7.568385490707412622e+00
1.630000000000000000e+05 3.906885553142529233e+01 9.070064940876799042e+00
1.640000000000000000e+05 4.011751077153653711e+01 5.490440686812974036e+00
1.650000000000000000e+05 3.826594544960654076e+01 6.365904220643857414e+00
1.660000000000000000e+05 3.774534103992530021e+01 6.862747659424645263e+00
1.670000000000000000e+05 3.935067772340944714e+01 3.553200361619773595e+00
1.680000000000000000e+05 4.173892168986284901e+01 5.076316721825075540e+00
1.690000000000000000e+05 4.095943642309973143e+01 5.210734847072124865e+00
1.700000000000000000e+05 3.981010355522185051e+01 5.899997438909029057e+00
1.710000000000000000e+05 4.083077496765530157e+01 4.209850419573008651e+00
1.720000000000000000e+05 4.066850044351434690e+01 6.433603026750482456e+00
1.730000000000000000e+05 3.737901273087341281e+01 4.447158200995343869e+00
1.740000000000000000e+05 4.025739277502340485e+01 7.172370674365826204e+00
1.750000000000000000e+05 3.853533661910715580e+01 6.618023911558982064e+00
1.760000000000000000e+05 3.871751813905823525e+01 7.263719236372916832e+00
1.770000000000000000e+05 3.770923754226034674e+01 8.882814037113210048e+00
1.780000000000000000e+05 3.889948327808682649e+01 8.354873711855397289e+00
1.790000000000000000e+05 3.842226964357770669e+01 9.408394306403865315e+00
1.800000000000000000e+05 4.073039835870109471e+01 7.507967523929107934e+00
1.810000000000000000e+05 4.116831292441671764e+01 5.481007348540661184e+00
1.820000000000000000e+05 4.273077337131789477e+01 4.829234109535336827e+00
