# Time(ps) WT_average_angle(degrees) WT_std
0.000000000000000000e+00 3.378111140074803842e+01 0.000000000000000000e+00
1.000000000000000000e+03 3.074692618813064016e+01 2.119049973828581290e+00
2.000000000000000000e+03 3.229314807130722187e+01 4.547895231350892686e+00
3.000000000000000000e+03 3.468862621252630163e+01 4.381894779331618750e+00
4.000000000000000000e+03 3.680999870828360088e+01 1.553941254378412351e+00
5.000000000000000000e+03 3.692747088020860247e+01 3.612210664764020418e+00
6.000000000000000000e+03 3.545358157773766550e+01 7.211050882632480175e+00
7.000000000000000000e+03 3.749134570438874192e+01 4.108095383064338080e+00
8.000000000000000000e+03 3.287627522525412616e+01 5.633395078529471967e+00
9.000000000000000000e+03 3.583935511202260216e+01 6.490975581083716861e+00
1.000000000000000000e+04 3.692771743211407198e+01 5.483864873824966679e+00
1.100000000000000000e+04 3.618597613840827876e+01 6.209253483815128760e+00
1.200000000000000000e+04 3.857027661238096528e+01 3.299223487258456711e+00
1.300000000000000000e+04 3.599179585483068422e+01 3.031192767543450461e+00
1.400000000000000000e+04 3.590325090970722499e+01 2.306147836777201032e+00
1.500000000000000000e+04 3.420973245436899646e+01 4.796699275525755368e+00
1.600000000000000000e+04 3.584381720585480480e+01 3.543621802804629795e+00
1.700000000000000000e+04 3.553377768475142773e+01 3.165309368995562700e+00
1.800000000000000000e+04 3.398720688580622351e+01 2.320825736772096803e+00
1.900000000000000000e+04 3.725648826516199108e+01 6.206065182422034532e+00
2.000000000000000000e+04 3.687883770091191593e+01 1.790251348215789129e+00
2.100000000000000000e+04 3.677397508387121405e+01 2.836425873771708517e+00
2.200000000000000000e+04 3.726826682660698964e+01 2.878846341995990876e+00
2.300000000000000000e+04 3.649889115181937171e+01 1.565273384635349041e+00
2.400000000000000000e+04 3.465449202334416157e+01 4.671031386077657110e+00
2.500000000000000000e+04 3.653744681059119870e+01 3.971835581487583866e+00
2.600000000000000000e+04 3.753624145499789933e+01 3.611316139022314520e+00
2.700000000000000000e+04 3.814338690717848124e+01 3.593031055231023618e+00
2.800000000000000000e+04 3.647328195583189370e+01 2.757217076205634942e+00
2.900000000000000000e+04 3.588691906707738610e+01 1.506252976747463723e+00
3.000000000000000000e+04 3.740139772766267612e+01 4.575136764311610094e+00
3.100000000000000000e+04 3.754743581727902324e+01 4.950271111365134757e+00
3.200000000000000000e+04 3.831669834161159827e+01 3.986812067250268488e+00
3.300000000000000000e+04 3.901549077495468509e+01 2.234659851414712239e+00
3.400000000000000000e+04 3.746648534171715994e+01 4.904159871649763858e+00
3.500000000000000000e+04 3.661068032392305582e+01 1.509983880771321951e+00
3.600000000000000000e+04 3.589843019934826174e+01 3.945508261627691304e+00
3.700000000000000000e+04 3.644307513879847704e+01 3.275714963316750161e+00
3.800000000000000000e+04 3.819741010846987450e+01 1.705363312824164312e+00
3.900000000000000000e+04 3.611812778870552165e+01 2.255670831298977941e+00
4.000000000000000000e+04 3.595700464177467381e+01 3.089262215775486542e+00
4.100000000000000000e+04 3.741445691217055725e+01 7.309999531567558329e+00
4.200000000000000000e+04 3.774373794417901706e+01 9.127898144908288103e+00
4.300000000000000000e+04 3.596143072845535471e+01 2.446537312404849729e+00
4.400000000000000000e+04 3.983526447654431024e+01 5.093895574616804645e+00
4.500000000000000000e+04 3.550903895199325433e+01 3.337250725445249699e+00
4.600000000000000000e+04 3.693874722982118897e+01 2.992819989671818615e+00
4.700000000000000000e+04 3.603500027524061267e+01 3.982368070244313607e+00
4.800000000000000000e+04 3.624843168434835405e+01 4.261753201549483450e+00
4.900000000000000000e+04 3.363738650834874022e+01 3.118786209169810419e+00
5.000000000000000000e+04 3.454558082009820197e+01 2.560792336881555276e+00
5.100000000000000000e+04 3.701100292606044206e+01 4.423608667698789354e+00
5.200000000000000000e+04 3.423094527844677515e+01 4.247412522364413690e+00
5.300000000000000000e+04 3.344209547390359205e+01 2.950836803228287675e+00
5.400000000000000000e+04 3.510866957452314807e+01 3.871261076048504890e+00
5.500000000000000000e+04 3.754093097197449680e+01 2.210721155295690910e+00
5.600000000000000000e+04 3.681076684673266897e+01 2.840166031848169403e+00
5.700000000000000000e+04 3.665600095785642054e+01 3.389961146839484130e+00
5.800000000000000000e+04 3.681471446891784183e+01 1.061936452955312138e+00
5.900000000000000000e+04 3.506974240527326003e+01 2.006940656534332845e+00
6.000000000000000000e+04 3.435727901267649997e+01 4.440882347092534488e+00
6.100000000000000000e+04 3.626643178845818483e+01 4.997673273673214567e+00
6.200000000000000000e+04 3.706802356381562902e+01 4.900974454326751051e+00
