# x average std
0.000000000000000000e+00 5.160000000000000000e+02 0.000000000000000000e+00
1.000000000000000000e+03 5.236000000000000227e+02 6.183849933496122553e+00
2.000000000000000000e+03 5.111999999999999886e+02 6.013318551349162711e+00
3.000000000000000000e+03 5.126000000000000227e+02 1.019803902718557032e+00
4.000000000000000000e+03 5.193999999999999773e+02 9.624967532412771476e+00
5.000000000000000000e+03 5.177999999999999545e+02 5.114684741017769376e+00
6.000000000000000000e+03 5.240000000000000000e+02 5.830951894845300743e+00
7.000000000000000000e+03 5.197999999999999545e+02 7.833262411026455929e+00
8.000000000000000000e+03 5.240000000000000000e+02 6.870225614927067070e+00
9.000000000000000000e+03 5.257999999999999545e+02 3.310589071449369758e+00
1.000000000000000000e+04 5.207999999999999545e+02 7.025667228100118678e+00
1.100000000000000000e+04 5.192000000000000455e+02 6.968500556073738750e+00
1.200000000000000000e+04 5.206000000000000227e+02 1.087382177525454807e+01
1.300000000000000000e+04 5.166000000000000227e+02 5.642694391866353243e+00
1.400000000000000000e+04 5.273999999999999773e+02 7.116178749862877240e+00
1.500000000000000000e+04 5.217999999999999545e+02 6.910861017268398854e+00
1.600000000000000000e+04 5.187999999999999545e+02 8.795453370918409064e+00
1.700000000000000000e+04 5.197999999999999545e+02 7.652450587883596889e+00
1.800000000000000000e+04 5.282000000000000455e+02 1.614187101918485467e+01
1.900000000000000000e+04 5.246000000000000227e+02 9.971960689854327597e+00
2.000000000000000000e+04 5.313999999999999773e+02 1.179152237838694006e+01
2.100000000000000000e+04 5.276000000000000227e+02 7.578918128598566284e+00
2.200000000000000000e+04 5.327999999999999545e+02 8.634813257969161882e+00
2.300000000000000000e+04 5.257999999999999545e+02 6.241794613730894170e+00
2.400000000000000000e+04 5.220000000000000000e+02 5.761944116355173229e+00
2.500000000000000000e+04 5.222000000000000455e+02 5.381449618829484471e+00
2.600000000000000000e+04 5.192000000000000455e+02 4.445222154178574137e+00
2.700000000000000000e+04 5.223999999999999773e+02 5.161395160225575651e+00
2.800000000000000000e+04 5.190000000000000000e+02 3.521363372331801855e+00
2.900000000000000000e+04 5.223999999999999773e+02 7.552483035399681910e+00
3.000000000000000000e+04 5.223999999999999773e+02 1.072567014223353787e+01
3.100000000000000000e+04 5.317999999999999545e+02 1.304453908729626121e+01
3.200000000000000000e+04 5.283999999999999773e+02 9.024411338142781958e+00
3.300000000000000000e+04 5.230000000000000000e+02 3.633180424916989892e+00
3.400000000000000000e+04 5.247999999999999545e+02 1.510496607079936382e+01
3.500000000000000000e+04 5.252000000000000455e+02 7.782030583337488316e+00
3.600000000000000000e+04 5.202000000000000455e+02 1.200666481584290679e+01
3.700000000000000000e+04 5.213999999999999773e+02 4.841487374764081864e+00
3.800000000000000000e+04 5.192000000000000455e+02 1.407693148381421899e+01
3.900000000000000000e+04 5.282000000000000455e+02 7.934733769950948812e+00
4.000000000000000000e+04 5.272000000000000455e+02 1.367333170810976739e+01
4.100000000000000000e+04 5.203999999999999773e+02 7.683749084919417882e+00
4.200000000000000000e+04 5.303999999999999773e+02 9.350935782048766853e+00
4.300000000000000000e+04 5.290000000000000000e+02 9.402127418834526296e+00
4.400000000000000000e+04 5.163999999999999773e+02 9.414881836751856525e+00
4.500000000000000000e+04 5.272000000000000455e+02 2.925747767665558996e+00
4.600000000000000000e+04 5.220000000000000000e+02 1.035374328443582748e+01
4.700000000000000000e+04 5.256000000000000227e+02 5.571355310873647326e+00
4.800000000000000000e+04 5.290000000000000000e+02 9.549869109050657556e+00
4.900000000000000000e+04 5.232000000000000455e+02 1.346699669562594082e+01
5.000000000000000000e+04 5.250000000000000000e+02 1.027618606293210313e+01
5.100000000000000000e+04 5.242000000000000455e+02 6.675327707311454972e+00
