# x average std
0.000000000000000000e+00 5.200000000000000000e+02 0.000000000000000000e+00
1.000000000000000000e+03 5.302000000000000455e+02 1.107068200247843670e+01
2.000000000000000000e+03 5.283999999999999773e+02 1.574293492332354383e+01
3.000000000000000000e+03 5.270000000000000000e+02 5.899152481501049650e+00
4.000000000000000000e+03 5.262000000000000455e+02 1.331765745166919324e+01
5.000000000000000000e+03 5.413999999999999773e+02 8.039900496896711601e+00
6.000000000000000000e+03 5.420000000000000000e+02 3.687817782917155007e+00
7.000000000000000000e+03 5.360000000000000000e+02 6.841052550594827864e+00
8.000000000000000000e+03 5.296000000000000227e+02 4.758150901348127348e+00
9.000000000000000000e+03 5.346000000000000227e+02 5.351635264103860479e+00
1.000000000000000000e+04 5.332000000000000455e+02 4.400000000000000355e+00
1.100000000000000000e+04 5.386000000000000227e+02 1.063202708800161034e+01
1.200000000000000000e+04 5.386000000000000227e+02 1.081850266903881597e+01
1.300000000000000000e+04 5.377999999999999545e+02 9.620810776644555418e+00
1.400000000000000000e+04 5.363999999999999773e+02 7.552483035399681910e+00
1.500000000000000000e+04 5.353999999999999773e+02 9.562426470305537052e+00
1.600000000000000000e+04 5.363999999999999773e+02 8.260750571225353056e+00
1.700000000000000000e+04 5.363999999999999773e+02 1.105621996886820213e+01
1.800000000000000000e+04 5.367999999999999545e+02 5.706137047074842705e+00
1.900000000000000000e+04 5.332000000000000455e+02 8.795453370918409064e+00
2.000000000000000000e+04 5.440000000000000000e+02 8.786353054595519296e+00
2.100000000000000000e+04 5.267999999999999545e+02 1.064706532336493083e+01
2.200000000000000000e+04 5.276000000000000227e+02 6.183849933496122553e+00
2.300000000000000000e+04 5.317999999999999545e+02 9.325234581499813658e+00
2.400000000000000000e+04 5.363999999999999773e+02 1.038460398859773548e+01
2.500000000000000000e+04 5.330000000000000000e+02 9.818350166906862242e+00
2.600000000000000000e+04 5.270000000000000000e+02 6.957010852370434151e+00
2.700000000000000000e+04 5.282000000000000455e+02 2.993325909419153330e+00
2.800000000000000000e+04 5.307999999999999545e+02 1.119642800182272424e+01
2.900000000000000000e+04 5.212000000000000455e+02 1.173712060089696685e+01
3.000000000000000000e+04 5.247999999999999545e+02 6.241794613730894170e+00
3.100000000000000000e+04 5.363999999999999773e+02 1.235475616918439989e+01
3.200000000000000000e+04 5.323999999999999773e+02 8.187795796183488406e+00
3.300000000000000000e+04 5.247999999999999545e+02 1.062826420446913822e+01
3.400000000000000000e+04 5.297999999999999545e+02 7.730459236035075676e+00
3.500000000000000000e+04 5.280000000000000000e+02 8.221921916437786138e+00
3.600000000000000000e+04 5.306000000000000227e+02 7.144228439796700414e+00
3.700000000000000000e+04 5.300000000000000000e+02 1.481890684227416344e+01
3.800000000000000000e+04 5.330000000000000000e+02 7.899367063252599408e+00
3.900000000000000000e+04 5.320000000000000000e+02 6.870225614927067070e+00
4.000000000000000000e+04 5.253999999999999773e+02 8.912911982062876604e+00
4.100000000000000000e+04 5.303999999999999773e+02 9.604165762834373510e+00
4.200000000000000000e+04 5.323999999999999773e+02 1.748828179095933777e+01
4.300000000000000000e+04 5.237999999999999545e+02 1.386217876093076207e+01
4.400000000000000000e+04 5.350000000000000000e+02 1.100908715561830853e+01
4.500000000000000000e+04 5.306000000000000227e+02 8.333066662399863489e+00
4.600000000000000000e+04 5.282000000000000455e+02 8.818163074019441439e+00
4.700000000000000000e+04 5.342000000000000455e+02 6.144916598294886789e+00
4.800000000000000000e+04 5.252000000000000455e+02 4.354308211415448326e+00
4.900000000000000000e+04 5.212000000000000455e+02 5.075431016179808630e+00
5.000000000000000000e+04 5.177999999999999545e+02 1.108873302050328924e+01
5.100000000000000000e+04 5.230000000000000000e+02 1.086278049120021549e+01
5.200000000000000000e+04 5.307999999999999545e+02 8.975522268926750868e+00
5.300000000000000000e+04 5.382000000000000455e+02 1.370255450636851080e+01
5.400000000000000000e+04 5.316000000000000227e+02 8.260750571225351280e+00
5.500000000000000000e+04 5.290000000000000000e+02 5.692099788303083052e+00
5.600000000000000000e+04 5.250000000000000000e+02 4.289522117905443466e+00
5.700000000000000000e+04 5.340000000000000000e+02 8.366600265340755627e+00
5.800000000000000000e+04 5.342000000000000455e+02 1.487817193071783173e+01
5.900000000000000000e+04 5.242000000000000455e+02 5.600000000000000533e+00
6.000000000000000000e+04 5.236000000000000227e+02 5.276362383309167292e+00
6.100000000000000000e+04 5.280000000000000000e+02 1.449137674618943805e+01
6.200000000000000000e+04 5.366000000000000227e+02 5.003998401278721531e+00
6.300000000000000000e+04 5.297999999999999545e+02 9.987992791347018340e+00
6.400000000000000000e+04 5.283999999999999773e+02 1.149956520917204017e+01
6.500000000000000000e+04 5.333999999999999773e+02 5.535341001239218350e+00
6.600000000000000000e+04 5.242000000000000455e+02 1.501199520383616282e+01
6.700000000000000000e+04 5.306000000000000227e+02 1.177454882362802024e+01
6.800000000000000000e+04 5.240000000000000000e+02 1.317573527360048224e+01
6.900000000000000000e+04 5.223999999999999773e+02 8.357032966310471878e+00
7.000000000000000000e+04 5.223999999999999773e+02 1.199333148045196040e+01
7.100000000000000000e+04 5.233999999999999773e+02 9.728309205612246657e+00
7.200000000000000000e+04 5.320000000000000000e+02 1.044988038209050529e+01
7.300000000000000000e+04 5.302000000000000455e+02 4.874423042781576676e+00
7.400000000000000000e+04 5.187999999999999545e+02 4.833218389437829110e+00
7.500000000000000000e+04 5.343999999999999773e+02 7.088018058667739929e+00
7.600000000000000000e+04 5.287999999999999545e+02 1.130309692075583250e+01
7.700000000000000000e+04 5.326000000000000227e+02 1.270590413941487284e+01
7.800000000000000000e+04 5.323999999999999773e+02 9.002221947941519531e+00
7.900000000000000000e+04 5.226000000000000227e+02 1.345511055324332794e+01
8.000000000000000000e+04 5.306000000000000227e+02 6.770524351924302131e+00
8.100000000000000000e+04 5.230000000000000000e+02 1.368210510118965573e+01
8.200000000000000000e+04 5.283999999999999773e+02 1.061319932913727904e+01
8.300000000000000000e+04 5.237999999999999545e+02 6.968500556073738750e+00
8.400000000000000000e+04 5.287999999999999545e+02 8.328265125462804619e+00
8.500000000000000000e+04 5.287999999999999545e+02 1.045753316992109738e+01
8.600000000000000000e+04 5.272000000000000455e+02 1.185580026822314537e+01
8.700000000000000000e+04 5.327999999999999545e+02 5.810335618533580160e+00
8.800000000000000000e+04 5.273999999999999773e+02 5.462600113499064491e+00
8.900000000000000000e+04 5.192000000000000455e+02 1.282809416865966057e+01
9.000000000000000000e+04 5.352000000000000455e+02 4.489988864128729773e+00
9.100000000000000000e+04 5.253999999999999773e+02 1.426323946374034612e+01
9.200000000000000000e+04 5.226000000000000227e+02 1.149956520917204017e+01
9.300000000000000000e+04 5.260000000000000000e+02 2.529822128134703529e+00
9.400000000000000000e+04 5.230000000000000000e+02 7.668115805072325486e+00
9.500000000000000000e+04 5.312000000000000455e+02 8.158431221748456252e+00
9.600000000000000000e+04 5.272000000000000455e+02 6.881860213634101164e+00
9.700000000000000000e+04 5.302000000000000455e+02 3.762977544445355704e+00
9.800000000000000000e+04 5.293999999999999773e+02 7.002856560004638631e+00
9.900000000000000000e+04 5.213999999999999773e+02 6.887670143089024144e+00
1.000000000000000000e+05 5.317999999999999545e+02 8.207313811473277099e+00
1.010000000000000000e+05 5.256000000000000227e+02 1.001199280862706154e+01
1.020000000000000000e+05 5.313999999999999773e+02 1.121784292990412624e+01
1.030000000000000000e+05 5.276000000000000227e+02 1.022936948203553698e+01
1.040000000000000000e+05 5.326000000000000227e+02 9.971960689854327597e+00
1.050000000000000000e+05 5.206000000000000227e+02 7.499333303701069653e+00
1.060000000000000000e+05 5.266000000000000227e+02 7.552483035399681910e+00
1.070000000000000000e+05 5.276000000000000227e+02 1.089219904335208078e+01
1.080000000000000000e+05 5.352000000000000455e+02 7.222188034107115406e+00
1.090000000000000000e+05 5.352000000000000455e+02 8.863407922464135780e+00
1.100000000000000000e+05 5.316000000000000227e+02 5.851495535331117104e+00
1.110000000000000000e+05 5.300000000000000000e+02 1.115347479487894944e+01
1.120000000000000000e+05 5.237999999999999545e+02 9.195651146058120062e+00
1.130000000000000000e+05 5.352000000000000455e+02 1.049571341072154063e+01
1.140000000000000000e+05 5.286000000000000227e+02 6.499230723708768309e+00
1.150000000000000000e+05 5.363999999999999773e+02 1.205985074534506829e+01
1.160000000000000000e+05 5.323999999999999773e+02 5.314132102234569111e+00
1.170000000000000000e+05 5.306000000000000227e+02 1.380724447527456533e+01
1.180000000000000000e+05 5.223999999999999773e+02 3.611094017053557703e+00
1.190000000000000000e+05 5.246000000000000227e+02 1.212600511297929451e+01
1.200000000000000000e+05 5.286000000000000227e+02 6.406246951218786734e+00
1.210000000000000000e+05 5.222000000000000455e+02 3.370459909270543619e+00
1.220000000000000000e+05 5.293999999999999773e+02 6.529931086925802930e+00
1.230000000000000000e+05 5.273999999999999773e+02 8.593020423576334110e+00
1.240000000000000000e+05 5.296000000000000227e+02 7.031358332498777841e+00
1.250000000000000000e+05 5.282000000000000455e+02 8.328265125462804619e+00
1.260000000000000000e+05 5.253999999999999773e+02 6.499230723708768309e+00
1.270000000000000000e+05 5.307999999999999545e+02 1.024499877989255836e+01
1.280000000000000000e+05 5.286000000000000227e+02 1.081850266903881597e+01
1.290000000000000000e+05 5.272000000000000455e+02 1.014692071517265681e+01
1.300000000000000000e+05 5.252000000000000455e+02 1.119642800182272424e+01
1.310000000000000000e+05 5.276000000000000227e+02 1.121784292990412624e+01
1.320000000000000000e+05 5.243999999999999773e+02 7.200000000000000178e+00
1.330000000000000000e+05 5.297999999999999545e+02 5.035871324805668792e+00
1.340000000000000000e+05 5.280000000000000000e+02 1.285301521044770290e+01
1.350000000000000000e+05 5.297999999999999545e+02 8.749857141690943862e+00
1.360000000000000000e+05 5.266000000000000227e+02 1.207642331156042204e+01
1.370000000000000000e+05 5.270000000000000000e+02 8.555699854482975653e+00
1.380000000000000000e+05 5.267999999999999545e+02 5.230678732248808416e+00
1.390000000000000000e+05 5.330000000000000000e+02 6.928203230275508773e+00
1.400000000000000000e+05 5.247999999999999545e+02 3.709447398198281842e+00
1.410000000000000000e+05 5.262000000000000455e+02 6.493073232299170883e+00
1.420000000000000000e+05 5.167999999999999545e+02 5.878775382679627626e+00
1.430000000000000000e+05 5.232000000000000455e+02 8.255906976220117599e+00
1.440000000000000000e+05 5.297999999999999545e+02 1.228657804272613419e+01
1.450000000000000000e+05 5.227999999999999545e+02 1.137365376649034410e+01
1.460000000000000000e+05 5.317999999999999545e+02 1.097998178504864342e+01
1.470000000000000000e+05 5.293999999999999773e+02 6.945502141674134045e+00
1.480000000000000000e+05 5.286000000000000227e+02 8.546344247688598017e+00
1.490000000000000000e+05 5.342000000000000455e+02 4.955804677345547304e+00
1.500000000000000000e+05 5.290000000000000000e+02 9.838699100999074076e+00
1.510000000000000000e+05 5.323999999999999773e+02 3.929376540877700386e+00
1.520000000000000000e+05 5.293999999999999773e+02 7.761443164772901859e+00
1.530000000000000000e+05 5.332000000000000455e+02 1.154816002660163932e+01
1.540000000000000000e+05 5.337999999999999545e+02 9.173875952943772560e+00
1.550000000000000000e+05 5.230000000000000000e+02 9.099450532861860452e+00
1.560000000000000000e+05 5.226000000000000227e+02 1.259523719506703010e+01
1.570000000000000000e+05 5.232000000000000455e+02 1.112474718813870389e+01
1.580000000000000000e+05 5.200000000000000000e+02 1.271219886565656232e+01
1.590000000000000000e+05 5.207999999999999545e+02 1.024499877989255836e+01
1.600000000000000000e+05 5.283999999999999773e+02 9.457272334029511285e+00
1.610000000000000000e+05 5.246000000000000227e+02 1.020979921448017613e+01
1.620000000000000000e+05 5.226000000000000227e+02 7.116178749862878128e+00
1.630000000000000000e+05 5.222000000000000455e+02 7.082372483850309486e+00
1.640000000000000000e+05 5.222000000000000455e+02 8.109253973085317924e+00
1.650000000000000000e+05 5.302000000000000455e+02 9.239047569960877837e+00
1.660000000000000000e+05 5.236000000000000227e+02 8.357032966310471878e+00
1.670000000000000000e+05 5.236000000000000227e+02 7.657675887630658096e+00
1.680000000000000000e+05 5.197999999999999545e+02 8.423775875461075202e+00
1.690000000000000000e+05 5.233999999999999773e+02 1.429125606795987657e+01
1.700000000000000000e+05 5.207999999999999545e+02 1.256025477448606509e+01
1.710000000000000000e+05 5.222000000000000455e+02 7.194442299441980104e+00
1.720000000000000000e+05 5.250000000000000000e+02 7.874007874011811126e+00
1.730000000000000000e+05 5.236000000000000227e+02 9.891410415102591003e+00
1.740000000000000000e+05 5.253999999999999773e+02 4.841487374764081864e+00
1.750000000000000000e+05 5.123999999999999773e+02 9.002221947941519531e+00
1.760000000000000000e+05 5.213999999999999773e+02 9.478396488858228608e+00
1.770000000000000000e+05 5.200000000000000000e+02 7.797435475847170672e+00
1.780000000000000000e+05 5.197999999999999545e+02 3.867815921162743198e+00
1.790000000000000000e+05 5.210000000000000000e+02 7.456540752922899529e+00
1.800000000000000000e+05 5.256000000000000227e+02 6.499230723708768309e+00
1.810000000000000000e+05 5.216000000000000227e+02 1.111035552986491837e+01
1.820000000000000000e+05 5.216000000000000227e+02 6.974238309665076407e+00
1.830000000000000000e+05 5.143999999999999773e+02 1.032666451474046809e+01
1.840000000000000000e+05 5.210000000000000000e+02 1.145425685062108201e+01
1.850000000000000000e+05 5.071999999999999886e+02 8.009993757800314640e+00
1.860000000000000000e+05 5.237999999999999545e+02 9.867117106835207707e+00
1.870000000000000000e+05 5.190000000000000000e+02 5.621387729022078616e+00
1.880000000000000000e+05 5.166000000000000227e+02 8.912911982062876604e+00
1.890000000000000000e+05 5.160000000000000000e+02 1.013903348450926067e+01
1.900000000000000000e+05 5.250000000000000000e+02 1.075174404457249011e+01
1.910000000000000000e+05 5.250000000000000000e+02 9.899494936611665352e+00
1.920000000000000000e+05 5.120000000000000000e+02 1.500666518584325537e+01
1.930000000000000000e+05 5.280000000000000000e+02 1.366747965061590975e+01
1.940000000000000000e+05 5.237999999999999545e+02 1.273420590378528416e+01
1.950000000000000000e+05 5.317999999999999545e+02 9.108238029388560975e+00
