# x average std
0.000000000000000000e+00 5.200000000000000000e+02 0.000000000000000000e+00
1.000000000000000000e+03 5.353999999999999773e+02 4.586937976471886280e+00
2.000000000000000000e+03 5.366000000000000227e+02 3.929376540877700386e+00
3.000000000000000000e+03 5.382000000000000455e+02 1.060942976789987391e+01
4.000000000000000000e+03 5.326000000000000227e+02 6.216108107168021313e+00
5.000000000000000000e+03 5.287999999999999545e+02 3.867815921162743642e+00
6.000000000000000000e+03 5.276000000000000227e+02 1.335065541462290817e+01
7.000000000000000000e+03 5.206000000000000227e+02 8.284926070883191329e+00
8.000000000000000000e+03 5.356000000000000227e+02 1.076289923765896717e+01
9.000000000000000000e+03 5.217999999999999545e+02 6.997142273814360713e+00
1.000000000000000000e+04 5.353999999999999773e+02 8.333066662399861713e+00
1.100000000000000000e+04 5.276000000000000227e+02 1.074430081485063404e+01
1.200000000000000000e+04 5.250000000000000000e+02 6.164414002968976014e+00
1.300000000000000000e+04 5.342000000000000455e+02 4.915282290977803115e+00
1.400000000000000000e+04 5.313999999999999773e+02 6.560487786742689842e+00
1.500000000000000000e+04 5.286000000000000227e+02 9.046546302318912325e+00
1.600000000000000000e+04 5.400000000000000000e+02 6.356099432828281159e+00
1.700000000000000000e+04 5.286000000000000227e+02 4.630334761116090547e+00
1.800000000000000000e+04 5.346000000000000227e+02 6.651315659326355600e+00
1.900000000000000000e+04 5.353999999999999773e+02 8.777243302996675212e+00
2.000000000000000000e+04 5.317999999999999545e+02 8.084553172563094137e+00
2.100000000000000000e+04 5.367999999999999545e+02 5.075431016179808630e+00
2.200000000000000000e+04 5.323999999999999773e+02 9.350935782048766853e+00
2.300000000000000000e+04 5.253999999999999773e+02 9.134549797335388632e+00
2.400000000000000000e+04 5.262000000000000455e+02 7.483314773547883325e-01
2.500000000000000000e+04 5.246000000000000227e+02 5.678027826631355524e+00
2.600000000000000000e+04 5.293999999999999773e+02 7.939773296511683398e+00
2.700000000000000000e+04 5.317999999999999545e+02 6.493073232299170883e+00
2.800000000000000000e+04 5.313999999999999773e+02 4.673328578219169138e+00
2.900000000000000000e+04 5.306000000000000227e+02 1.327554142022087014e+01
3.000000000000000000e+04 5.307999999999999545e+02 7.332121111929344792e+00
3.100000000000000000e+04 5.297999999999999545e+02 6.705221845696083705e+00
3.200000000000000000e+04 5.326000000000000227e+02 9.911609354691092832e+00
3.300000000000000000e+04 5.347999999999999545e+02 9.303762679690406046e+00
3.400000000000000000e+04 5.310000000000000000e+02 1.073312629199899071e+01
3.500000000000000000e+04 5.322000000000000455e+02 8.518215775618742214e+00
3.600000000000000000e+04 5.386000000000000227e+02 1.091054535758868482e+01
3.700000000000000000e+04 5.350000000000000000e+02 9.165151389911679658e+00
3.800000000000000000e+04 5.387999999999999545e+02 8.084553172563094137e+00
3.900000000000000000e+04 5.392000000000000455e+02 6.177378084592200835e+00
4.000000000000000000e+04 5.302000000000000455e+02 5.035871324805668792e+00
4.100000000000000000e+04 5.353999999999999773e+02 4.223742416388574838e+00
4.200000000000000000e+04 5.326000000000000227e+02 7.735631842325485508e+00
4.300000000000000000e+04 5.303999999999999773e+02 7.227724399837060609e+00
4.400000000000000000e+04 5.290000000000000000e+02 1.194989539703172454e+01
4.500000000000000000e+04 5.286000000000000227e+02 5.642694391866353243e+00
4.600000000000000000e+04 5.302000000000000455e+02 6.046486583132390180e+00
4.700000000000000000e+04 5.350000000000000000e+02 8.625543461139130841e+00
4.800000000000000000e+04 5.317999999999999545e+02 7.082372483850309486e+00
4.900000000000000000e+04 5.336000000000000227e+02 1.032666451474046809e+01
