# x average std
0.000000000000000000e+00 5.170000000000000000e+02 0.000000000000000000e+00
1.000000000000000000e+03 5.187999999999999545e+02 7.573638491504595116e+00
2.000000000000000000e+03 5.170000000000000000e+02 5.099019513592784492e+00
3.000000000000000000e+03 5.147999999999999545e+02 6.400000000000000355e+00
4.000000000000000000e+03 5.247999999999999545e+02 1.070327052820772096e+01
5.000000000000000000e+03 5.177999999999999545e+02 8.795453370918409064e+00
6.000000000000000000e+03 5.182000000000000455e+02 4.664761515876240772e+00
7.000000000000000000e+03 5.167999999999999545e+02 4.166533331199931744e+00
8.000000000000000000e+03 5.212000000000000455e+02 8.953211714239756702e+00
9.000000000000000000e+03 5.163999999999999773e+02 3.261901286060018279e+00
1.000000000000000000e+04 5.222000000000000455e+02 2.399999999999999911e+00
1.100000000000000000e+04 5.163999999999999773e+02 1.089219904335208078e+01
1.200000000000000000e+04 5.182000000000000455e+02 6.675327707311454972e+00
1.300000000000000000e+04 5.222000000000000455e+02 4.955804677345547304e+00
1.400000000000000000e+04 5.226000000000000227e+02 1.089219904335208078e+01
1.500000000000000000e+04 5.253999999999999773e+02 9.645724441429994300e+00
1.600000000000000000e+04 5.170000000000000000e+02 8.786353054595519296e+00
1.700000000000000000e+04 5.153999999999999773e+02 1.149956520917204195e+01
1.800000000000000000e+04 5.196000000000000227e+02 8.708616422830896653e+00
1.900000000000000000e+04 5.222000000000000455e+02 9.368030742904295494e+00
2.000000000000000000e+04 5.192000000000000455e+02 1.650939126679115176e+01
2.100000000000000000e+04 5.206000000000000227e+02 5.314132102234569111e+00
2.200000000000000000e+04 5.176000000000000227e+02 1.207642331156042204e+01
2.300000000000000000e+04 5.177999999999999545e+02 1.101635148313632939e+01
2.400000000000000000e+04 5.196000000000000227e+02 1.275303885354388811e+01
2.500000000000000000e+04 5.183999999999999773e+02 9.478396488858228608e+00
2.600000000000000000e+04 5.190000000000000000e+02 1.260158720161869184e+01
2.700000000000000000e+04 5.216000000000000227e+02 1.207642331156042204e+01
2.800000000000000000e+04 5.197999999999999545e+02 1.251239385569364160e+01
2.900000000000000000e+04 5.267999999999999545e+02 7.833262411026455929e+00
3.000000000000000000e+04 5.266000000000000227e+02 8.822698000045109623e+00
3.100000000000000000e+04 5.250000000000000000e+02 1.178134118001851327e+01
3.200000000000000000e+04 5.206000000000000227e+02 1.194319890146689289e+01
3.300000000000000000e+04 5.170000000000000000e+02 9.402127418834526296e+00
3.400000000000000000e+04 5.230000000000000000e+02 2.097617696340303262e+00
3.500000000000000000e+04 5.162000000000000455e+02 8.818163074019441439e+00
3.600000000000000000e+04 5.286000000000000227e+02 6.621178142898739516e+00
3.700000000000000000e+04 5.233999999999999773e+02 4.799999999999999822e+00
3.800000000000000000e+04 5.262000000000000455e+02 5.775811631277460556e+00
3.900000000000000000e+04 5.246000000000000227e+02 8.309031231136394524e+00
4.000000000000000000e+04 5.223999999999999773e+02 1.623083485221878419e+01
4.100000000000000000e+04 5.196000000000000227e+02 1.036532681587994986e+01
4.200000000000000000e+04 5.147999999999999545e+02 1.202331069215130910e+01
4.300000000000000000e+04 5.170000000000000000e+02 6.099180272790762913e+00
4.400000000000000000e+04 5.237999999999999545e+02 7.359347797189640161e+00
4.500000000000000000e+04 5.260000000000000000e+02 4.774934554525328778e+00
4.600000000000000000e+04 5.293999999999999773e+02 5.388877434122991694e+00
4.700000000000000000e+04 5.230000000000000000e+02 8.831760866327847737e+00
4.800000000000000000e+04 5.267999999999999545e+02 4.664761515876239883e+00
4.900000000000000000e+04 5.233999999999999773e+02 7.964923100695949998e+00
5.000000000000000000e+04 5.253999999999999773e+02 1.185917366429887565e+01
5.100000000000000000e+04 5.163999999999999773e+02 3.440930106817050582e+00
5.200000000000000000e+04 5.216000000000000227e+02 7.002856560004637743e+00
5.300000000000000000e+04 5.186000000000000227e+02 7.709734106958552324e+00
5.400000000000000000e+04 5.200000000000000000e+02 1.664932431061392748e+01
5.500000000000000000e+04 5.196000000000000227e+02 1.139473562659529016e+01
5.600000000000000000e+04 5.227999999999999545e+02 8.840814442120137784e+00
5.700000000000000000e+04 5.257999999999999545e+02 1.000799680255744306e+01
