# x average std
0.000000000000000000e+00 2.815357000000000109e+00 0.000000000000000000e+00
1.000000000000000000e+03 2.818237199999999998e+00 2.180552168603202678e-03
2.000000000000000000e+03 2.818966600000000433e+00 7.471021124317570559e-03
3.000000000000000000e+03 2.821229999999999905e+00 3.189558590150109660e-03
4.000000000000000000e+03 2.817578800000000161e+00 5.142821614639196855e-03
5.000000000000000000e+03 2.816812000000000094e+00 1.004681945692273773e-02
6.000000000000000000e+03 2.821321600000000096e+00 9.033650792453712733e-03
7.000000000000000000e+03 2.821723799999999560e+00 3.487287220749179725e-03
8.000000000000000000e+03 2.814204600000000500e+00 5.256233579284637532e-03
9.000000000000000000e+03 2.822035200000000188e+00 5.461253350651325798e-03
1.000000000000000000e+04 2.818312600000000057e+00 7.460627978930366513e-03
1.100000000000000000e+04 2.815888600000000075e+00 5.502470739586018920e-03
1.200000000000000000e+04 2.817922600000000166e+00 9.374077354065373999e-03
1.300000000000000000e+04 2.813381200000000248e+00 5.929118936233272047e-03
1.400000000000000000e+04 2.816957799999999956e+00 7.293162233215481384e-03
1.500000000000000000e+04 2.812854200000000304e+00 5.632912120741737257e-03
1.600000000000000000e+04 2.816619600000000112e+00 5.245067267442842136e-03
1.700000000000000000e+04 2.820006799999999814e+00 6.587468934272033838e-03
1.800000000000000000e+04 2.814794400000000252e+00 6.322024916116637284e-03
1.900000000000000000e+04 2.814239399999999502e+00 7.993381176948775868e-03
2.000000000000000000e+04 2.817188999999999943e+00 3.979254754347886017e-03
2.100000000000000000e+04 2.820400999999999936e+00 3.786064341766970636e-03
2.200000000000000000e+04 2.819645599999999863e+00 4.863233105661252977e-03
2.300000000000000000e+04 2.810496999999999801e+00 5.262605134341792092e-03
2.400000000000000000e+04 2.819771999999999945e+00 5.201720715301782171e-03
2.500000000000000000e+04 2.817914999999999726e+00 3.993452240856220151e-03
2.600000000000000000e+04 2.816751399999999794e+00 3.729550943478239858e-03
2.700000000000000000e+04 2.815916200000000202e+00 5.218151067188481207e-03
2.800000000000000000e+04 2.815894000000000119e+00 4.984413746871251515e-03
2.900000000000000000e+04 2.817614400000000074e+00 1.043863099453177894e-02
3.000000000000000000e+04 2.818294600000000205e+00 7.631194076944953011e-03
3.100000000000000000e+04 2.824437000000000086e+00 4.569947089409283347e-03
3.200000000000000000e+04 2.816389399999999821e+00 1.011327514903060873e-02
3.300000000000000000e+04 2.813391399999999987e+00 3.172351342458835932e-03
3.400000000000000000e+04 2.816867799999999811e+00 4.035189680795693914e-03
3.500000000000000000e+04 2.819043800000000211e+00 6.362764411794618290e-03
3.600000000000000000e+04 2.815831800000000218e+00 6.407934656345922603e-03
3.700000000000000000e+04 2.814984599999999837e+00 6.194233789582127489e-03
3.800000000000000000e+04 2.817260000000000097e+00 2.993022017961033399e-03
3.900000000000000000e+04 2.813192999999999611e+00 5.989597615866988634e-03
4.000000000000000000e+04 2.814045399999999919e+00 7.526385257213449344e-03
4.100000000000000000e+04 2.821651200000000248e+00 1.257892062778050331e-02
4.200000000000000000e+04 2.814864000000000033e+00 1.114682080236335110e-02
4.300000000000000000e+04 2.815645799999999976e+00 1.403302194682246561e-02
4.400000000000000000e+04 2.814357199999999892e+00 6.940142344361578154e-03
4.500000000000000000e+04 2.816661600000000210e+00 6.996752435237428742e-03
4.600000000000000000e+04 2.816765600000000092e+00 1.180225803141081095e-02
4.700000000000000000e+04 2.817284200000000016e+00 9.621250633883349918e-03
4.800000000000000000e+04 2.817362399999999933e+00 1.155623455282898254e-02
4.900000000000000000e+04 2.818807999999999758e+00 4.171248110578004882e-03
5.000000000000000000e+04 2.817999200000000037e+00 1.430310597597601353e-02
5.100000000000000000e+04 2.818303199999999897e+00 8.084906342067337340e-03
5.200000000000000000e+04 2.821438399999999458e+00 1.338141831944580570e-02
5.300000000000000000e+04 2.818120000000000402e+00 1.407076310652694701e-02
5.400000000000000000e+04 2.819137200000000121e+00 1.160136658157140573e-02
5.500000000000000000e+04 2.819639000000000006e+00 1.404734023222900530e-02
5.600000000000000000e+04 2.815589800000000142e+00 1.143932260931558066e-02
5.700000000000000000e+04 2.820672599999999974e+00 1.648738858157960605e-02
5.800000000000000000e+04 2.817056599999999911e+00 1.615416803923990646e-02
5.900000000000000000e+04 2.812350200000000022e+00 1.420007055475433488e-02
6.000000000000000000e+04 2.819554600000000022e+00 1.428865226114770133e-02
6.100000000000000000e+04 2.821132200000000090e+00 1.754111884002837810e-02
6.200000000000000000e+04 2.826110400000000134e+00 1.939252328708154435e-02
6.300000000000000000e+04 2.822424400000000499e+00 2.036262071148996905e-02
6.400000000000000000e+04 2.828687199999999624e+00 1.482354318508229823e-02
6.500000000000000000e+04 2.825181600000000071e+00 2.049719235017325933e-02
6.600000000000000000e+04 2.832845800000000303e+00 2.896851335087799809e-02
6.700000000000000000e+04 2.825360000000000316e+00 3.210513147146418222e-02
6.800000000000000000e+04 2.829985799999999774e+00 2.929775240116544791e-02
6.900000000000000000e+04 2.826565200000000111e+00 1.874039200657225818e-02
7.000000000000000000e+04 2.832513200000000175e+00 2.438109269413492319e-02
7.100000000000000000e+04 2.833602799999999977e+00 2.327362524747705191e-02
7.200000000000000000e+04 2.835254799999999964e+00 2.664120788102528059e-02
7.300000000000000000e+04 2.837221600000000343e+00 1.763777483244409819e-02
7.400000000000000000e+04 2.837581799999999710e+00 2.340086778219987659e-02
7.500000000000000000e+04 2.836728800000000383e+00 2.844665420326262725e-02
7.600000000000000000e+04 2.841280600000000156e+00 3.389434038656006370e-02
7.700000000000000000e+04 2.835506000000000082e+00 2.157642535731998587e-02
7.800000000000000000e+04 2.837481200000000037e+00 3.265037255162645674e-02
7.900000000000000000e+04 2.830170199999999969e+00 1.864729773881457567e-02
8.000000000000000000e+04 2.836853000000000069e+00 2.146305142331807192e-02
8.100000000000000000e+04 2.825603000000000087e+00 1.735338245991249403e-02
8.200000000000000000e+04 2.827340399999999754e+00 2.370061541479459577e-02
8.300000000000000000e+04 2.826533200000000079e+00 2.191453194937101681e-02
8.400000000000000000e+04 2.830070399999999875e+00 2.247650026672294923e-02
8.500000000000000000e+04 2.823414799999999669e+00 1.645897066526330263e-02
8.600000000000000000e+04 2.823275399999999546e+00 2.013781803075996232e-02
8.700000000000000000e+04 2.829419999999999824e+00 2.197685398777546317e-02
8.800000000000000000e+04 2.830433199999999871e+00 2.867546314464675464e-02
8.900000000000000000e+04 2.828930199999999839e+00 2.424005782501354594e-02
9.000000000000000000e+04 2.833910999999999625e+00 2.641290823063597443e-02
9.100000000000000000e+04 2.829720600000000363e+00 2.328674059287823978e-02
9.200000000000000000e+04 2.832204200000000061e+00 2.635815249519582806e-02
9.300000000000000000e+04 2.836293600000000303e+00 3.328038338481093678e-02
9.400000000000000000e+04 2.837995399999999613e+00 4.068205763036089606e-02
9.500000000000000000e+04 2.838573599999999697e+00 2.685828133444135429e-02
9.600000000000000000e+04 2.843902200000000047e+00 3.786522600170245945e-02
9.700000000000000000e+04 2.849579199999999979e+00 3.374831420026779688e-02
9.800000000000000000e+04 2.844232199999999988e+00 3.017017012481044633e-02
9.900000000000000000e+04 2.845961200000000080e+00 3.453409555439367756e-02
1.000000000000000000e+05 2.843714799999999876e+00 2.832678301819682026e-02
1.010000000000000000e+05 2.827461599999999908e+00 1.998731684443913123e-02
1.020000000000000000e+05 2.833285600000000404e+00 1.553232972351547940e-02
1.030000000000000000e+05 2.829566600000000154e+00 1.954712673105694909e-02
1.040000000000000000e+05 2.832218600000000031e+00 1.676319140975249256e-02
1.050000000000000000e+05 2.833320600000000411e+00 2.383119630736157263e-02
1.060000000000000000e+05 2.833877399999999991e+00 2.314799979782277903e-02
1.070000000000000000e+05 2.836180000000000145e+00 1.940440684999161780e-02
1.080000000000000000e+05 2.826158200000000065e+00 1.358747451736338346e-02
1.090000000000000000e+05 2.830855399999999467e+00 1.938960007426667950e-02
1.100000000000000000e+05 2.828615799999999680e+00 1.552316304623519404e-02
1.110000000000000000e+05 2.836442200000000025e+00 2.072282782247640565e-02
1.120000000000000000e+05 2.834288599999999825e+00 2.437685496203314747e-02
1.130000000000000000e+05 2.841731400000000018e+00 2.169413115660543193e-02
1.140000000000000000e+05 2.838340599999999991e+00 1.732749218554156118e-02
1.150000000000000000e+05 2.837061400000000067e+00 2.241387371785598728e-02
1.160000000000000000e+05 2.830669199999999996e+00 2.001836048631366882e-02
1.170000000000000000e+05 2.832094000000000111e+00 2.128982140836322215e-02
1.180000000000000000e+05 2.838033200000000367e+00 1.193648412892180620e-02
1.190000000000000000e+05 2.835667599999999844e+00 1.442706460233693540e-02
1.200000000000000000e+05 2.837869599999999881e+00 1.926870077197740533e-02
1.210000000000000000e+05 2.836460199999999876e+00 1.643009143492518351e-02
1.220000000000000000e+05 2.839838799999999885e+00 2.062681248666407494e-02
1.230000000000000000e+05 2.844199399999999933e+00 1.952833208033908502e-02
1.240000000000000000e+05 2.834104200000000073e+00 1.703598130311255801e-02
1.250000000000000000e+05 2.837038399999999960e+00 1.566436100962943778e-02
1.260000000000000000e+05 2.834860400000000169e+00 1.955840034972189737e-02
1.270000000000000000e+05 2.836971799999999710e+00 1.382913150418346379e-02
1.280000000000000000e+05 2.836069599999999635e+00 1.667150690969478738e-02
1.290000000000000000e+05 2.838147999999999449e+00 1.316840423134104689e-02
1.300000000000000000e+05 2.837190999999999796e+00 1.456598824659693404e-02
1.310000000000000000e+05 2.840961000000000070e+00 1.208684959780683549e-02
1.320000000000000000e+05 2.834051999999999794e+00 1.862081550308684191e-02
1.330000000000000000e+05 2.836070199999999542e+00 1.507109991208343235e-02
1.340000000000000000e+05 2.836822800000000200e+00 1.499264784352645832e-02
1.350000000000000000e+05 2.837622399999999878e+00 1.602762997576381854e-02
1.360000000000000000e+05 2.836426399999999681e+00 1.767110724997171187e-02
1.370000000000000000e+05 2.840426999999999591e+00 1.304491154435322327e-02
1.380000000000000000e+05 2.837705599999999606e+00 1.532030110147965946e-02
1.390000000000000000e+05 2.837308600000000069e+00 1.518073030654326985e-02
1.400000000000000000e+05 2.835863599999999707e+00 1.383799041190597774e-02
1.410000000000000000e+05 2.841925199999999929e+00 1.762465213727631985e-02
1.420000000000000000e+05 2.838347999999999871e+00 1.434852375681906073e-02
1.430000000000000000e+05 2.841228999999999782e+00 1.694460916043806498e-02
1.440000000000000000e+05 2.839227799999999746e+00 1.172472920625475083e-02
1.450000000000000000e+05 2.840283800000000358e+00 1.578724000450998366e-02
1.460000000000000000e+05 2.838783000000000278e+00 1.343265421277579225e-02
1.470000000000000000e+05 2.840815800000000113e+00 2.055125343525298492e-02
1.480000000000000000e+05 2.835541800000000112e+00 1.690069075984769464e-02
1.490000000000000000e+05 2.835442800000000041e+00 1.992318361507523089e-02
1.500000000000000000e+05 2.837359999999999438e+00 1.198732055131591923e-02
1.510000000000000000e+05 2.835111799999999960e+00 1.710189658955996866e-02
1.520000000000000000e+05 2.838614399999999982e+00 1.820680679965598625e-02
1.530000000000000000e+05 2.838957599999999637e+00 1.432013903005131816e-02
1.540000000000000000e+05 2.834393399999999730e+00 1.577274391600903478e-02
1.550000000000000000e+05 2.832327399999999606e+00 1.978509553780324545e-02
1.560000000000000000e+05 2.833187399999999911e+00 1.788094335990146611e-02
1.570000000000000000e+05 2.832003400000000060e+00 1.957377987615073825e-02
1.580000000000000000e+05 2.835715599999999448e+00 1.501474755831744799e-02
1.590000000000000000e+05 2.838591599999999993e+00 1.678224874800757216e-02
