# x average std
0.000000000000000000e+00 2.832385599999999837e+00 8.000000001118223948e-07
1.000000000000000000e+03 2.832345399999999902e+00 7.744343396311853880e-03
2.000000000000000000e+03 2.839274800000000099e+00 7.175481542029182001e-03
3.000000000000000000e+03 2.839961999999999875e+00 7.096933337717122210e-03
4.000000000000000000e+03 2.838521800000000095e+00 1.006307436919749200e-02
5.000000000000000000e+03 2.843206999999999596e+00 1.825487769337287222e-02
6.000000000000000000e+03 2.848349800000000265e+00 1.569962281585134470e-02
7.000000000000000000e+03 2.844809800000000166e+00 1.551921615804092297e-02
8.000000000000000000e+03 2.839015400000000078e+00 1.056018129768619349e-02
9.000000000000000000e+03 2.838870599999999911e+00 2.784580297710950378e-02
1.000000000000000000e+04 2.834623999999999810e+00 2.620284341822468055e-02
1.100000000000000000e+04 2.836196799999999740e+00 1.339695700373785651e-02
1.200000000000000000e+04 2.827830399999999855e+00 2.344128410817126681e-02
1.300000000000000000e+04 2.838143200000000199e+00 2.541286045607609595e-02
1.400000000000000000e+04 2.838127399999999856e+00 3.328149952511166160e-02
1.500000000000000000e+04 2.839563599999999965e+00 3.174005245490320315e-02
1.600000000000000000e+04 2.840623200000000015e+00 2.323312701639618921e-02
1.700000000000000000e+04 2.846792200000000328e+00 2.831209175882276607e-02
1.800000000000000000e+04 2.838461200000000240e+00 3.223053502751705574e-02
1.900000000000000000e+04 2.828282600000000091e+00 2.461702796521145209e-02
2.000000000000000000e+04 2.834238400000000269e+00 2.307797052255672679e-02
2.100000000000000000e+04 2.823821800000000160e+00 1.761481548469929700e-02
2.200000000000000000e+04 2.832824200000000125e+00 1.501735656365667942e-02
2.300000000000000000e+04 2.823343799999999959e+00 2.262202231808656955e-02
2.400000000000000000e+04 2.827503799999999679e+00 2.207907557303979279e-02
2.500000000000000000e+04 2.827033000000000129e+00 1.547988165329435874e-02
2.600000000000000000e+04 2.827554600000000029e+00 1.874262300319770938e-02
2.700000000000000000e+04 2.831170600000000093e+00 2.095842027062145424e-02
2.800000000000000000e+04 2.827623599999999904e+00 1.249145680215080385e-02
2.900000000000000000e+04 2.833286600000000099e+00 1.246039493114087758e-02
3.000000000000000000e+04 2.836778999999999940e+00 2.133229741026505810e-02
3.100000000000000000e+04 2.836203999999999947e+00 1.686737226719091376e-02
3.200000000000000000e+04 2.831808000000000103e+00 1.229649434595071582e-02
3.300000000000000000e+04 2.833175400000000010e+00 2.354849251735656804e-02
3.400000000000000000e+04 2.834967600000000143e+00 2.665847028319504736e-02
3.500000000000000000e+04 2.834197199999999750e+00 2.323440968391498815e-02
3.600000000000000000e+04 2.836201200000000089e+00 2.128091955156069526e-02
3.700000000000000000e+04 2.836868800000000412e+00 2.407835560332144756e-02
3.800000000000000000e+04 2.825087799999999927e+00 2.100578633995880962e-02
3.900000000000000000e+04 2.830020600000000108e+00 1.645833185471731741e-02
4.000000000000000000e+04 2.832269799999999726e+00 2.192802644471225637e-02
4.100000000000000000e+04 2.833095200000000258e+00 1.725067083217346822e-02
4.200000000000000000e+04 2.827816400000000563e+00 4.131738355704495623e-03
4.300000000000000000e+04 2.830997200000000102e+00 9.984210362367256300e-03
4.400000000000000000e+04 2.831721799999999956e+00 1.809435762219816640e-02
4.500000000000000000e+04 2.830114400000000252e+00 1.334839248149371528e-02
4.600000000000000000e+04 2.826081600000000638e+00 1.468361321473704573e-02
4.700000000000000000e+04 2.828320399999999957e+00 2.313086257449119276e-02
4.800000000000000000e+04 2.826526000000000316e+00 1.808863448688149619e-02
4.900000000000000000e+04 2.826292199999999699e+00 1.901569128272750236e-02
5.000000000000000000e+04 2.832713599999999943e+00 1.737041495877401226e-02
5.100000000000000000e+04 2.835965400000000081e+00 1.634174715995810601e-02
5.200000000000000000e+04 2.836494199999999744e+00 1.243316454326885180e-02
5.300000000000000000e+04 2.834310000000000329e+00 2.795979120809013313e-02
5.400000000000000000e+04 2.840615800000000135e+00 2.426023738878085173e-02
5.500000000000000000e+04 2.841291400000000245e+00 2.281527671188747844e-02
5.600000000000000000e+04 2.842265199999999936e+00 2.559165058686121291e-02
5.700000000000000000e+04 2.831841399999999620e+00 1.704046840436028790e-02
5.800000000000000000e+04 2.831871199999999700e+00 2.335891159621949001e-02
5.900000000000000000e+04 2.837266200000000183e+00 1.686176507249461526e-02
6.000000000000000000e+04 2.836359599999999759e+00 1.709052104062370320e-02
6.100000000000000000e+04 2.834708999999999701e+00 1.685273869731572852e-02
6.200000000000000000e+04 2.833439400000000052e+00 1.147114849699010751e-02
6.300000000000000000e+04 2.829224599999999867e+00 1.083929474827593532e-02
6.400000000000000000e+04 2.835690399999999833e+00 2.132601917470760070e-02
6.500000000000000000e+04 2.847048800000000046e+00 1.944692594113527420e-02
6.600000000000000000e+04 2.833412000000000042e+00 2.148389932018858819e-02
6.700000000000000000e+04 2.831119600000000069e+00 1.725381528358286426e-02
6.800000000000000000e+04 2.836768999999999430e+00 1.111807936650927031e-02
6.900000000000000000e+04 2.835262799999999750e+00 1.235135032941743656e-02
7.000000000000000000e+04 2.828965199999999847e+00 1.746320838105067108e-02
