# x average std
0.000000000000000000e+00 2.832383000000000095e+00 0.000000000000000000e+00
1.000000000000000000e+03 2.834965600000000308e+00 7.851745248032455937e-03
2.000000000000000000e+03 2.826416800000000062e+00 4.167694345798494439e-03
3.000000000000000000e+03 2.838111600000000401e+00 1.099566050039746910e-02
4.000000000000000000e+03 2.853053000000000061e+00 2.435329603154370165e-02
5.000000000000000000e+03 2.848512399999999722e+00 2.803216604260183945e-02
6.000000000000000000e+03 2.852745200000000203e+00 2.708915768642509644e-02
7.000000000000000000e+03 2.850726599999999777e+00 3.407863757018458201e-02
8.000000000000000000e+03 2.846791399999999861e+00 2.555973153693130023e-02
9.000000000000000000e+03 2.836416999999999966e+00 1.827090722432803821e-02
1.000000000000000000e+04 2.839464200000000105e+00 1.491212614485271093e-02
1.100000000000000000e+04 2.841900799999999894e+00 1.704407021107335468e-02
1.200000000000000000e+04 2.841043800000000008e+00 1.863366326195686415e-02
1.300000000000000000e+04 2.834138999999999520e+00 2.576292760537900184e-02
1.400000000000000000e+04 2.828568200000000310e+00 1.091009547895899386e-02
1.500000000000000000e+04 2.835907999999999873e+00 1.594006508142296191e-02
1.600000000000000000e+04 2.829123800000000077e+00 1.865201562727203041e-02
1.700000000000000000e+04 2.832585799999999931e+00 1.883143252543469093e-02
1.800000000000000000e+04 2.832518400000000547e+00 1.152481272038718800e-02
1.900000000000000000e+04 2.829629199999999845e+00 1.261594721612298298e-02
2.000000000000000000e+04 2.832550799999999924e+00 1.023734136189669540e-02
2.100000000000000000e+04 2.832963399999999687e+00 1.462765310772732794e-02
2.200000000000000000e+04 2.827786199999999805e+00 1.276360922936767804e-02
2.300000000000000000e+04 2.831914800000000287e+00 8.489136714648872623e-03
2.400000000000000000e+04 2.831964399999999937e+00 1.303001660167779109e-02
2.500000000000000000e+04 2.824925400000000142e+00 1.037151731618854954e-02
2.600000000000000000e+04 2.828364399999999890e+00 8.495391141083490083e-03
2.700000000000000000e+04 2.831811400000000312e+00 3.772919431952022774e-03
2.800000000000000000e+04 2.825301800000000529e+00 6.870539058909379271e-03
2.900000000000000000e+04 2.826186600000000215e+00 9.079168036775142267e-03
3.000000000000000000e+04 2.826281799999999844e+00 2.047117133922735088e-03
3.100000000000000000e+04 2.824654200000000337e+00 2.056920066507228386e-03
3.200000000000000000e+04 2.832418000000000102e+00 8.756517138680221940e-03
3.300000000000000000e+04 2.826131999999999866e+00 1.338315893950294162e-02
3.400000000000000000e+04 2.829285800000000073e+00 4.776704110576663817e-03
3.500000000000000000e+04 2.828632399999999603e+00 1.207125293579749958e-02
3.600000000000000000e+04 2.825913600000000248e+00 4.890817093288127651e-03
3.700000000000000000e+04 2.827391200000000104e+00 6.792509798299994211e-03
3.800000000000000000e+04 2.830940800000000479e+00 7.267556051383335623e-03
3.900000000000000000e+04 2.832291800000000137e+00 1.072807463434152439e-02
4.000000000000000000e+04 2.829716799999999921e+00 9.855778272668293261e-03
4.100000000000000000e+04 2.835057400000000172e+00 3.107125913122918501e-03
4.200000000000000000e+04 2.831357999999999819e+00 7.808814942102244167e-03
4.300000000000000000e+04 2.837494000000000405e+00 9.095291771020773408e-03
4.400000000000000000e+04 2.829845200000000283e+00 7.421059800325010072e-03
4.500000000000000000e+04 2.830653200000000425e+00 5.376263103680826126e-03
4.600000000000000000e+04 2.831875799999999721e+00 7.653010738265035064e-03
4.700000000000000000e+04 2.830079999999999707e+00 7.006689632058669265e-03
4.800000000000000000e+04 2.834866200000000003e+00 9.602580432362912283e-03
4.900000000000000000e+04 2.831685599999999692e+00 4.453794903225827100e-03
5.000000000000000000e+04 2.833883399999999941e+00 1.012100697756898073e-02
5.100000000000000000e+04 2.835591800000000440e+00 4.194974250218972897e-03
5.200000000000000000e+04 2.829712199999999900e+00 1.114963352581601480e-02
5.300000000000000000e+04 2.837344399999999656e+00 2.063409724315545812e-02
5.400000000000000000e+04 2.840194200000000002e+00 2.053466268921896876e-02
5.500000000000000000e+04 2.846709200000000273e+00 2.444254421618179129e-02
5.600000000000000000e+04 2.842725000000000168e+00 2.570794969654333420e-02
5.700000000000000000e+04 2.846846600000000116e+00 3.736026720782389260e-02
5.800000000000000000e+04 2.839450800000000275e+00 1.833757583106340044e-02
5.900000000000000000e+04 2.843763399999999830e+00 1.428825557722144743e-02
6.000000000000000000e+04 2.838932600000000139e+00 2.294382516146774298e-02
6.100000000000000000e+04 2.830010600000000043e+00 6.179783381316859489e-03
6.200000000000000000e+04 2.835984799999999861e+00 2.229841514009453171e-02
6.300000000000000000e+04 2.833096400000000070e+00 1.980908024719979510e-02
6.400000000000000000e+04 2.848746999999999918e+00 2.245808909057047179e-02
6.500000000000000000e+04 2.849621800000000427e+00 3.247393707821712855e-02
6.600000000000000000e+04 2.845089000000000201e+00 3.058772304046183249e-02
6.700000000000000000e+04 2.842888400000000093e+00 4.032623310749469669e-02
6.800000000000000000e+04 2.843659600000000065e+00 2.804547192400219657e-02
6.900000000000000000e+04 2.841563399999999628e+00 2.962559483689745574e-02
7.000000000000000000e+04 2.843529399999999985e+00 2.906751550855346880e-02
7.100000000000000000e+04 2.845003000000000171e+00 2.932331442385055845e-02
7.200000000000000000e+04 2.844728799999999946e+00 3.081503658540735158e-02
7.300000000000000000e+04 2.844605399999999840e+00 3.156849707287306267e-02
7.400000000000000000e+04 2.848255599999999887e+00 2.330091843340093352e-02
7.500000000000000000e+04 2.838990200000000019e+00 2.243374407806247514e-02
7.600000000000000000e+04 2.843149200000000043e+00 3.143613045144074553e-02
7.700000000000000000e+04 2.845602199999999637e+00 2.402907829609782914e-02
