# x average std
0.000000000000000000e+00 2.860576000000000008e+00 0.000000000000000000e+00
1.000000000000000000e+03 2.846458399999999944e+00 7.153401948723479321e-03
2.000000000000000000e+03 2.852491800000000133e+00 2.031071344290989039e-02
3.000000000000000000e+03 2.841579400000000089e+00 6.276809909500236789e-03
4.000000000000000000e+03 2.846842999999999790e+00 1.269580275524151251e-02
5.000000000000000000e+03 2.853278599999999887e+00 8.341172929510559664e-03
6.000000000000000000e+03 2.851541199999999776e+00 1.071062006421669502e-02
7.000000000000000000e+03 2.847564599999999668e+00 1.317957082154038416e-02
8.000000000000000000e+03 2.841541000000000317e+00 1.465843012058249198e-02
9.000000000000000000e+03 2.846147799999999783e+00 1.831543583319816121e-02
1.000000000000000000e+04 2.851312999999999764e+00 1.121707323681173270e-02
1.100000000000000000e+04 2.844458999999999627e+00 1.253692688022077679e-02
1.200000000000000000e+04 2.847960800000000070e+00 2.144716211903113443e-02
1.300000000000000000e+04 2.848069400000000417e+00 1.592322641426668559e-02
1.400000000000000000e+04 2.849706199999999967e+00 8.561696336591179124e-03
1.500000000000000000e+04 2.846174000000000426e+00 1.306968291887753743e-02
1.600000000000000000e+04 2.853433400000000120e+00 8.824410520822280682e-03
1.700000000000000000e+04 2.851550599999999491e+00 1.065338771659049902e-02
1.800000000000000000e+04 2.853914599999999968e+00 5.039653940500332836e-03
1.900000000000000000e+04 2.853949199999999742e+00 7.552188858867409094e-03
2.000000000000000000e+04 2.853613399999999523e+00 6.956598668889811196e-03
2.100000000000000000e+04 2.849869600000000336e+00 5.175876026335982268e-03
2.200000000000000000e+04 2.855837600000000087e+00 7.255609294883585102e-03
2.300000000000000000e+04 2.856119000000000074e+00 8.580785185517693717e-03
2.400000000000000000e+04 2.849119199999999630e+00 1.214383045665581515e-02
2.500000000000000000e+04 2.856513000000000080e+00 1.880981055725978665e-02
2.600000000000000000e+04 2.856855599999999828e+00 1.244784374259259342e-02
2.700000000000000000e+04 2.858239199999999869e+00 9.610876909002641355e-03
2.800000000000000000e+04 2.860051800000000366e+00 6.286988003805935900e-03
2.900000000000000000e+04 2.862754600000000149e+00 4.616520403940619494e-03
3.000000000000000000e+04 2.858425800000000017e+00 3.743736710827716245e-03
3.100000000000000000e+04 2.857669999999999710e+00 9.212134540919418926e-03
3.200000000000000000e+04 2.854493799999999748e+00 7.038438133563451257e-03
3.300000000000000000e+04 2.856227599999999534e+00 9.926169565345890206e-03
3.400000000000000000e+04 2.854569399999999924e+00 1.380662359304398248e-02
3.500000000000000000e+04 2.853474799999999867e+00 7.760364898637238038e-03
3.600000000000000000e+04 2.854750600000000027e+00 1.277254656832371715e-02
3.700000000000000000e+04 2.858296399999999959e+00 9.778516914133847729e-03
3.800000000000000000e+04 2.859125600000000045e+00 1.205054774854665174e-02
3.900000000000000000e+04 2.854398799999999792e+00 7.520623841145077787e-03
4.000000000000000000e+04 2.856449799999999595e+00 1.144580100124066233e-02
4.100000000000000000e+04 2.858839999999999826e+00 1.735951490105630199e-02
