# Time RMSD_average RMSD_std
0.000000000000000000e+00 9.399999999999999448e-05 0.000000000000000000e+00
1.000000000000000000e+03 1.217511599999999972e-01 2.428063185591346901e-02
2.000000000000000000e+03 1.603451800000000038e-01 3.220176641039432242e-02
3.000000000000000000e+03 1.598954000000000208e-01 2.839074586008617784e-02
4.000000000000000000e+03 1.666593600000000064e-01 4.144899506142941253e-02
5.000000000000000000e+03 2.074642200000000047e-01 4.016735598863336448e-02
6.000000000000000000e+03 2.270443000000000322e-01 8.034498808625215038e-02
7.000000000000000000e+03 2.051374999999999726e-01 8.304561018339258471e-02
8.000000000000000000e+03 2.528962200000000049e-01 7.861585761779617265e-02
9.000000000000000000e+03 2.657541600000000170e-01 4.704070837011705558e-02
1.000000000000000000e+04 2.796346799999999688e-01 6.701593050269168128e-02
1.100000000000000000e+04 3.138291400000000619e-01 5.547731745066988157e-02
1.200000000000000000e+04 2.874807600000000019e-01 4.976479668627613318e-02
1.300000000000000000e+04 2.933798999999999713e-01 6.313004577482894675e-02
1.400000000000000000e+04 3.189327199999999474e-01 6.011834184840431083e-02
1.500000000000000000e+04 3.149148000000000502e-01 7.884173140787816003e-02
1.600000000000000000e+04 2.793459400000000148e-01 8.580268784234210133e-02
1.700000000000000000e+04 2.819708400000000004e-01 6.411027384404469065e-02
1.800000000000000000e+04 2.808226600000000017e-01 1.069763882764715596e-01
1.900000000000000000e+04 2.889224799999999815e-01 9.446297771221061346e-02
2.000000000000000000e+04 3.028604200000000191e-01 9.799144166041032222e-02
2.100000000000000000e+04 3.253739599999999621e-01 1.028319476403437571e-01
2.200000000000000000e+04 2.799540399999999596e-01 4.780012564446248224e-02
2.300000000000000000e+04 3.053451200000000254e-01 6.086755928779796071e-02
2.400000000000000000e+04 3.039851799999999660e-01 4.384843272270515929e-02
2.500000000000000000e+04 3.180159599999999864e-01 6.280515954074475382e-02
2.600000000000000000e+04 3.468980400000000186e-01 5.837795710069340616e-02
2.700000000000000000e+04 2.988093399999999789e-01 3.985935696147644564e-02
2.800000000000000000e+04 3.507610600000000689e-01 6.041827581527298152e-02
2.900000000000000000e+04 2.926797200000000321e-01 3.756418196263030390e-02
3.000000000000000000e+04 3.956574199999999819e-01 5.919480639810895811e-02
3.100000000000000000e+04 4.105574800000000302e-01 5.276474159373473194e-02
3.200000000000000000e+04 3.676031000000000160e-01 5.760367357511152198e-02
3.300000000000000000e+04 3.519341999999999748e-01 9.268424256782811788e-02
3.400000000000000000e+04 3.741150400000000098e-01 5.968535197133716802e-02
3.500000000000000000e+04 3.803640199999999694e-01 3.310698294700983174e-02
3.600000000000000000e+04 3.726085200000000541e-01 4.973823600488461172e-02
3.700000000000000000e+04 3.567276199999999120e-01 4.699029676575367659e-02
3.800000000000000000e+04 3.403440799999999933e-01 5.126074587273971028e-02
3.900000000000000000e+04 3.757164399999999849e-01 5.913017468723055087e-02
4.000000000000000000e+04 3.625597399999999637e-01 6.641242978222074156e-02
4.100000000000000000e+04 3.628301000000000442e-01 7.002193984882165712e-02
4.200000000000000000e+04 3.590639400000000259e-01 1.035634669312610473e-01
4.300000000000000000e+04 3.760915999999999704e-01 6.440100991375834194e-02
