# Time RMSD_average RMSD_std
0.000000000000000000e+00 2.619999999999999649e-05 9.000000000000000228e-06
1.000000000000000000e+03 1.331708199999999953e-01 3.217636351860787836e-02
2.000000000000000000e+03 1.200076400000000126e-01 2.022618075273728208e-02
3.000000000000000000e+03 1.631996199999999897e-01 2.220996129518464438e-02
4.000000000000000000e+03 1.503878200000000054e-01 3.160233235496393012e-02
5.000000000000000000e+03 1.632314599999999949e-01 3.963359000315767877e-02
6.000000000000000000e+03 1.815066799999999758e-01 2.523870817814572592e-02
7.000000000000000000e+03 1.616725199999999862e-01 6.734886633541503631e-02
8.000000000000000000e+03 1.532059800000000194e-01 2.460812377499756176e-02
9.000000000000000000e+03 1.667185600000000156e-01 2.749710260195425623e-02
1.000000000000000000e+04 1.495699600000000018e-01 5.122684408770854930e-02
1.100000000000000000e+04 1.563281000000000254e-01 3.301538899210487710e-02
1.200000000000000000e+04 1.878451199999999766e-01 5.876110676433519281e-02
1.300000000000000000e+04 1.426259200000000171e-01 6.242210867170061572e-02
1.400000000000000000e+04 1.841330200000000084e-01 4.267808964972073099e-02
1.500000000000000000e+04 1.986276200000000047e-01 6.337429822284110226e-02
1.600000000000000000e+04 1.691338600000000247e-01 4.170900499161301483e-02
1.700000000000000000e+04 2.157935599999999954e-01 4.287486165079019973e-02
1.800000000000000000e+04 1.692245200000000172e-01 6.838765473590682764e-02
1.900000000000000000e+04 1.497432999999999959e-01 4.206087966964076885e-02
2.000000000000000000e+04 1.432616800000000024e-01 5.904044963586913691e-02
2.100000000000000000e+04 1.287062399999999995e-01 3.962269104629820987e-02
2.200000000000000000e+04 1.496771399999999863e-01 3.574257854753067065e-02
2.300000000000000000e+04 1.785143200000000041e-01 2.009004405932450846e-02
2.400000000000000000e+04 1.410323199999999888e-01 2.511853584772806222e-02
2.500000000000000000e+04 1.467534200000000233e-01 2.143267185102221833e-02
2.600000000000000000e+04 1.520571599999999968e-01 4.991878739495181350e-02
2.700000000000000000e+04 1.695531399999999911e-01 4.625213127814111619e-02
2.800000000000000000e+04 1.437940200000000224e-01 2.975479728698550083e-02
2.900000000000000000e+04 1.971322799999999931e-01 1.170179585588878857e-01
3.000000000000000000e+04 1.899873800000000112e-01 6.948239513996046224e-02
3.100000000000000000e+04 1.816657799999999989e-01 7.329358365077806581e-02
3.200000000000000000e+04 2.193830000000000224e-01 1.022262054027048422e-01
3.300000000000000000e+04 2.087578400000000001e-01 4.761126552141204532e-02
3.400000000000000000e+04 2.118538200000000260e-01 6.106468249095872020e-02
3.500000000000000000e+04 1.840689799999999932e-01 6.191221988342528182e-02
3.600000000000000000e+04 1.917569199999999974e-01 4.630621409471519928e-02
3.700000000000000000e+04 1.887295000000000222e-01 6.809692276134068911e-02
3.800000000000000000e+04 1.571433799999999992e-01 4.893610692192014444e-02
3.900000000000000000e+04 1.965319400000000161e-01 5.641965385149398660e-02
4.000000000000000000e+04 1.791428800000000321e-01 6.076746332442715948e-02
4.100000000000000000e+04 2.176251800000000292e-01 8.658745475190733620e-02
4.200000000000000000e+04 1.587859799999999932e-01 2.528698001750307595e-02
4.300000000000000000e+04 1.745719199999999915e-01 3.581645431241903266e-02
4.400000000000000000e+04 1.833153399999999933e-01 3.498930939121834560e-02
4.500000000000000000e+04 1.596398600000000223e-01 3.699782033999299974e-02
4.600000000000000000e+04 1.980946000000000096e-01 2.732763432564187106e-02
4.700000000000000000e+04 2.114100200000000318e-01 4.254973131061581815e-02
4.800000000000000000e+04 1.932555400000000034e-01 2.645127841157021015e-02
4.900000000000000000e+04 2.153716399999999476e-01 2.862159508724837140e-02
5.000000000000000000e+04 1.933949799999999941e-01 8.602668404932041490e-02
5.100000000000000000e+04 1.969056799999999718e-01 6.455869645162919113e-02
5.200000000000000000e+04 1.859259800000000185e-01 5.043534345057640311e-02
5.300000000000000000e+04 2.304120000000000057e-01 9.919209732564383819e-02
5.400000000000000000e+04 1.900491000000000263e-01 7.035633188008026673e-02
5.500000000000000000e+04 2.126772200000000002e-01 5.625738850740941155e-02
5.600000000000000000e+04 2.680903399999999825e-01 1.491667232505373419e-01
5.700000000000000000e+04 1.924509200000000253e-01 9.873465319417291941e-02
5.800000000000000000e+04 1.945187800000000300e-01 5.983307965834283593e-02
5.900000000000000000e+04 2.346718600000000099e-01 8.212569623767217164e-02
6.000000000000000000e+04 2.348869600000000057e-01 6.923758699107299130e-02
6.100000000000000000e+04 2.438146800000000058e-01 7.808228170558030590e-02
6.200000000000000000e+04 2.222432599999999980e-01 7.646722380164197586e-02
6.300000000000000000e+04 1.988657199999999958e-01 4.947729845290261413e-02
6.400000000000000000e+04 2.490093000000000445e-01 5.567301544058844004e-02
6.500000000000000000e+04 2.275106800000000207e-01 8.317336939512311178e-02
6.600000000000000000e+04 2.208756399999999842e-01 6.541233556978683084e-02
6.700000000000000000e+04 2.368633800000000122e-01 6.867012710989839341e-02
6.800000000000000000e+04 2.811629600000000173e-01 9.636788387938378941e-02
6.900000000000000000e+04 2.462861000000000078e-01 9.951661257985021380e-02
7.000000000000000000e+04 2.631674800000000092e-01 8.046939158761921840e-02
7.100000000000000000e+04 2.532499000000000278e-01 1.002918766987635907e-01
7.200000000000000000e+04 2.545076599999999689e-01 1.077663014210769044e-01
7.300000000000000000e+04 2.461156399999999689e-01 8.872222935248189057e-02
7.400000000000000000e+04 2.485784000000000604e-01 8.894809984945153958e-02
7.500000000000000000e+04 3.025125199999999515e-01 1.255842592965121518e-01
7.600000000000000000e+04 3.023813799999999774e-01 8.807438260628114302e-02
7.700000000000000000e+04 2.234761799999999687e-01 5.541435665884428263e-02
7.800000000000000000e+04 2.820312600000000058e-01 1.404968856135764832e-01
7.900000000000000000e+04 2.928515399999999658e-01 1.166399112282686806e-01
8.000000000000000000e+04 2.545258799999999821e-01 8.895781183532787406e-02
8.100000000000000000e+04 2.983483400000000452e-01 1.219933549627618130e-01
8.200000000000000000e+04 2.866750800000000265e-01 1.316581894058307389e-01
8.300000000000000000e+04 2.857255200000000106e-01 1.207461532569116675e-01
8.400000000000000000e+04 3.016705599999999765e-01 1.318035577898350741e-01
8.500000000000000000e+04 2.517580200000000268e-01 7.653755720714895683e-02
8.600000000000000000e+04 2.432275599999999538e-01 9.005750546602099560e-02
8.700000000000000000e+04 2.402723200000000114e-01 1.083329497590719143e-01
8.800000000000000000e+04 2.388497399999999771e-01 1.109020221758034580e-01
8.900000000000000000e+04 2.171402799999999633e-01 8.709426161570921199e-02
9.000000000000000000e+04 2.590277599999999958e-01 1.446599145536675846e-01
9.100000000000000000e+04 2.360183800000000276e-01 1.327253620097590958e-01
9.200000000000000000e+04 2.600470200000000176e-01 8.208477152213801420e-02
9.300000000000000000e+04 2.599678399999999501e-01 1.363894331952530681e-01
9.400000000000000000e+04 2.774805000000000188e-01 1.069862198325934044e-01
9.500000000000000000e+04 2.795294400000000179e-01 1.546947907163082059e-01
9.600000000000000000e+04 3.002934199999999776e-01 1.656955102144581360e-01
9.700000000000000000e+04 2.466613800000000134e-01 7.214900688074370183e-02
9.800000000000000000e+04 2.608902199999999505e-01 1.060911637862343437e-01
9.900000000000000000e+04 2.472860199999999953e-01 5.873894833261488618e-02
1.000000000000000000e+05 2.025250000000000106e-01 6.783031720450671820e-02
1.010000000000000000e+05 2.407212200000000135e-01 1.186784981272075296e-01
1.020000000000000000e+05 2.457468800000000009e-01 1.302563103066780581e-01
1.030000000000000000e+05 3.015321599999999935e-01 1.112789529384348580e-01
1.040000000000000000e+05 3.225015000000000520e-01 1.581464427754225577e-01
1.050000000000000000e+05 2.281934399999999974e-01 8.601036224845470812e-02
1.060000000000000000e+05 3.025466800000000123e-01 1.209188891373949026e-01
1.070000000000000000e+05 2.583817199999999814e-01 1.129865059438940333e-01
1.080000000000000000e+05 2.509468799999999833e-01 8.927006717984252437e-02
1.090000000000000000e+05 2.731275000000000230e-01 1.903980698573176367e-01
1.100000000000000000e+05 2.208413399999999971e-01 7.530885073526483175e-02
1.110000000000000000e+05 2.337147799999999831e-01 4.892042131316532566e-02
1.120000000000000000e+05 2.461596600000000024e-01 9.011215370262992685e-02
1.130000000000000000e+05 2.572880400000000511e-01 1.221292837286389876e-01
1.140000000000000000e+05 3.151399999999999757e-01 9.206730160813880737e-02
1.150000000000000000e+05 2.088142199999999948e-01 5.597263429703483451e-02
1.160000000000000000e+05 2.328365600000000257e-01 7.092537292308302710e-02
1.170000000000000000e+05 2.351679599999999815e-01 1.150954927693278590e-01
1.180000000000000000e+05 2.391202400000000117e-01 1.030415511486623553e-01
1.190000000000000000e+05 2.407427200000000211e-01 7.038333482884709391e-02
1.200000000000000000e+05 2.554527000000000325e-01 1.081927404990741387e-01
1.210000000000000000e+05 2.815512800000000149e-01 9.999245607613406472e-02
1.220000000000000000e+05 3.095457200000000242e-01 8.813992346453222715e-02
1.230000000000000000e+05 2.705416999999999961e-01 1.167346654900762587e-01
1.240000000000000000e+05 2.877596800000000177e-01 1.467342497828288406e-01
1.250000000000000000e+05 3.021793400000000185e-01 1.312516966566695809e-01
1.260000000000000000e+05 2.861800800000000033e-01 1.029849216259429018e-01
1.270000000000000000e+05 2.798259800000000297e-01 1.436750891447143019e-01
1.280000000000000000e+05 3.084008799999999884e-01 1.700823716801879715e-01
1.290000000000000000e+05 3.459279000000000659e-01 1.667273744580295425e-01
1.300000000000000000e+05 3.104176800000000291e-01 1.597280859336691339e-01
1.310000000000000000e+05 2.531308999999999365e-01 1.314305896741089774e-01
1.320000000000000000e+05 3.759047199999999700e-01 1.647022741973576954e-01
1.330000000000000000e+05 3.375327200000000083e-01 1.296756186303562597e-01
1.340000000000000000e+05 2.805021200000000214e-01 1.240510067964528951e-01
1.350000000000000000e+05 2.505537599999999587e-01 1.076448998911996857e-01
1.360000000000000000e+05 2.603062400000000221e-01 1.115880804972036316e-01
1.370000000000000000e+05 2.713670599999999933e-01 5.771175021146387335e-02
1.380000000000000000e+05 2.924054799999999954e-01 6.856437819921945565e-02
1.390000000000000000e+05 2.681410599999999311e-01 8.117049604151990727e-02
1.400000000000000000e+05 2.861322199999999927e-01 1.271665817853479818e-01
1.410000000000000000e+05 2.611282600000000009e-01 8.287491657300416481e-02
1.420000000000000000e+05 2.637197599999999698e-01 6.506494866560950940e-02
1.430000000000000000e+05 2.539143600000000056e-01 6.963789764806517513e-02
1.440000000000000000e+05 2.787088799999999922e-01 9.261066347187887904e-02
1.450000000000000000e+05 2.710062599999999988e-01 1.301371767274148439e-01
1.460000000000000000e+05 2.720974399999999682e-01 8.153352280566809884e-02
1.470000000000000000e+05 2.750515800000000177e-01 6.295265883202709467e-02
1.480000000000000000e+05 2.411467599999999878e-01 5.700244182133253762e-02
1.490000000000000000e+05 2.761082200000000153e-01 9.191299940873216834e-02
1.500000000000000000e+05 2.722673800000000033e-01 9.081198756841300790e-02
1.510000000000000000e+05 2.612902799999999859e-01 5.354836079983776170e-02
1.520000000000000000e+05 2.296906200000000120e-01 8.821396327843794571e-02
1.530000000000000000e+05 3.125278199999999562e-01 1.191795526132968658e-01
1.540000000000000000e+05 2.843234000000000039e-01 8.510796761941857858e-02
1.550000000000000000e+05 2.820838399999999746e-01 1.022358125646898735e-01
1.560000000000000000e+05 2.749476600000000381e-01 6.895040544503273916e-02
1.570000000000000000e+05 3.149456600000000162e-01 1.630700102574424992e-01
1.580000000000000000e+05 2.192697200000000013e-01 1.089283745435393885e-01
1.590000000000000000e+05 2.913643000000000205e-01 1.115273928162762995e-01
1.600000000000000000e+05 3.128454800000000091e-01 8.242525227259908660e-02
1.610000000000000000e+05 2.479266200000000142e-01 9.369694852370380467e-02
1.620000000000000000e+05 2.895992000000000011e-01 5.014899891435521673e-02
1.630000000000000000e+05 3.223530000000000006e-01 1.024003400943961778e-01
1.640000000000000000e+05 3.023622000000000254e-01 7.766581971114448757e-02
1.650000000000000000e+05 2.901777600000000623e-01 8.729206193118820012e-02
1.660000000000000000e+05 3.213855999999999935e-01 8.235076099089795598e-02
1.670000000000000000e+05 3.032588600000000190e-01 1.015866844509771411e-01
1.680000000000000000e+05 2.721399400000000246e-01 7.617858097789954874e-02
1.690000000000000000e+05 2.960554400000000586e-01 7.989922058272157235e-02
1.700000000000000000e+05 3.454782799999999710e-01 1.728029131535623042e-01
1.710000000000000000e+05 3.256737600000000343e-01 1.478142251970709087e-01
1.720000000000000000e+05 3.684732000000000007e-01 1.404082970244564799e-01
1.730000000000000000e+05 3.521656199999999570e-01 1.265057614788101248e-01
1.740000000000000000e+05 3.441561799999999782e-01 1.195350807577323649e-01
1.750000000000000000e+05 3.830111600000000172e-01 9.028078214762209897e-02
1.760000000000000000e+05 3.468151399999999662e-01 1.411410483913535241e-01
1.770000000000000000e+05 3.275943399999999839e-01 1.336912273460543754e-01
1.780000000000000000e+05 3.594512200000000157e-01 1.484587005439209628e-01
1.790000000000000000e+05 2.892333799999999844e-01 6.608765156836486632e-02
1.800000000000000000e+05 2.948695800000000200e-01 1.125360340184849289e-01
1.810000000000000000e+05 2.765275400000000161e-01 7.814269993048872376e-02
1.820000000000000000e+05 2.831162199999999740e-01 2.956794909183928927e-02
1.830000000000000000e+05 2.628534800000000282e-01 7.353952202861804843e-02
1.840000000000000000e+05 2.918259600000000509e-01 9.723983656227730421e-02
1.850000000000000000e+05 2.971121800000000035e-01 6.446403269099444666e-02
1.860000000000000000e+05 3.158893200000000290e-01 8.874021181012360648e-02
1.870000000000000000e+05 3.226297000000000192e-01 9.074505336794948251e-02
1.880000000000000000e+05 3.124706800000000007e-01 1.306394564695123051e-01
1.890000000000000000e+05 3.239450400000000174e-01 1.388317388510653116e-01
