# Time RMSD_average RMSD_std
0.000000000000000000e+00 2.739999999999999855e-05 0.000000000000000000e+00
1.000000000000000000e+03 9.684924000000000310e-02 4.080700084312004899e-02
2.000000000000000000e+03 1.251319599999999865e-01 3.350694796609204190e-02
3.000000000000000000e+03 1.224488400000000032e-01 4.477370248463265201e-02
4.000000000000000000e+03 1.229142200000000046e-01 7.959145852734199333e-02
5.000000000000000000e+03 1.293797999999999893e-01 2.032876971958706702e-02
6.000000000000000000e+03 1.124805000000000110e-01 4.712452683106749252e-02
7.000000000000000000e+03 1.089542400000000077e-01 3.373072005253371919e-02
8.000000000000000000e+03 1.281705999999999679e-01 3.065733054628207513e-02
9.000000000000000000e+03 1.355309399999999886e-01 3.591510445651523165e-02
1.000000000000000000e+04 1.165351400000000093e-01 4.471985270036563792e-02
1.100000000000000000e+04 1.551147599999999904e-01 4.579651062863195760e-02
1.200000000000000000e+04 1.706721999999999961e-01 8.089640704711179020e-02
1.300000000000000000e+04 1.689038799999999785e-01 3.489459637866012404e-02
1.400000000000000000e+04 1.525155800000000117e-01 3.605105626510268779e-02
1.500000000000000000e+04 1.369648400000000044e-01 2.628375529536067234e-02
1.600000000000000000e+04 1.543202399999999974e-01 2.616402315092998532e-02
1.700000000000000000e+04 1.629452600000000084e-01 2.820278964823161316e-02
1.800000000000000000e+04 1.429720999999999909e-01 2.554608751797425928e-02
1.900000000000000000e+04 1.326122600000000096e-01 2.733022856740133580e-02
2.000000000000000000e+04 1.428504599999999847e-01 1.375232661720917314e-02
2.100000000000000000e+04 1.589678800000000058e-01 2.883056027685899914e-02
2.200000000000000000e+04 1.699525200000000236e-01 1.622213943416835058e-02
2.300000000000000000e+04 1.387145399999999973e-01 2.965162744772029818e-02
2.400000000000000000e+04 1.544528800000000146e-01 1.894097920218487316e-02
2.500000000000000000e+04 1.440204800000000063e-01 2.807207948317331364e-02
2.600000000000000000e+04 1.456004200000000082e-01 1.391401584250930544e-02
2.700000000000000000e+04 1.722560999999999676e-01 4.624511553736242869e-02
2.800000000000000000e+04 1.473945399999999906e-01 2.576241293129197599e-02
2.900000000000000000e+04 1.436227000000000198e-01 2.461906913114304124e-02
