# Time RMSD_average RMSD_std
0.000000000000000000e+00 4.059999999999999753e-05 0.000000000000000000e+00
1.000000000000000000e+03 1.054978000000000027e-01 1.912922610541263266e-02
2.000000000000000000e+03 1.430916999999999883e-01 6.067643286156496063e-02
3.000000000000000000e+03 1.481659600000000132e-01 4.864026107716117042e-02
4.000000000000000000e+03 1.521073000000000008e-01 3.187101869303834989e-02
5.000000000000000000e+03 1.463481400000000154e-01 3.786066423863162361e-02
6.000000000000000000e+03 1.829786200000000085e-01 3.431506912447649521e-02
7.000000000000000000e+03 1.661362200000000011e-01 3.190549088043624637e-02
8.000000000000000000e+03 1.756014999999999937e-01 2.990632216946778263e-02
9.000000000000000000e+03 1.885727399999999887e-01 3.340131597632644417e-02
1.000000000000000000e+04 1.605892999999999904e-01 4.329489412265608017e-02
1.100000000000000000e+04 1.617982800000000165e-01 4.272647742393000797e-02
1.200000000000000000e+04 1.748730000000000007e-01 1.060911434795572261e-02
1.300000000000000000e+04 1.581973999999999880e-01 4.674290353056814035e-02
1.400000000000000000e+04 1.434035800000000027e-01 4.069214459958580415e-02
1.500000000000000000e+04 1.592576600000000231e-01 2.653985877058127885e-02
1.600000000000000000e+04 1.543835400000000413e-01 5.532109070618908275e-02
1.700000000000000000e+04 1.714189999999999880e-01 5.498891740389148103e-02
1.800000000000000000e+04 1.503851600000000177e-01 3.268944090862369034e-02
1.900000000000000000e+04 1.470549599999999846e-01 5.938970790019428014e-02
2.000000000000000000e+04 1.624527199999999949e-01 5.569299761982290237e-02
2.100000000000000000e+04 1.574344799999999878e-01 6.448463269255397257e-02
2.200000000000000000e+04 1.603933599999999848e-01 4.769446308671898560e-02
2.300000000000000000e+04 1.616136599999999923e-01 5.903472689790646016e-02
2.400000000000000000e+04 1.850406599999999957e-01 3.818892684732578396e-02
2.500000000000000000e+04 1.619418600000000208e-01 3.572067686260158026e-02
2.600000000000000000e+04 1.675843800000000050e-01 3.400484642196756335e-02
2.700000000000000000e+04 1.670011400000000201e-01 2.872765178482919457e-02
2.800000000000000000e+04 1.772186000000000039e-01 3.475644532244342999e-02
2.900000000000000000e+04 1.754221800000000109e-01 5.350896467319846139e-02
3.000000000000000000e+04 1.608021199999999928e-01 3.573394780230139400e-02
3.100000000000000000e+04 1.597316400000000081e-01 5.849420667353648351e-02
3.200000000000000000e+04 1.595043200000000050e-01 5.066371763506503922e-02
3.300000000000000000e+04 1.456175999999999859e-01 4.716669701117515157e-02
3.400000000000000000e+04 1.310579600000000011e-01 3.640911100549421020e-02
3.500000000000000000e+04 1.839166000000000134e-01 3.178464218474073150e-02
3.600000000000000000e+04 1.745730199999999954e-01 4.239723088846251292e-02
3.700000000000000000e+04 1.807779400000000258e-01 4.986972860574238192e-02
3.800000000000000000e+04 1.799916000000000016e-01 2.218687176697067137e-02
3.900000000000000000e+04 1.867908199999999963e-01 4.402601151166886384e-02
4.000000000000000000e+04 1.773428199999999844e-01 4.164714675045098208e-02
4.100000000000000000e+04 1.804540199999999928e-01 4.769242164547318752e-02
4.200000000000000000e+04 1.982886600000000055e-01 1.734570018092091229e-02
4.300000000000000000e+04 1.975442399999999821e-01 2.853611822043075272e-02
4.400000000000000000e+04 1.963601999999999848e-01 1.806781519044292628e-02
4.500000000000000000e+04 1.910880600000000040e-01 3.521260624751312851e-02
4.600000000000000000e+04 1.913344800000000012e-01 1.968331686565046035e-02
4.700000000000000000e+04 1.765076999999999896e-01 4.535972632196980103e-02
4.800000000000000000e+04 1.858810399999999974e-01 4.593555731537825315e-02
4.900000000000000000e+04 1.875427399999999856e-01 3.924756377711105526e-02
5.000000000000000000e+04 1.913194799999999862e-01 3.617745402702628177e-02
5.100000000000000000e+04 1.971790400000000276e-01 5.019017718903171638e-02
5.200000000000000000e+04 1.848316400000000193e-01 4.366984187938399709e-02
5.300000000000000000e+04 1.936837200000000037e-01 4.184271020206028341e-02
5.400000000000000000e+04 1.810628799999999816e-01 3.522139974222489311e-02
5.500000000000000000e+04 1.733169599999999644e-01 4.390451532963779435e-02
5.600000000000000000e+04 1.835998600000000036e-01 3.834230673877616485e-02
5.700000000000000000e+04 1.826891399999999999e-01 3.293969790247627816e-02
5.800000000000000000e+04 1.797571799999999886e-01 2.292880280637434390e-02
5.900000000000000000e+04 1.774129400000000190e-01 3.985053443509133098e-02
6.000000000000000000e+04 1.744357599999999953e-01 3.708413847987302586e-02
6.100000000000000000e+04 1.682733999999999897e-01 3.145777121647368169e-02
6.200000000000000000e+04 1.766984200000000227e-01 1.778622652283502401e-02
6.300000000000000000e+04 1.807274199999999997e-01 2.897334850861390740e-02
6.400000000000000000e+04 1.758996600000000132e-01 3.117260636094454015e-02
6.500000000000000000e+04 1.996837800000000052e-01 3.991390006318099731e-02
6.600000000000000000e+04 1.772053199999999995e-01 2.945639427529445770e-02
6.700000000000000000e+04 1.937037000000000064e-01 3.136325361418997038e-02
6.800000000000000000e+04 1.818482200000000049e-01 4.336670854051065394e-02
6.900000000000000000e+04 1.855866799999999761e-01 4.220736267740025222e-02
7.000000000000000000e+04 1.684593000000000063e-01 4.449083068035480232e-02
7.100000000000000000e+04 1.930126000000000064e-01 4.844283248308256518e-02
7.200000000000000000e+04 1.716316200000000125e-01 4.015499661394083403e-02
7.300000000000000000e+04 1.779537599999999886e-01 3.756493297683891758e-02
7.400000000000000000e+04 1.902026200000000167e-01 1.720150991388838188e-02
7.500000000000000000e+04 1.876325200000000248e-01 2.609655825984721900e-02
7.600000000000000000e+04 1.983963800000000111e-01 1.790314917565064001e-02
7.700000000000000000e+04 1.674841400000000036e-01 3.173554061405603477e-02
7.800000000000000000e+04 1.938738000000000128e-01 2.019785640576741981e-02
7.900000000000000000e+04 1.837680200000000041e-01 2.886610747755227746e-02
8.000000000000000000e+04 1.824279000000000317e-01 2.551240132257251783e-02
8.100000000000000000e+04 1.925040399999999874e-01 4.698361152200201951e-02
8.200000000000000000e+04 1.836060199999999809e-01 4.252358181199697440e-02
8.300000000000000000e+04 1.782917799999999831e-01 3.644425695203018511e-02
8.400000000000000000e+04 1.829374199999999617e-01 3.851341535311559455e-02
8.500000000000000000e+04 1.749479800000000029e-01 3.148921369779817542e-02
8.600000000000000000e+04 2.056342999999999921e-01 3.867611702914344751e-02
8.700000000000000000e+04 1.959995999999999960e-01 5.703448106228372477e-02
8.800000000000000000e+04 1.733737200000000089e-01 3.071590414794264298e-02
8.900000000000000000e+04 1.999644999999999895e-01 4.915035148464352854e-02
9.000000000000000000e+04 1.719414400000000009e-01 4.856758892605644168e-02
9.100000000000000000e+04 1.865195000000000047e-01 3.014980911840072983e-02
9.200000000000000000e+04 1.866683399999999882e-01 4.338713949596585684e-02
9.300000000000000000e+04 1.870966999999999769e-01 3.064594041846325362e-02
9.400000000000000000e+04 1.820638600000000218e-01 4.346467614068233454e-02
9.500000000000000000e+04 1.902294600000000169e-01 2.290192934951987627e-02
9.600000000000000000e+04 1.926866600000000096e-01 2.735981681565868504e-02
9.700000000000000000e+04 1.971582999999999808e-01 5.016557603317238490e-02
9.800000000000000000e+04 1.881432600000000066e-01 3.816791784709246821e-02
9.900000000000000000e+04 1.758498599999999967e-01 4.000232895722947296e-02
1.000000000000000000e+05 1.863481399999999955e-01 3.813043627264708219e-02
1.010000000000000000e+05 1.946689400000000125e-01 4.333065060137453184e-02
1.020000000000000000e+05 1.882595200000000413e-01 3.703263760859602099e-02
1.030000000000000000e+05 1.857931599999999850e-01 4.111643721358162334e-02
1.040000000000000000e+05 1.841813799999999779e-01 5.281439037752495153e-02
1.050000000000000000e+05 1.929836000000000051e-01 4.771673627502200088e-02
1.060000000000000000e+05 2.001869199999999904e-01 4.780238226671971319e-02
1.070000000000000000e+05 1.869399999999999951e-01 4.325482457451422513e-02
1.080000000000000000e+05 1.716488999999999931e-01 3.955797409382840607e-02
1.090000000000000000e+05 1.888006400000000196e-01 2.828744638715908685e-02
1.100000000000000000e+05 1.993719200000000080e-01 2.488764735344825563e-02
1.110000000000000000e+05 1.899046799999999924e-01 2.781862195561814535e-02
1.120000000000000000e+05 1.894149800000000106e-01 3.854524373358663575e-02
1.130000000000000000e+05 1.905605400000000005e-01 4.933807435101617705e-02
1.140000000000000000e+05 1.845684400000000003e-01 3.112319579828523586e-02
1.150000000000000000e+05 1.925172599999999956e-01 5.487132496507078627e-02
1.160000000000000000e+05 1.741984000000000032e-01 4.904162585657209639e-02
1.170000000000000000e+05 1.823946599999999862e-01 3.318442802921876128e-02
1.180000000000000000e+05 1.933611000000000080e-01 2.220997798224933276e-02
1.190000000000000000e+05 1.864153399999999849e-01 4.821141678057595109e-02
1.200000000000000000e+05 1.818868600000000113e-01 3.540317781067683217e-02
1.210000000000000000e+05 1.767030799999999569e-01 4.832965586591321527e-02
1.220000000000000000e+05 1.947463799999999967e-01 2.602503132358537780e-02
1.230000000000000000e+05 1.832292399999999877e-01 4.799152623360087438e-02
1.240000000000000000e+05 1.877174800000000199e-01 5.002229326571903251e-02
1.250000000000000000e+05 2.054326199999999825e-01 2.095195280057685072e-02
1.260000000000000000e+05 1.870041600000000026e-01 4.004382877670914498e-02
1.270000000000000000e+05 1.950641999999999932e-01 5.319266261611652058e-02
1.280000000000000000e+05 1.947417599999999582e-01 3.777122217363901996e-02
1.290000000000000000e+05 1.804178599999999855e-01 4.245612621304963030e-02
1.300000000000000000e+05 1.922536599999999929e-01 4.699956312659086394e-02
1.310000000000000000e+05 1.952606600000000303e-01 4.320237917849432951e-02
1.320000000000000000e+05 1.829846199999999867e-01 4.809281513508644607e-02
1.330000000000000000e+05 1.805594799999999944e-01 2.678563832873131698e-02
1.340000000000000000e+05 1.861534800000000101e-01 3.609899083672007264e-02
1.350000000000000000e+05 1.918855199999999761e-01 4.166102567711937876e-02
1.360000000000000000e+05 1.796085800000000177e-01 4.227032816761185086e-02
1.370000000000000000e+05 1.862002799999999958e-01 3.630780617054133602e-02
1.380000000000000000e+05 1.763082199999999877e-01 3.864471828855270408e-02
1.390000000000000000e+05 1.821788200000000191e-01 4.387748127631758283e-02
1.400000000000000000e+05 1.709831799999999846e-01 3.238888253449939691e-02
1.410000000000000000e+05 1.729996599999999718e-01 2.285087330345166728e-02
1.420000000000000000e+05 1.751713799999999877e-01 4.141261403052939882e-02
1.430000000000000000e+05 1.751840800000000198e-01 3.570175318436897421e-02
1.440000000000000000e+05 1.759535200000000021e-01 2.421311089326606825e-02
1.450000000000000000e+05 1.742719199999999968e-01 3.152480753434666605e-02
1.460000000000000000e+05 1.766873599999999878e-01 3.007351309285963975e-02
1.470000000000000000e+05 1.710249199999999969e-01 3.094656797212898963e-02
1.480000000000000000e+05 1.779948799999999942e-01 1.813013468106621992e-02
1.490000000000000000e+05 1.771683199999999903e-01 3.758084863179116109e-02
1.500000000000000000e+05 1.699217599999999773e-01 2.845392907537375865e-02
1.510000000000000000e+05 1.709722399999999976e-01 3.112074096583176616e-02
1.520000000000000000e+05 1.797273199999999960e-01 4.576058119772518501e-02
1.530000000000000000e+05 1.591644200000000287e-01 4.588069782308897004e-02
1.540000000000000000e+05 1.935491399999999806e-01 2.826984550878196625e-02
1.550000000000000000e+05 1.678627800000000170e-01 3.540692346213661357e-02
1.560000000000000000e+05 1.827967600000000026e-01 5.421991550287034306e-02
1.570000000000000000e+05 1.729271600000000242e-01 2.185130847565883855e-02
1.580000000000000000e+05 1.785950199999999932e-01 3.026162523060517417e-02
1.590000000000000000e+05 1.683998600000000123e-01 4.969174251887732013e-02
1.600000000000000000e+05 1.756867200000000184e-01 3.178142791338362666e-02
1.610000000000000000e+05 1.831029599999999813e-01 3.339526270168271388e-02
1.620000000000000000e+05 1.872843399999999936e-01 3.537889735978780315e-02
1.630000000000000000e+05 1.770358799999999788e-01 4.818059366746740152e-02
1.640000000000000000e+05 1.973053400000000235e-01 6.179480940534084338e-02
1.650000000000000000e+05 1.909670800000000113e-01 5.617603492449071284e-02
1.660000000000000000e+05 1.808092199999999927e-01 1.633422905403251330e-02
1.670000000000000000e+05 1.711001200000000222e-01 1.532147187529970568e-02
1.680000000000000000e+05 1.612611800000000040e-01 2.914324361174644787e-02
1.690000000000000000e+05 1.635027000000000008e-01 2.965341733304948865e-02
1.700000000000000000e+05 1.743053999999999992e-01 3.804269703730270291e-02
1.710000000000000000e+05 1.841652000000000289e-01 3.503649451380659585e-02
1.720000000000000000e+05 1.689914599999999822e-01 3.016394523483955509e-02
1.730000000000000000e+05 1.806380200000000102e-01 3.640146160243568768e-02
1.740000000000000000e+05 2.059576599999999869e-01 5.043961366761644943e-02
1.750000000000000000e+05 1.834410799999999786e-01 2.070976940339027544e-02
1.760000000000000000e+05 1.711197600000000096e-01 1.762561201474717107e-02
1.770000000000000000e+05 1.713442999999999772e-01 3.242282218320916010e-02
1.780000000000000000e+05 1.714181800000000033e-01 2.001233706026360817e-02
1.790000000000000000e+05 1.777070399999999828e-01 3.278527683504289109e-02
1.800000000000000000e+05 1.663016199999999833e-01 4.776143079608900777e-02
1.810000000000000000e+05 1.845878800000000097e-01 5.011286218281291172e-02
1.820000000000000000e+05 1.780937599999999899e-01 1.739383134983204723e-02
1.830000000000000000e+05 1.839583000000000190e-01 5.020255647542264110e-02
1.840000000000000000e+05 1.733909999999999896e-01 3.151794460144887594e-02
1.850000000000000000e+05 1.771884800000000093e-01 4.424868671196469094e-02
1.860000000000000000e+05 1.774674400000000041e-01 5.426383213115711784e-02
1.870000000000000000e+05 1.951747999999999816e-01 3.298932766759577612e-02
1.880000000000000000e+05 1.693001399999999879e-01 2.975029133481552415e-02
1.890000000000000000e+05 1.904191799999999934e-01 2.538585557702557199e-02
1.900000000000000000e+05 1.847563199999999739e-01 1.809190549581773944e-02
1.910000000000000000e+05 1.712415400000000254e-01 3.144446146809323772e-02
1.920000000000000000e+05 1.830609999999999737e-01 1.262964090495054433e-02
1.930000000000000000e+05 1.788622199999999884e-01 1.216122968871157645e-02
1.940000000000000000e+05 1.806261999999999868e-01 1.324821089777786232e-02
1.950000000000000000e+05 1.782486199999999965e-01 2.565833761103006663e-02
1.960000000000000000e+05 1.761318999999999801e-01 1.901815526458862371e-02
1.970000000000000000e+05 1.798615199999999970e-01 2.408024902764920386e-02
1.980000000000000000e+05 1.712400400000000100e-01 1.637866157335208378e-02
1.990000000000000000e+05 1.918040400000000090e-01 2.073434564847417491e-02
2.000000000000000000e+05 1.684907600000000172e-01 2.988756683549867108e-02
2.010000000000000000e+05 1.838990400000000136e-01 3.273259608950074978e-02
