# Time RMSD_average RMSD_std
0.000000000000000000e+00 9.409999999999999691e-05 0.000000000000000000e+00
1.000000000000000000e+03 8.609031999999999796e-02 3.220923075513601463e-02
2.000000000000000000e+03 1.252350999999999881e-01 6.417956387343248803e-02
3.000000000000000000e+03 1.274940800000000096e-01 5.798520328043697825e-02
4.000000000000000000e+03 1.410254999999999981e-01 6.720972573200995059e-02
5.000000000000000000e+03 1.224611599999999856e-01 7.710891608413646126e-02
6.000000000000000000e+03 1.446225600000000111e-01 3.125786891741662299e-02
7.000000000000000000e+03 1.320621599999999840e-01 5.143150160800673970e-02
8.000000000000000000e+03 1.470439800000000186e-01 5.303728479005689195e-02
9.000000000000000000e+03 1.339092599999999744e-01 7.517486402987637317e-02
1.000000000000000000e+04 1.588593800000000222e-01 2.074112165273613723e-02
1.100000000000000000e+04 1.714261400000000046e-01 5.235203702354283839e-02
1.200000000000000000e+04 1.215198999999999863e-01 5.190100836735255657e-02
1.300000000000000000e+04 1.447297999999999918e-01 4.127816186784484531e-02
1.400000000000000000e+04 1.538190000000000113e-01 7.445073370160969206e-02
1.500000000000000000e+04 1.675004800000000071e-01 4.541071762486912494e-02
1.600000000000000000e+04 1.745533600000000185e-01 3.820735058957111518e-02
1.700000000000000000e+04 1.355194799999999977e-01 3.080141365641519274e-02
1.800000000000000000e+04 1.636972999999999900e-01 7.915898488093439656e-02
1.900000000000000000e+04 1.464430600000000138e-01 6.932100679279262767e-02
2.000000000000000000e+04 2.300491000000000064e-01 6.480148528905799177e-02
2.100000000000000000e+04 2.252416600000000102e-01 6.413070834165485179e-02
2.200000000000000000e+04 2.137988200000000005e-01 7.993801510496491292e-02
2.300000000000000000e+04 2.328318599999999738e-01 8.343622453231210045e-02
2.400000000000000000e+04 1.960748599999999897e-01 1.097322313558345419e-01
2.500000000000000000e+04 2.234533800000000348e-01 1.054485725963969639e-01
2.600000000000000000e+04 2.409141599999999883e-01 1.076539287178057414e-01
2.700000000000000000e+04 3.134447999999999679e-01 1.152562396466412509e-01
2.800000000000000000e+04 2.893220799999999815e-01 1.013947623609306598e-01
2.900000000000000000e+04 2.856227599999999756e-01 1.032876054171380370e-01
