# Time RMSD_average RMSD_std
0.000000000000000000e+00 2.629999999999999892e-05 9.000000000000000228e-06
1.000000000000000000e+03 8.690837999999999341e-02 2.171461066530090689e-02
2.000000000000000000e+03 1.048206599999999822e-01 2.412579515826162105e-02
3.000000000000000000e+03 1.250209200000000076e-01 2.890778992620501170e-02
4.000000000000000000e+03 1.159185799999999933e-01 2.418620640112045111e-02
5.000000000000000000e+03 1.285527000000000197e-01 3.318741601770165001e-02
6.000000000000000000e+03 1.191264799999999929e-01 3.531619908599451657e-02
7.000000000000000000e+03 1.327544599999999908e-01 4.696794115767051470e-02
8.000000000000000000e+03 1.362851199999999818e-01 4.564519873889914814e-02
9.000000000000000000e+03 1.397012400000000043e-01 5.991920683048466284e-02
1.000000000000000000e+04 1.442674399999999968e-01 2.263764525657207399e-02
1.100000000000000000e+04 1.181363799999999992e-01 2.887905924571643537e-02
1.200000000000000000e+04 1.310099600000000086e-01 6.384442395613261489e-02
1.300000000000000000e+04 1.332916000000000101e-01 5.016179195439492838e-02
1.400000000000000000e+04 1.320706999999999853e-01 4.071124021903533424e-02
1.500000000000000000e+04 1.463737999999999984e-01 6.321887856683318374e-02
1.600000000000000000e+04 1.352907999999999888e-01 5.652581241043776183e-02
1.700000000000000000e+04 1.450070400000000037e-01 6.538164959450321057e-02
1.800000000000000000e+04 1.550863400000000170e-01 3.650943764193581575e-02
1.900000000000000000e+04 1.257836400000000021e-01 3.861414296604807894e-02
2.000000000000000000e+04 1.455278799999999984e-01 4.276330206606594742e-02
2.100000000000000000e+04 1.132442800000000166e-01 2.244337869852932807e-02
2.200000000000000000e+04 1.117683000000000010e-01 4.665034019537264015e-02
2.300000000000000000e+04 1.310020600000000035e-01 4.825003499889300024e-02
2.400000000000000000e+04 1.320142799999999839e-01 3.826185011362623345e-02
2.500000000000000000e+04 1.332153599999999771e-01 1.333537188931752104e-02
2.600000000000000000e+04 1.387396800000000041e-01 5.627937125055325340e-02
2.700000000000000000e+04 1.393681600000000187e-01 3.664388404536834259e-02
2.800000000000000000e+04 1.387632400000000099e-01 3.953660217310536740e-02
2.900000000000000000e+04 1.651239200000000074e-01 3.467146637483912303e-02
3.000000000000000000e+04 1.618236799999999698e-01 5.486783795257108021e-02
3.100000000000000000e+04 1.476211399999999840e-01 3.898798595929776900e-02
3.200000000000000000e+04 1.515097799999999828e-01 5.714536597042318283e-02
3.300000000000000000e+04 1.613621600000000045e-01 2.347998877790192021e-02
3.400000000000000000e+04 1.864714599999999778e-01 7.194401631892953508e-02
3.500000000000000000e+04 1.570447000000000093e-01 5.186655191620125060e-02
3.600000000000000000e+04 1.617377800000000254e-01 4.219174181805724483e-02
3.700000000000000000e+04 1.413202800000000203e-01 7.063680310213366065e-02
3.800000000000000000e+04 1.253938400000000342e-01 5.845448906308564618e-02
3.900000000000000000e+04 1.608457200000000253e-01 4.002505522111867581e-02
4.000000000000000000e+04 1.432644599999999824e-01 7.278457295907148072e-02
4.100000000000000000e+04 1.611230200000000057e-01 5.521029553126481637e-02
4.200000000000000000e+04 1.477991000000000166e-01 3.747814121682130351e-02
4.300000000000000000e+04 1.478675400000000195e-01 6.665746824434903850e-02
4.400000000000000000e+04 1.423255400000000281e-01 6.278983269207204232e-02
4.500000000000000000e+04 1.468241000000000129e-01 6.642943605143732111e-02
4.600000000000000000e+04 1.413689800000000329e-01 7.828742821693404630e-02
4.700000000000000000e+04 1.537787600000000143e-01 5.925995204218781343e-02
4.800000000000000000e+04 1.449896399999999752e-01 7.947633522050698285e-02
4.900000000000000000e+04 1.617436200000000046e-01 6.858221477932598120e-02
5.000000000000000000e+04 1.700759599999999983e-01 5.153661130895587777e-02
5.100000000000000000e+04 1.586648199999999842e-01 8.019573228533798115e-02
5.200000000000000000e+04 1.435714800000000013e-01 3.493550509366653151e-02
5.300000000000000000e+04 1.486910400000000243e-01 3.712393347707648034e-02
5.400000000000000000e+04 1.211497800000000125e-01 5.076975245125388281e-02
5.500000000000000000e+04 1.555433799999999811e-01 3.876368039484382605e-02
5.600000000000000000e+04 1.526596200000000236e-01 4.751233360353498275e-02
5.700000000000000000e+04 1.336883400000000166e-01 3.289955000243011823e-02
5.800000000000000000e+04 1.517129600000000078e-01 2.860427147547023319e-02
5.900000000000000000e+04 1.647911000000000237e-01 2.007671633220930660e-02
6.000000000000000000e+04 1.660319800000000234e-01 2.497367957914092135e-02
6.100000000000000000e+04 1.486023200000000100e-01 5.306095301015238686e-02
6.200000000000000000e+04 1.769818400000000014e-01 1.638247919535990374e-02
6.300000000000000000e+04 1.460163600000000117e-01 4.150935157212648496e-02
6.400000000000000000e+04 1.598515399999999864e-01 6.039101799471838228e-02
6.500000000000000000e+04 1.433422000000000029e-01 5.374043994382629585e-02
6.600000000000000000e+04 1.263154599999999905e-01 3.149555711217694870e-02
6.700000000000000000e+04 1.164731799999999956e-01 4.983262399895875550e-02
6.800000000000000000e+04 1.614495800000000092e-01 1.815000520081468463e-02
6.900000000000000000e+04 1.754557399999999989e-01 3.609754229676032100e-02
7.000000000000000000e+04 1.499413199999999891e-01 2.608767993251986592e-02
7.100000000000000000e+04 1.460053600000000007e-01 3.325208671458679960e-02
7.200000000000000000e+04 1.467550599999999927e-01 4.048604177681982413e-02
7.300000000000000000e+04 1.406473399999999818e-01 3.818292190404500019e-02
7.400000000000000000e+04 1.459837400000000007e-01 5.459100223167184796e-02
7.500000000000000000e+04 1.466823599999999839e-01 4.232231034277783577e-02
7.600000000000000000e+04 1.525893399999999622e-01 6.196681272328276313e-02
7.700000000000000000e+04 1.272419199999999806e-01 3.357462972384952365e-02
7.800000000000000000e+04 1.468969999999999998e-01 5.412937396242450266e-02
7.900000000000000000e+04 1.607930799999999771e-01 6.772318938217249118e-02
8.000000000000000000e+04 1.419554399999999883e-01 2.722212242560084067e-02
8.100000000000000000e+04 1.561285000000000034e-01 4.008613138944689541e-02
8.200000000000000000e+04 1.469614800000000054e-01 2.278386731908347423e-02
8.300000000000000000e+04 1.587557599999999958e-01 5.467946741224168072e-02
8.400000000000000000e+04 1.571236799999999878e-01 3.087634335023497698e-02
8.500000000000000000e+04 1.703962600000000216e-01 3.993098485725590091e-02
8.600000000000000000e+04 1.454492199999999902e-01 3.280054129872859991e-02
8.700000000000000000e+04 1.394623199999999730e-01 3.907851749958792670e-02
8.800000000000000000e+04 1.225945199999999985e-01 3.775700221078999441e-02
8.900000000000000000e+04 1.334799400000000191e-01 3.814420609705227588e-02
9.000000000000000000e+04 1.383088199999999990e-01 6.374413453761530735e-02
