# Time RMSD_average RMSD_std
0.000000000000000000e+00 2.720000000000000046e-05 0.000000000000000000e+00
1.000000000000000000e+03 8.061448000000001612e-02 3.739488163518638747e-02
2.000000000000000000e+03 9.314172000000001117e-02 3.470288673683501884e-02
3.000000000000000000e+03 7.476056000000000368e-02 2.695832449471591286e-02
4.000000000000000000e+03 1.236889800000000178e-01 3.119688488528301468e-02
5.000000000000000000e+03 1.031684999999999963e-01 1.586630965448487807e-02
6.000000000000000000e+03 1.225834600000000052e-01 2.690723501436742549e-02
7.000000000000000000e+03 1.107941600000000026e-01 2.465772552029890305e-02
8.000000000000000000e+03 1.021773800000000121e-01 2.663756502125522868e-02
9.000000000000000000e+03 1.211881800000000065e-01 4.308369758325764770e-02
1.000000000000000000e+04 1.021033000000000079e-01 2.856833769598784295e-02
1.100000000000000000e+04 1.204737600000000131e-01 3.375064623722632412e-02
1.200000000000000000e+04 1.339316600000000079e-01 6.454071080571083252e-02
1.300000000000000000e+04 1.244520400000000138e-01 3.233823516882761845e-02
1.400000000000000000e+04 1.316007200000000044e-01 5.239581565970320709e-02
1.500000000000000000e+04 1.223491599999999985e-01 3.128550251868108395e-02
1.600000000000000000e+04 1.327446600000000143e-01 2.222166024018907421e-02
1.700000000000000000e+04 1.147453999999999974e-01 1.340273567552535162e-02
1.800000000000000000e+04 1.290862600000000082e-01 2.438544391161251434e-02
1.900000000000000000e+04 1.390886800000000201e-01 6.843028007950871863e-03
2.000000000000000000e+04 1.239940999999999960e-01 3.700998558918929676e-02
2.100000000000000000e+04 1.100077799999999995e-01 2.212620466843783287e-02
2.200000000000000000e+04 1.000993400000000089e-01 2.609767468213212288e-02
2.300000000000000000e+04 1.143663399999999830e-01 1.904119839722279509e-02
2.400000000000000000e+04 1.120223799999999770e-01 1.330600076858557898e-02
2.500000000000000000e+04 1.203660200000000041e-01 1.493371001103209125e-02
2.600000000000000000e+04 1.184766000000000014e-01 2.560043816578145767e-02
2.700000000000000000e+04 1.115493800000000035e-01 2.288333067570365309e-02
2.800000000000000000e+04 1.090250399999999897e-01 1.959248389751539268e-02
2.900000000000000000e+04 1.092945400000000095e-01 1.944510598557899414e-02
3.000000000000000000e+04 1.137847400000000092e-01 2.338134566106921108e-02
3.100000000000000000e+04 1.301283599999999985e-01 3.050877219657323683e-02
3.200000000000000000e+04 1.347814599999999918e-01 3.444000088766549506e-02
3.300000000000000000e+04 1.229535599999999895e-01 3.052072127565795892e-02
3.400000000000000000e+04 1.091253000000000084e-01 4.104990603901548241e-02
3.500000000000000000e+04 1.256274199999999897e-01 3.168318655182272153e-02
3.600000000000000000e+04 1.301232999999999973e-01 3.222074181703456913e-02
3.700000000000000000e+04 1.331475199999999914e-01 2.775059128562128857e-02
3.800000000000000000e+04 1.048148799999999853e-01 3.276021067608692744e-02
3.900000000000000000e+04 1.035232399999999886e-01 1.532639221925369104e-02
4.000000000000000000e+04 1.089800600000000036e-01 2.562250710469996320e-02
4.100000000000000000e+04 1.241417000000000215e-01 2.549511387744718763e-02
4.200000000000000000e+04 1.178970000000000018e-01 2.686592008318345812e-02
4.300000000000000000e+04 1.208686799999999922e-01 1.882162497824245093e-02
4.400000000000000000e+04 1.274808599999999736e-01 1.247178070246586848e-02
4.500000000000000000e+04 9.710166000000000630e-02 2.285921291773625186e-02
4.600000000000000000e+04 1.085304599999999953e-01 2.898083827418385799e-02
4.700000000000000000e+04 9.928954000000000946e-02 3.338788160507342312e-02
4.800000000000000000e+04 1.008534800000000092e-01 2.451605491994174671e-02
4.900000000000000000e+04 1.031835200000000147e-01 2.586933047609852807e-02
5.000000000000000000e+04 1.101971800000000057e-01 3.012842600644115992e-02
5.100000000000000000e+04 1.280755400000000155e-01 3.368732819792035621e-02
5.200000000000000000e+04 9.579878000000000005e-02 1.606444118572445193e-02
5.300000000000000000e+04 1.176684600000000164e-01 2.499471050847358947e-02
5.400000000000000000e+04 8.528347999999999485e-02 2.871433956986647884e-02
5.500000000000000000e+04 9.675293999999999561e-02 2.245110257235487933e-02
5.600000000000000000e+04 1.067030600000000023e-01 2.172028722845072840e-02
5.700000000000000000e+04 1.166599999999999859e-01 3.495240065019854236e-02
5.800000000000000000e+04 1.077469600000000166e-01 2.030173575895420288e-02
5.900000000000000000e+04 1.154467399999999921e-01 2.826150165214863508e-02
6.000000000000000000e+04 8.445810000000000817e-02 3.781681604741467945e-02
6.100000000000000000e+04 7.456358000000000430e-02 9.104440713058655626e-03
6.200000000000000000e+04 7.759743999999998976e-02 2.818936617581885296e-02
6.300000000000000000e+04 8.557729999999999504e-02 2.263570058725817430e-02
6.400000000000000000e+04 1.072690199999999788e-01 3.283778235955649855e-02
6.500000000000000000e+04 5.970740000000000075e-02 1.662749220020866975e-02
6.600000000000000000e+04 1.085068399999999933e-01 3.968753889465054252e-02
6.700000000000000000e+04 1.200450400000000056e-01 3.604701681496542964e-02
6.800000000000000000e+04 1.139611400000000163e-01 2.341578209427137500e-02
6.900000000000000000e+04 9.664870000000000405e-02 3.056561618053854623e-02
7.000000000000000000e+04 9.470308000000000892e-02 2.330465975185220737e-02
7.100000000000000000e+04 8.921587999999999741e-02 1.411233126756879924e-02
7.200000000000000000e+04 1.048376799999999748e-01 3.303140639805698248e-02
7.300000000000000000e+04 8.910429999999999739e-02 2.102809234838005914e-02
7.400000000000000000e+04 1.003121800000000008e-01 2.145466734269258977e-02
7.500000000000000000e+04 1.097748399999999985e-01 3.194656205932650678e-02
7.600000000000000000e+04 1.150936599999999865e-01 2.939153989940642905e-02
7.700000000000000000e+04 1.264248400000000105e-01 3.559692818419028099e-02
7.800000000000000000e+04 1.264070999999999945e-01 3.595120395830993937e-02
7.900000000000000000e+04 1.281196399999999791e-01 4.979745599568716208e-02
8.000000000000000000e+04 1.249354800000000154e-01 5.837951027397883519e-02
8.100000000000000000e+04 1.334519799999999978e-01 3.685694682180823412e-02
8.200000000000000000e+04 1.354668000000000261e-01 3.159704601123339285e-02
8.300000000000000000e+04 1.275357199999999636e-01 3.926916061137034064e-02
8.400000000000000000e+04 1.305755000000000110e-01 2.669518658125468250e-02
8.500000000000000000e+04 1.241496000000000127e-01 4.210652336092354092e-02
8.600000000000000000e+04 1.516146200000000055e-01 4.109938569883496429e-02
8.700000000000000000e+04 1.615078600000000031e-01 3.565240148290715200e-02
8.800000000000000000e+04 1.558371599999999746e-01 3.697590867917108920e-02
8.900000000000000000e+04 1.494240200000000185e-01 4.225457864655142448e-02
9.000000000000000000e+04 1.323219999999999952e-01 5.348893785391517497e-02
9.100000000000000000e+04 1.435156199999999826e-01 3.822678888075220494e-02
9.200000000000000000e+04 1.426573200000000041e-01 5.380574312109813462e-02
9.300000000000000000e+04 1.697781399999999941e-01 6.776442680851363365e-02
9.400000000000000000e+04 1.643971599999999866e-01 3.870696083024860457e-02
9.500000000000000000e+04 1.633844999999999881e-01 3.187452521829933078e-02
9.600000000000000000e+04 1.531219199999999947e-01 5.493208481517518338e-02
9.700000000000000000e+04 1.468709199999999881e-01 5.484238786943544663e-02
9.800000000000000000e+04 1.906323600000000007e-01 5.080628668681071852e-02
9.900000000000000000e+04 1.539690400000000292e-01 3.140077049071248599e-02
1.000000000000000000e+05 1.728257799999999844e-01 3.761859325553788130e-02
1.010000000000000000e+05 1.793759799999999904e-01 4.208038992254706234e-02
1.020000000000000000e+05 1.659002599999999938e-01 4.563428633808574997e-02
1.030000000000000000e+05 1.348029000000000033e-01 4.817380608235143080e-02
1.040000000000000000e+05 1.726358799999999916e-01 5.321697399046285137e-02
1.050000000000000000e+05 1.680513599999999830e-01 4.712317356471654173e-02
1.060000000000000000e+05 1.563443199999999811e-01 2.311646443791956496e-02
1.070000000000000000e+05 1.468488400000000083e-01 1.456200392234530128e-02
1.080000000000000000e+05 1.486992599999999998e-01 5.596252112250126726e-02
1.090000000000000000e+05 1.443911999999999973e-01 1.716743879791042190e-02
1.100000000000000000e+05 1.569594400000000056e-01 3.968142521999933753e-02
1.110000000000000000e+05 1.573238200000000031e-01 3.671039793259670003e-02
1.120000000000000000e+05 1.669215799999999861e-01 2.422774952300769946e-02
1.130000000000000000e+05 1.537186799999999964e-01 3.746554664810857610e-02
1.140000000000000000e+05 1.617314200000000146e-01 7.217756733069909114e-02
1.150000000000000000e+05 1.437475399999999792e-01 4.137813314327266206e-02
1.160000000000000000e+05 1.578890599999999977e-01 5.848724757249566808e-02
1.170000000000000000e+05 1.835137599999999980e-01 5.076329666223815956e-02
1.180000000000000000e+05 1.736956600000000017e-01 3.890424742110300260e-02
1.190000000000000000e+05 1.640018799999999888e-01 2.300327049351026665e-02
1.200000000000000000e+05 1.668870999999999827e-01 4.249655196577718091e-02
1.210000000000000000e+05 1.799017800000000111e-01 4.238231087670421560e-02
1.220000000000000000e+05 1.586077800000000038e-01 2.981812793408734202e-02
1.230000000000000000e+05 1.650382599999999922e-01 5.478655112498322100e-02
1.240000000000000000e+05 1.483615199999999967e-01 4.155912197443058925e-02
1.250000000000000000e+05 1.436069199999999990e-01 5.677797608423182374e-02
1.260000000000000000e+05 1.343890799999999941e-01 3.682866388118906376e-02
1.270000000000000000e+05 1.564190400000000092e-01 3.427000039157280381e-02
1.280000000000000000e+05 1.479638999999999815e-01 2.945526621241097848e-02
1.290000000000000000e+05 1.577659399999999934e-01 2.405219638782287936e-02
1.300000000000000000e+05 1.354864400000000135e-01 3.068457389664063645e-02
1.310000000000000000e+05 1.292375799999999908e-01 2.176913841927603788e-02
1.320000000000000000e+05 1.321891399999999828e-01 2.384531040222375234e-02
1.330000000000000000e+05 1.188974200000000037e-01 2.481440686443260601e-02
1.340000000000000000e+05 1.364680399999999849e-01 3.391946621375990789e-02
1.350000000000000000e+05 1.256666399999999961e-01 2.474086489681394038e-02
