# Time RMSD_average RMSD_std
0.000000000000000000e+00 4.410000000000000129e-05 0.000000000000000000e+00
1.000000000000000000e+03 6.288373999999999353e-02 1.500754122414461530e-02
2.000000000000000000e+03 9.225725999999999372e-02 1.672969818168875203e-02
3.000000000000000000e+03 7.950894000000000017e-02 1.905972756600681287e-02
4.000000000000000000e+03 9.380910000000000637e-02 2.019054699407621042e-02
5.000000000000000000e+03 8.881849999999999468e-02 2.432114541685896983e-02
6.000000000000000000e+03 1.252696000000000087e-01 2.071539527259858710e-02
7.000000000000000000e+03 1.118633799999999984e-01 2.864850660033782526e-02
8.000000000000000000e+03 1.225022000000000055e-01 2.641672286427671282e-02
9.000000000000000000e+03 1.153164200000000028e-01 2.252657839427904887e-02
1.000000000000000000e+04 9.686569999999999903e-02 1.878601518672866691e-02
1.100000000000000000e+04 1.166707399999999950e-01 3.270060582665709759e-02
1.200000000000000000e+04 1.103448999999999958e-01 2.303558531828527045e-02
1.300000000000000000e+04 1.024949200000000032e-01 1.956950851650597969e-02
1.400000000000000000e+04 1.042644199999999965e-01 2.283505280969589171e-02
1.500000000000000000e+04 1.034841199999999989e-01 2.158882835314598556e-02
1.600000000000000000e+04 1.115458599999999967e-01 1.876120440553857849e-02
1.700000000000000000e+04 1.071775799999999945e-01 3.361163731991644726e-02
1.800000000000000000e+04 1.039954999999999907e-01 4.300339484515146998e-02
1.900000000000000000e+04 9.594400000000000150e-02 2.160769397163889854e-02
2.000000000000000000e+04 1.039314199999999966e-01 4.618524589693119575e-03
2.100000000000000000e+04 9.930980000000000363e-02 2.609801651091515906e-02
2.200000000000000000e+04 1.084117199999999892e-01 9.769723157469713606e-03
2.300000000000000000e+04 1.107785599999999981e-01 1.802418551009725423e-02
2.400000000000000000e+04 1.189014600000000144e-01 1.106579824786264529e-02
2.500000000000000000e+04 1.222758399999999829e-01 3.112850299404711085e-02
2.600000000000000000e+04 1.158064800000000033e-01 2.391639834593829728e-02
2.700000000000000000e+04 1.287386199999999703e-01 1.560282984197417996e-02
2.800000000000000000e+04 1.210769999999999902e-01 2.435377953107073501e-02
2.900000000000000000e+04 9.762959999999999694e-02 3.210672672372566483e-02
3.000000000000000000e+04 1.195810000000000067e-01 1.505862941997046338e-02
3.100000000000000000e+04 1.130627799999999877e-01 1.913627386210805040e-02
3.200000000000000000e+04 9.661610000000001031e-02 2.489298509122600533e-02
3.300000000000000000e+04 1.064502000000000087e-01 2.295234246651091034e-02
3.400000000000000000e+04 9.346453999999999873e-02 1.834629535689425925e-02
3.500000000000000000e+04 9.969459999999999433e-02 2.045903592880173039e-02
3.600000000000000000e+04 1.075073200000000034e-01 9.861455675791479941e-03
3.700000000000000000e+04 1.090309799999999996e-01 3.794204438637433646e-02
3.800000000000000000e+04 1.000191199999999891e-01 2.866868733293521238e-02
3.900000000000000000e+04 9.785605999999999471e-02 2.151116838208469093e-02
4.000000000000000000e+04 1.146584999999999965e-01 4.081057172282692019e-02
4.100000000000000000e+04 1.035434400000000005e-01 2.338021936754230284e-02
4.200000000000000000e+04 1.293885600000000136e-01 3.245396242664985026e-02
4.300000000000000000e+04 1.483571600000000157e-01 6.173800507841502999e-02
4.400000000000000000e+04 1.169427599999999928e-01 4.835975534005935994e-02
4.500000000000000000e+04 1.290027199999999874e-01 5.721463734085534963e-02
4.600000000000000000e+04 1.126177800000000284e-01 3.099760900859290999e-02
4.700000000000000000e+04 1.215368000000000004e-01 3.035346047408762904e-02
4.800000000000000000e+04 1.370431200000000183e-01 5.793517595718165880e-02
4.900000000000000000e+04 1.111721799999999816e-01 4.161162513805005680e-02
5.000000000000000000e+04 1.166401800000000100e-01 2.198078065205146328e-02
5.100000000000000000e+04 1.313594399999999940e-01 1.972045449279503579e-02
5.200000000000000000e+04 1.142143200000000081e-01 2.369168367165154152e-02
5.300000000000000000e+04 1.299547600000000025e-01 1.623633005523107686e-02
5.400000000000000000e+04 1.368733199999999928e-01 5.253963402637669422e-02
5.500000000000000000e+04 1.322531400000000190e-01 2.088044225083367234e-02
5.600000000000000000e+04 1.134755799999999926e-01 2.379065471998616232e-02
5.700000000000000000e+04 1.106468800000000030e-01 3.104735395787537600e-02
5.800000000000000000e+04 1.233268199999999898e-01 2.655583016449683531e-02
5.900000000000000000e+04 1.156945399999999846e-01 3.276427722435518858e-02
6.000000000000000000e+04 1.084431399999999934e-01 2.528743235123724620e-02
6.100000000000000000e+04 1.117163199999999801e-01 2.360718602420881079e-02
6.200000000000000000e+04 1.118093799999999999e-01 3.322619266009273209e-02
6.300000000000000000e+04 1.238437799999999867e-01 3.970135535617896200e-02
6.400000000000000000e+04 1.165035800000000094e-01 2.254802522549591640e-02
6.500000000000000000e+04 1.108737399999999845e-01 2.934367080162944216e-02
6.600000000000000000e+04 1.351474399999999798e-01 3.617977032865742071e-02
6.700000000000000000e+04 1.332053200000000159e-01 5.681954429903146586e-02
6.800000000000000000e+04 1.480893000000000070e-01 3.253358357015101454e-02
6.900000000000000000e+04 1.237905200000000150e-01 3.727982094476313402e-02
7.000000000000000000e+04 1.174392600000000036e-01 2.466473399399231325e-02
7.100000000000000000e+04 1.076822799999999913e-01 5.287615431494237933e-02
7.200000000000000000e+04 1.423769599999999969e-01 4.423245838565159627e-02
7.300000000000000000e+04 1.216455199999999931e-01 5.894335548519102908e-02
7.400000000000000000e+04 1.134836600000000140e-01 3.386851486567428460e-02
7.500000000000000000e+04 1.215264199999999961e-01 2.489784654482390600e-02
7.600000000000000000e+04 1.275621600000000078e-01 3.035748926987210522e-02
7.700000000000000000e+04 1.173603800000000003e-01 2.486536587990613792e-02
7.800000000000000000e+04 1.373447399999999929e-01 1.950920857457831559e-02
7.900000000000000000e+04 1.225443599999999911e-01 2.724427077721846766e-02
8.000000000000000000e+04 1.360096000000000083e-01 3.486549042161890544e-02
8.100000000000000000e+04 1.345178999999999958e-01 5.422336963276996880e-02
8.200000000000000000e+04 1.125426000000000065e-01 3.764038975372067247e-02
8.300000000000000000e+04 1.549901800000000052e-01 7.166444165306530556e-02
8.400000000000000000e+04 1.394442400000000248e-01 5.904806365284471364e-02
8.500000000000000000e+04 1.601679200000000192e-01 8.485102779147463137e-02
8.600000000000000000e+04 1.707451600000000069e-01 9.661719076184320520e-02
8.700000000000000000e+04 1.685424400000000156e-01 8.673256170762168316e-02
8.800000000000000000e+04 1.821586199999999933e-01 1.170702992125739750e-01
8.900000000000000000e+04 1.609080800000000089e-01 6.919994392816802842e-02
9.000000000000000000e+04 1.623978199999999983e-01 7.657200562540857069e-02
9.100000000000000000e+04 1.487450200000000056e-01 7.551820769132169819e-02
9.200000000000000000e+04 1.750448199999999899e-01 9.464941175051010125e-02
9.300000000000000000e+04 1.428592599999999879e-01 1.187851328626709918e-01
9.400000000000000000e+04 1.509332399999999963e-01 9.161469280395148629e-02
9.500000000000000000e+04 1.593246600000000068e-01 1.040327912031701746e-01
9.600000000000000000e+04 1.646783200000000169e-01 9.432364956014795132e-02
9.700000000000000000e+04 1.430983200000000011e-01 2.725249315797730401e-02
9.800000000000000000e+04 1.261706799999999795e-01 4.481253545941804584e-02
9.900000000000000000e+04 1.626426599999999945e-01 6.170561691287430178e-02
1.000000000000000000e+05 1.715537800000000168e-01 4.565518301912280946e-02
1.010000000000000000e+05 1.459461400000000020e-01 6.804234654238786040e-02
1.020000000000000000e+05 1.395760199999999951e-01 5.550010625104784268e-02
1.030000000000000000e+05 1.373664199999999891e-01 6.205222584060623298e-02
1.040000000000000000e+05 1.455306600000000061e-01 4.836520328077200531e-02
1.050000000000000000e+05 1.607504599999999839e-01 6.797165789340731124e-02
1.060000000000000000e+05 1.653473000000000304e-01 5.719526662366388597e-02
1.070000000000000000e+05 1.403846400000000050e-01 5.839906791782212281e-02
1.080000000000000000e+05 1.624919999999999976e-01 6.909828511518935346e-02
