# Time RMSD_average RMSD_std
0.000000000000000000e+00 2.750000000000000098e-05 0.000000000000000000e+00
1.000000000000000000e+03 1.838959799999999867e-01 4.448473281513107280e-02
2.000000000000000000e+03 2.003818400000000055e-01 8.079812175444672784e-02
3.000000000000000000e+03 2.169723399999999580e-01 1.059210498610847345e-01
4.000000000000000000e+03 2.401928400000000186e-01 6.948026218823875888e-02
5.000000000000000000e+03 2.601264399999999588e-01 8.837755226625367000e-02
6.000000000000000000e+03 2.330440599999999696e-01 6.742633201916294061e-02
7.000000000000000000e+03 2.558345199999999542e-01 9.008365765663381430e-02
8.000000000000000000e+03 2.027160400000000140e-01 8.240980155686822295e-02
9.000000000000000000e+03 2.091641799999999773e-01 5.251168314653036073e-02
1.000000000000000000e+04 2.242905799999999894e-01 1.057602713256428906e-01
1.100000000000000000e+04 2.429143800000000408e-01 1.388406089829254675e-01
1.200000000000000000e+04 2.671172599999999675e-01 1.426845235732116801e-01
1.300000000000000000e+04 2.772928600000000299e-01 9.906728690084533329e-02
1.400000000000000000e+04 2.373044799999999843e-01 9.041290237746822667e-02
1.500000000000000000e+04 2.531975800000000332e-01 5.282921725346306774e-02
1.600000000000000000e+04 2.654884800000000267e-01 9.101867397349623634e-02
1.700000000000000000e+04 2.515187799999999418e-01 8.379234645000460668e-02
1.800000000000000000e+04 2.333525799999999761e-01 8.482691051998533793e-02
1.900000000000000000e+04 2.161161799999999911e-01 6.190711755936953442e-02
2.000000000000000000e+04 2.469774200000000308e-01 6.027860281842637585e-02
2.100000000000000000e+04 2.252837399999999823e-01 8.665374871610807828e-02
2.200000000000000000e+04 2.016203200000000195e-01 5.388956799698435551e-02
2.300000000000000000e+04 3.113725999999999994e-01 9.242051216441077299e-02
2.400000000000000000e+04 3.053480199999999978e-01 6.193754321812903335e-02
2.500000000000000000e+04 3.116961999999999788e-01 6.750567342157248740e-02
2.600000000000000000e+04 3.038147399999999720e-01 3.493039795986298268e-02
2.700000000000000000e+04 2.713962600000000558e-01 8.628622372426782150e-02
