# Time RMSD_average RMSD_std
0.000000000000000000e+00 3.889999999999999686e-05 0.000000000000000000e+00
1.000000000000000000e+03 1.036898599999999948e-01 1.918015432843020798e-02
2.000000000000000000e+03 1.310754999999999837e-01 5.264690767841925800e-02
3.000000000000000000e+03 1.260158400000000178e-01 4.068426396377843035e-02
4.000000000000000000e+03 1.675453599999999765e-01 2.304835142378733673e-02
5.000000000000000000e+03 1.602535800000000066e-01 3.021062660173734135e-02
6.000000000000000000e+03 1.796007800000000154e-01 3.934305993134748491e-02
7.000000000000000000e+03 1.654290999999999956e-01 6.413102916850781099e-02
8.000000000000000000e+03 1.667934400000000150e-01 3.636739018948706437e-02
9.000000000000000000e+03 1.634828399999999904e-01 5.181211450981710459e-02
1.000000000000000000e+04 1.542497199999999791e-01 5.246321771627813352e-02
1.100000000000000000e+04 1.082809399999999922e-01 4.621456760761047389e-02
1.200000000000000000e+04 1.241849399999999937e-01 4.616296696372969993e-02
1.300000000000000000e+04 1.550687399999999827e-01 2.230043777207972241e-02
1.400000000000000000e+04 1.268540599999999907e-01 2.241190040042120163e-02
1.500000000000000000e+04 1.202590600000000010e-01 2.690748669992053255e-02
1.600000000000000000e+04 1.581433399999999934e-01 1.651830924103311199e-02
1.700000000000000000e+04 1.615653599999999912e-01 4.508637398512325978e-02
1.800000000000000000e+04 1.498465600000000175e-01 7.883840488707519190e-02
1.900000000000000000e+04 1.620967199999999997e-01 1.330610569466513654e-02
2.000000000000000000e+04 1.449558200000000130e-01 4.982968884463959136e-02
2.100000000000000000e+04 1.386960000000000137e-01 3.949074503480530518e-02
2.200000000000000000e+04 1.216597199999999990e-01 3.622373128419544702e-02
2.300000000000000000e+04 1.548930799999999885e-01 4.149734537540443469e-02
2.400000000000000000e+04 1.144314199999999920e-01 3.251384286905501658e-02
2.500000000000000000e+04 1.254193399999999903e-01 6.130421175415601276e-02
2.600000000000000000e+04 1.386598800000000131e-01 5.913397161244625388e-02
2.700000000000000000e+04 1.474112399999999989e-01 5.745616878698404234e-02
2.800000000000000000e+04 1.439655999999999991e-01 4.676151266625150349e-02
2.900000000000000000e+04 1.702615399999999890e-01 4.881129005197874793e-02
3.000000000000000000e+04 1.154383200000000109e-01 2.650048150780660861e-02
3.100000000000000000e+04 1.354231600000000146e-01 7.087216007772303983e-02
3.200000000000000000e+04 1.778659400000000002e-01 6.506520338677503068e-02
3.300000000000000000e+04 1.633657199999999921e-01 5.661263483383899286e-02
3.400000000000000000e+04 1.425272200000000100e-01 4.205411503581545779e-02
3.500000000000000000e+04 1.632327799999999940e-01 2.709003984813606811e-02
3.600000000000000000e+04 1.581304000000000043e-01 4.736732658958071190e-02
3.700000000000000000e+04 1.827652000000000165e-01 2.236049334384194662e-02
3.800000000000000000e+04 1.639876400000000456e-01 1.734774715801449402e-02
3.900000000000000000e+04 1.830693599999999865e-01 2.121414405622814442e-02
4.000000000000000000e+04 1.803901199999999871e-01 2.009607441680091172e-02
4.100000000000000000e+04 1.974186800000000130e-01 1.988410136278730492e-02
4.200000000000000000e+04 1.722043199999999941e-01 4.831245543627025324e-02
4.300000000000000000e+04 1.477388799999999891e-01 3.662600732438085066e-02
4.400000000000000000e+04 2.031786999999999899e-01 5.739787857438635038e-02
4.500000000000000000e+04 1.860139999999999849e-01 4.942888861764949820e-02
4.600000000000000000e+04 1.871142599999999767e-01 4.401618147702501121e-02
4.700000000000000000e+04 1.648145599999999988e-01 2.738816091194149621e-02
4.800000000000000000e+04 1.576837999999999851e-01 3.117156935151004296e-02
4.900000000000000000e+04 1.718915200000000199e-01 6.915315290823405292e-02
5.000000000000000000e+04 1.426991599999999916e-01 2.623905178146497194e-02
5.100000000000000000e+04 1.582846800000000109e-01 2.305308219873428849e-02
5.200000000000000000e+04 1.513506800000000152e-01 1.226156623313677703e-02
5.300000000000000000e+04 1.570147000000000070e-01 5.076033244008553574e-02
5.400000000000000000e+04 1.389265000000000083e-01 2.379507654730280211e-02
5.500000000000000000e+04 1.741374200000000150e-01 3.881572942343863852e-02
5.600000000000000000e+04 1.599121199999999909e-01 3.136480992567307335e-02
5.700000000000000000e+04 1.526341400000000292e-01 2.929746263379134560e-02
5.800000000000000000e+04 1.633512800000000154e-01 2.163048938192568826e-02
5.900000000000000000e+04 1.903726199999999924e-01 1.877145052758576876e-02
6.000000000000000000e+04 1.756019600000000014e-01 4.642315770882458198e-02
6.100000000000000000e+04 2.006941999999999893e-01 3.038727382309904836e-03
6.200000000000000000e+04 1.643616200000000138e-01 1.871360227218693204e-02
6.300000000000000000e+04 1.605548400000000042e-01 3.406029507145232754e-02
6.400000000000000000e+04 1.493472799999999989e-01 2.396397700661557703e-02
6.500000000000000000e+04 1.444010800000000150e-01 4.559031150928451875e-02
6.600000000000000000e+04 1.195796800000000076e-01 6.503897912736331111e-02
6.700000000000000000e+04 1.467868200000000123e-01 5.652177863738544472e-02
6.800000000000000000e+04 1.210196199999999944e-01 8.295248521314836643e-02
6.900000000000000000e+04 1.507834600000000080e-01 6.827347170500705498e-02
7.000000000000000000e+04 1.318829599999999935e-01 4.235597960839059678e-02
7.100000000000000000e+04 1.726883800000000024e-01 5.380807568669967317e-02
7.200000000000000000e+04 1.540886400000000267e-01 5.233037150063431231e-02
7.300000000000000000e+04 1.505499600000000104e-01 4.191231362531063626e-02
7.400000000000000000e+04 1.124558999999999837e-01 3.169431894564071761e-02
7.500000000000000000e+04 1.658189800000000047e-01 7.186514952290573577e-02
7.600000000000000000e+04 1.374074000000000129e-01 4.068794366074549723e-02
7.700000000000000000e+04 1.316385200000000089e-01 4.885205568306823926e-02
7.800000000000000000e+04 1.226665399999999906e-01 3.788479953250907528e-02
7.900000000000000000e+04 1.424099000000000059e-01 3.403248065116618037e-02
8.000000000000000000e+04 1.231931000000000137e-01 3.475485226468384703e-02
8.100000000000000000e+04 1.469860799999999634e-01 4.578240250613329482e-02
8.200000000000000000e+04 1.433994599999999786e-01 2.046019043788205316e-02
8.300000000000000000e+04 1.539967999999999893e-01 3.674963372470534118e-02
8.400000000000000000e+04 1.549218400000000051e-01 1.444935448697968333e-02
8.500000000000000000e+04 1.749807600000000130e-01 2.906917029256941148e-02
8.600000000000000000e+04 1.461435199999999990e-01 3.143803222476877074e-02
8.700000000000000000e+04 1.494233400000000156e-01 3.646376639435921357e-02
8.800000000000000000e+04 1.665979799999999789e-01 6.211329106622510282e-02
8.900000000000000000e+04 1.618439200000000022e-01 3.514205248680844773e-02
9.000000000000000000e+04 1.708475199999999750e-01 5.211969678884940255e-02
9.100000000000000000e+04 1.399611799999999906e-01 3.586655058716408523e-02
9.200000000000000000e+04 1.726460800000000073e-01 3.698727296243398133e-02
9.300000000000000000e+04 1.407203800000000060e-01 4.111681369339798692e-02
9.400000000000000000e+04 1.314335399999999876e-01 4.241558131156993039e-02
9.500000000000000000e+04 1.389209399999999928e-01 5.555060566779088105e-02
9.600000000000000000e+04 1.350632999999999972e-01 4.340432812930065248e-02
9.700000000000000000e+04 1.799594999999999945e-01 2.744862480839431462e-02
9.800000000000000000e+04 1.434333600000000097e-01 3.728212089769571830e-02
9.900000000000000000e+04 1.240670399999999896e-01 3.240345634574188366e-02
1.000000000000000000e+05 1.196321800000000046e-01 5.378337028247300727e-02
1.010000000000000000e+05 1.445227199999999934e-01 4.803469111812420228e-02
1.020000000000000000e+05 1.518415800000000038e-01 3.535829291961929688e-02
1.030000000000000000e+05 1.586413799999999985e-01 2.789461067599976335e-02
1.040000000000000000e+05 1.729795000000000083e-01 4.009359791183624705e-02
1.050000000000000000e+05 1.427018999999999926e-01 2.830341621946015282e-02
1.060000000000000000e+05 1.735599999999999921e-01 3.934126154342282300e-02
1.070000000000000000e+05 1.517696400000000112e-01 1.735092653728901452e-02
1.080000000000000000e+05 1.769976199999999944e-01 3.257406280821598804e-02
1.090000000000000000e+05 1.466242400000000168e-01 1.481161718673554804e-02
1.100000000000000000e+05 1.583079800000000148e-01 1.767391865460515507e-02
1.110000000000000000e+05 1.631034800000000229e-01 2.569220977770499126e-02
1.120000000000000000e+05 1.689700199999999986e-01 4.075706823575022536e-02
1.130000000000000000e+05 1.585763199999999928e-01 2.893966576637677784e-02
1.140000000000000000e+05 1.699913999999999870e-01 9.807825597348265520e-03
1.150000000000000000e+05 1.764155999999999780e-01 3.304167847074358094e-02
1.160000000000000000e+05 1.708172600000000263e-01 2.074809289612903479e-02
1.170000000000000000e+05 1.560418600000000044e-01 3.568189098949773458e-02
1.180000000000000000e+05 1.769084200000000107e-01 4.239763499698538662e-02
1.190000000000000000e+05 1.844498600000000210e-01 3.999116272016105950e-02
1.200000000000000000e+05 1.574771999999999839e-01 1.706611908993957427e-02
1.210000000000000000e+05 1.438783800000000002e-01 3.895372845325078409e-02
1.220000000000000000e+05 1.493118800000000079e-01 2.828489706096877151e-02
1.230000000000000000e+05 1.956250599999999895e-01 4.057908547262246979e-02
1.240000000000000000e+05 1.609510800000000241e-01 3.593985859334452443e-02
1.250000000000000000e+05 1.792801400000000045e-01 3.308705948388886847e-02
1.260000000000000000e+05 2.084981200000000090e-01 4.241153166818666803e-02
1.270000000000000000e+05 1.644145199999999807e-01 3.172823773740986869e-02
1.280000000000000000e+05 1.796683400000000375e-01 3.068331263867054778e-02
1.290000000000000000e+05 1.570442400000000016e-01 1.740018651033372818e-02
1.300000000000000000e+05 1.335961800000000088e-01 2.437317938664547434e-02
1.310000000000000000e+05 1.803394399999999620e-01 5.045894113611976151e-02
1.320000000000000000e+05 1.493894600000000017e-01 4.544803893941299494e-02
1.330000000000000000e+05 1.706646199999999891e-01 2.327344031202950581e-02
1.340000000000000000e+05 1.430219399999999863e-01 3.452383139592707373e-02
1.350000000000000000e+05 1.246543200000000129e-01 4.737467204506645019e-02
1.360000000000000000e+05 1.701924800000000071e-01 3.351636165883164348e-02
1.370000000000000000e+05 1.514716399999999907e-01 2.071165025212622079e-02
1.380000000000000000e+05 1.502700400000000214e-01 2.022135021927072215e-02
1.390000000000000000e+05 1.429940799999999956e-01 2.150531293038071209e-02
1.400000000000000000e+05 1.661621400000000137e-01 2.605688373667120611e-02
1.410000000000000000e+05 1.467776199999999975e-01 4.607327790393907219e-02
1.420000000000000000e+05 1.472801800000000105e-01 2.623288698831297699e-02
1.430000000000000000e+05 1.783107800000000021e-01 4.541512908784472308e-02
1.440000000000000000e+05 1.555429600000000079e-01 3.025950956698406774e-02
1.450000000000000000e+05 1.503120800000000146e-01 3.617292485279010456e-02
1.460000000000000000e+05 1.692729400000000106e-01 2.905768567533208863e-02
1.470000000000000000e+05 1.870868599999999937e-01 3.422230532916215040e-02
1.480000000000000000e+05 1.383902800000000044e-01 1.447300276948774653e-02
1.490000000000000000e+05 1.304146199999999811e-01 1.896356063859316182e-02
1.500000000000000000e+05 1.396493199999999935e-01 2.375751278668707459e-02
1.510000000000000000e+05 1.529099800000000009e-01 4.160232650332911647e-02
1.520000000000000000e+05 1.359845399999999871e-01 2.928831183865673177e-02
1.530000000000000000e+05 1.163355199999999978e-01 3.962914401484846083e-02
1.540000000000000000e+05 1.494293999999999900e-01 2.177523100800540096e-02
1.550000000000000000e+05 1.264166800000000035e-01 4.345591056951401271e-02
1.560000000000000000e+05 1.366477399999999620e-01 4.598053748775018240e-02
1.570000000000000000e+05 1.142471600000000143e-01 2.650082846468011788e-02
1.580000000000000000e+05 1.366192599999999924e-01 3.838664004153528181e-02
1.590000000000000000e+05 1.468718800000000102e-01 4.650605940719552966e-02
1.600000000000000000e+05 1.160555600000000159e-01 3.998603215767225494e-02
1.610000000000000000e+05 1.637276399999999799e-01 2.399805242194457885e-02
1.620000000000000000e+05 1.626484599999999947e-01 3.265983318356663334e-02
1.630000000000000000e+05 1.785683400000000198e-01 2.993477142231755483e-02
1.640000000000000000e+05 1.661377799999999849e-01 4.170234909399708756e-02
1.650000000000000000e+05 1.604530799999999979e-01 3.705957855267110607e-02
1.660000000000000000e+05 1.556970000000000298e-01 1.085264796240990696e-02
