# Time RMSD_average RMSD_std
0.000000000000000000e+00 9.390000000000000560e-05 0.000000000000000000e+00
1.000000000000000000e+03 8.221739999999999604e-02 3.368777209510893239e-02
2.000000000000000000e+03 7.761301999999999091e-02 2.350127709860891714e-02
3.000000000000000000e+03 1.101808799999999949e-01 8.955928811329397915e-03
4.000000000000000000e+03 7.886609999999999454e-02 2.073792004604126452e-02
5.000000000000000000e+03 7.719958000000000375e-02 2.274096158260683481e-02
6.000000000000000000e+03 8.786913999999999836e-02 1.761961068907028777e-02
7.000000000000000000e+03 7.388127999999999362e-02 2.524766970089714971e-02
8.000000000000000000e+03 1.014097599999999877e-01 1.779805644744392179e-02
9.000000000000000000e+03 9.383090000000000874e-02 2.028360243605657406e-02
1.000000000000000000e+04 9.557086000000000747e-02 1.481253342093782378e-02
1.100000000000000000e+04 8.922910000000000563e-02 2.289574355743879269e-02
1.200000000000000000e+04 8.747552000000000105e-02 1.094221772245461931e-02
1.300000000000000000e+04 1.190102200000000138e-01 2.165273176127206073e-02
1.400000000000000000e+04 9.162642000000001397e-02 1.024873671520544136e-02
1.500000000000000000e+04 1.015177000000000024e-01 4.271482508511535020e-02
1.600000000000000000e+04 1.026893799999999829e-01 9.911763435716165055e-03
1.700000000000000000e+04 1.021646800000000077e-01 2.082366357127390932e-02
1.800000000000000000e+04 1.051302399999999998e-01 3.295765027774887057e-02
1.900000000000000000e+04 9.474829999999999364e-02 1.438932077493583483e-02
2.000000000000000000e+04 9.903189999999999216e-02 3.814125396926534850e-02
2.100000000000000000e+04 1.150850600000000029e-01 5.954191302790328572e-02
2.200000000000000000e+04 9.871831999999999829e-02 3.125611395777792151e-02
2.300000000000000000e+04 8.420022000000000617e-02 2.278129738705853696e-02
2.400000000000000000e+04 1.136469600000000052e-01 3.033474377255229032e-02
2.500000000000000000e+04 1.148694400000000171e-01 4.571647240943246121e-02
2.600000000000000000e+04 9.843650000000001010e-02 2.726182281235060845e-02
2.700000000000000000e+04 1.215814600000000023e-01 3.369211977193480034e-02
2.800000000000000000e+04 1.217727600000000077e-01 4.241320787611330828e-02
2.900000000000000000e+04 1.132166800000000001e-01 3.852351411413035276e-02
3.000000000000000000e+04 1.124662400000000090e-01 3.775925508320310958e-02
3.100000000000000000e+04 1.311848999999999932e-01 4.017695982729405091e-02
3.200000000000000000e+04 1.227966199999999952e-01 3.038479716742568254e-02
3.300000000000000000e+04 1.177152399999999988e-01 1.403390813089496793e-02
3.400000000000000000e+04 1.383846400000000032e-01 5.022772153962789393e-02
3.500000000000000000e+04 1.334502599999999872e-01 4.116488776088670504e-02
3.600000000000000000e+04 1.208850999999999953e-01 2.155124400465086715e-02
3.700000000000000000e+04 1.444308200000000153e-01 4.850830661193605842e-02
3.800000000000000000e+04 1.348667800000000194e-01 4.775585773445598786e-02
3.900000000000000000e+04 1.200236600000000042e-01 1.066667073938255307e-02
4.000000000000000000e+04 1.119018400000000024e-01 4.665040070479994916e-02
4.100000000000000000e+04 1.286793599999999649e-01 2.504567122020090464e-02
4.200000000000000000e+04 1.250446000000000057e-01 3.082926880365474687e-02
4.300000000000000000e+04 1.301309999999999967e-01 4.834636033291440926e-02
4.400000000000000000e+04 1.346696000000000004e-01 4.334222792307750038e-02
4.500000000000000000e+04 1.382513599999999898e-01 5.235491414068406402e-02
4.600000000000000000e+04 1.352346999999999855e-01 3.709727429448152897e-02
4.700000000000000000e+04 1.440262999999999960e-01 4.979129881772517002e-02
4.800000000000000000e+04 1.347300800000000298e-01 4.024912086540027856e-02
4.900000000000000000e+04 1.207738999999999896e-01 2.435815317810445524e-02
5.000000000000000000e+04 1.357814400000000032e-01 5.483474646333654640e-02
5.100000000000000000e+04 1.456704200000000227e-01 5.102058071733013567e-02
5.200000000000000000e+04 1.433662800000000126e-01 3.839207151803090273e-02
5.300000000000000000e+04 1.269792399999999932e-01 5.195222879621624879e-02
5.400000000000000000e+04 1.385158600000000184e-01 2.430227250679244458e-02
5.500000000000000000e+04 1.410749200000000203e-01 3.728668363453097045e-02
5.600000000000000000e+04 1.439771200000000140e-01 2.570219802253496250e-02
5.700000000000000000e+04 1.493302999999999991e-01 3.434814889923472336e-02
5.800000000000000000e+04 1.619363400000000119e-01 2.892439314555103960e-02
5.900000000000000000e+04 1.491929399999999961e-01 4.349884392374583214e-02
6.000000000000000000e+04 1.345968399999999954e-01 2.433041951085923929e-02
6.100000000000000000e+04 1.516004400000000030e-01 3.390948144036413925e-02
6.200000000000000000e+04 1.463984399999999908e-01 5.366065068135496274e-02
6.300000000000000000e+04 1.493029600000000123e-01 3.457392018354876057e-02
6.400000000000000000e+04 1.496258999999999784e-01 2.632750219948713083e-02
6.500000000000000000e+04 1.331502600000000203e-01 3.214907581760943767e-02
6.600000000000000000e+04 1.403114999999999779e-01 2.484982964802777070e-02
6.700000000000000000e+04 1.405072599999999949e-01 9.985365871834645662e-03
6.800000000000000000e+04 1.771515800000000307e-01 1.620850492036819690e-02
6.900000000000000000e+04 1.443777400000000044e-01 4.536789886554589563e-02
7.000000000000000000e+04 1.454941799999999730e-01 2.937786454270630357e-02
7.100000000000000000e+04 1.293917800000000118e-01 1.639038277093003704e-02
7.200000000000000000e+04 1.681491199999999853e-01 4.674862778860572332e-02
7.300000000000000000e+04 1.413922200000000129e-01 1.601603404784093451e-02
7.400000000000000000e+04 1.487922600000000095e-01 1.951680264188783431e-02
7.500000000000000000e+04 1.547166400000000164e-01 3.264747823024620466e-02
7.600000000000000000e+04 1.498755799999999805e-01 5.146223841153433481e-02
7.700000000000000000e+04 1.592657199999999995e-01 2.662687927049657566e-02
7.800000000000000000e+04 1.632252799999999726e-01 3.120256237647158620e-02
7.900000000000000000e+04 1.418706000000000134e-01 1.621479107716161314e-02
8.000000000000000000e+04 1.713646000000000058e-01 2.958981319136705715e-02
8.100000000000000000e+04 1.745825799999999872e-01 2.610937204449007357e-02
8.200000000000000000e+04 1.595631000000000133e-01 2.248575177867085870e-02
8.300000000000000000e+04 1.817831199999999925e-01 4.021646809278010132e-02
8.400000000000000000e+04 1.489342600000000127e-01 4.930328309865784214e-02
8.500000000000000000e+04 1.442496000000000056e-01 4.533115708141586403e-02
8.600000000000000000e+04 1.687855799999999906e-01 3.955442241339898746e-02
8.700000000000000000e+04 1.393833600000000117e-01 4.222917614837400080e-02
8.800000000000000000e+04 1.611847799999999997e-01 1.848824126934739062e-02
8.900000000000000000e+04 1.572598600000000291e-01 2.994570343302023138e-02
9.000000000000000000e+04 1.619214200000000103e-01 5.125440982644906968e-02
9.100000000000000000e+04 1.737658799999999837e-01 3.325159806826733649e-02
9.200000000000000000e+04 1.630390199999999790e-01 2.986818233862917685e-02
9.300000000000000000e+04 1.795424999999999938e-01 3.046422248612296393e-02
9.400000000000000000e+04 2.095723599999999853e-01 4.405863782908409076e-02
9.500000000000000000e+04 1.600491200000000169e-01 3.737596841209067655e-02
9.600000000000000000e+04 1.613946799999999571e-01 5.544970341364865996e-02
9.700000000000000000e+04 1.732210200000000033e-01 2.828872279092147293e-02
9.800000000000000000e+04 1.408631800000000045e-01 3.293095642445873633e-02
9.900000000000000000e+04 1.780812599999999912e-01 4.513896682010345301e-02
1.000000000000000000e+05 1.859596400000000094e-01 2.847343515437503539e-02
