# Time RMSD_average RMSD_std
0.000000000000000000e+00 2.636000000000000173e-05 9.079999999999999462e-06
1.000000000000000000e+03 6.415450000000000319e-02 2.362210834087423439e-02
2.000000000000000000e+03 7.881321999999998940e-02 2.964959439387999593e-02
3.000000000000000000e+03 9.111453999999999387e-02 1.713615009896913774e-02
4.000000000000000000e+03 1.026300599999999952e-01 2.660970822587876636e-02
5.000000000000000000e+03 1.085317399999999877e-01 3.083012595586336752e-02
6.000000000000000000e+03 9.711783999999998307e-02 3.316832140435207327e-02
7.000000000000000000e+03 9.576367999999998992e-02 4.092421332382089466e-02
8.000000000000000000e+03 9.475391999999999149e-02 3.065563524922619923e-02
9.000000000000000000e+03 9.422943999999999765e-02 4.713597479813480540e-02
1.000000000000000000e+04 1.084420600000000068e-01 2.655829067312879752e-02
1.100000000000000000e+04 8.208263999999998450e-02 3.992789650235032545e-02
1.200000000000000000e+04 1.149049200000000076e-01 5.082072361584002995e-02
1.300000000000000000e+04 1.090773199999999915e-01 4.295278293113963253e-02
1.400000000000000000e+04 1.235456199999999810e-01 4.877520794905542550e-02
1.500000000000000000e+04 1.231651399999999785e-01 5.625041126034902028e-02
1.600000000000000000e+04 1.212643399999999982e-01 4.053343562347510448e-02
1.700000000000000000e+04 1.404315599999999831e-01 5.042753583694527253e-02
1.800000000000000000e+04 1.215861000000000025e-01 5.341271393003729079e-02
1.900000000000000000e+04 1.147070199999999929e-01 4.367376000636537942e-02
2.000000000000000000e+04 1.193843400000000055e-01 4.287325277944746549e-02
2.100000000000000000e+04 7.569934000000000385e-02 2.278309563642307370e-02
2.200000000000000000e+04 8.789124000000000936e-02 2.725043390983710595e-02
2.300000000000000000e+04 8.791812000000000238e-02 2.743326211841384463e-02
2.400000000000000000e+04 9.154562000000000810e-02 1.828964643019651351e-02
2.500000000000000000e+04 9.407380000000001297e-02 1.631338625240020754e-02
2.600000000000000000e+04 9.091770000000000407e-02 4.583101642102212214e-02
2.700000000000000000e+04 1.015788599999999792e-01 4.495122260942854137e-02
2.800000000000000000e+04 9.408965999999999164e-02 2.678140618015417002e-02
2.900000000000000000e+04 1.184122199999999986e-01 5.049500199506481990e-02
3.000000000000000000e+04 1.247909799999999958e-01 7.009201348257589059e-02
3.100000000000000000e+04 1.139066399999999896e-01 4.986580979098204081e-02
3.200000000000000000e+04 1.266471799999999981e-01 6.834500703218633622e-02
3.300000000000000000e+04 1.169634199999999985e-01 2.893311122692476811e-02
3.400000000000000000e+04 1.503756599999999943e-01 8.653867180442741114e-02
3.500000000000000000e+04 1.300736400000000181e-01 5.130983303494954240e-02
3.600000000000000000e+04 1.213649999999999868e-01 3.482201463183886431e-02
3.700000000000000000e+04 1.240901199999999982e-01 5.674796919296407754e-02
3.800000000000000000e+04 9.880310000000000481e-02 5.436273723605168640e-02
3.900000000000000000e+04 1.369573999999999792e-01 4.070560820648672778e-02
4.000000000000000000e+04 1.296771399999999963e-01 6.540033161348955681e-02
4.100000000000000000e+04 1.396876400000000018e-01 5.517856755772479471e-02
4.200000000000000000e+04 1.285664999999999725e-01 3.683142638720363071e-02
4.300000000000000000e+04 1.275328600000000256e-01 4.545994316470710478e-02
4.400000000000000000e+04 1.215432199999999935e-01 5.618851867199917138e-02
4.500000000000000000e+04 1.270410399999999940e-01 3.979479443613699596e-02
4.600000000000000000e+04 1.137885800000000003e-01 5.703749815044133892e-02
4.700000000000000000e+04 1.413918800000000253e-01 5.018941396061125937e-02
4.800000000000000000e+04 1.234032399999999835e-01 4.571952013197863596e-02
4.900000000000000000e+04 1.217351400000000056e-01 6.883547235246083307e-02
5.000000000000000000e+04 1.298360199999999964e-01 5.943488085151343858e-02
5.100000000000000000e+04 1.204354799999999975e-01 6.209408663962777408e-02
5.200000000000000000e+04 1.134279800000000116e-01 4.096731146601641921e-02
5.300000000000000000e+04 1.175974799999999904e-01 5.313046017603836879e-02
5.400000000000000000e+04 9.738801999999999182e-02 2.417840128465073221e-02
5.500000000000000000e+04 1.309389999999999998e-01 3.459523321956364805e-02
5.600000000000000000e+04 1.113101999999999980e-01 5.101424649048537374e-02
5.700000000000000000e+04 1.223143000000000147e-01 3.349250316014017875e-02
5.800000000000000000e+04 1.014330600000000054e-01 2.393160567839943548e-02
5.900000000000000000e+04 1.043161400000000016e-01 3.585287088870848377e-02
6.000000000000000000e+04 1.092825200000000080e-01 2.038133164102876038e-02
6.100000000000000000e+04 9.583495999999999682e-02 2.538970058788405856e-02
6.200000000000000000e+04 1.123274400000000145e-01 3.017393412842283434e-02
6.300000000000000000e+04 9.892588000000000770e-02 2.061763058175211660e-02
6.400000000000000000e+04 1.265530200000000161e-01 4.663769984454207984e-02
6.500000000000000000e+04 1.060186999999999935e-01 5.367039110936308588e-02
