# Time RMSD_average RMSD_std
0.000000000000000000e+00 9.399999999999999448e-05 0.000000000000000000e+00
1.000000000000000000e+03 1.659005600000000025e-01 6.112640864793547624e-02
2.000000000000000000e+03 1.748172200000000232e-01 5.658717756355764045e-02
3.000000000000000000e+03 2.004081799999999913e-01 4.563714749269064119e-02
4.000000000000000000e+03 1.596500799999999720e-01 6.102952025816359150e-02
5.000000000000000000e+03 2.467678199999999988e-01 4.175526481680603280e-02
6.000000000000000000e+03 2.123835999999999780e-01 2.146606056443519164e-02
7.000000000000000000e+03 1.750960599999999978e-01 9.525162838993568581e-02
8.000000000000000000e+03 1.745644799999999941e-01 5.645489774811039696e-02
9.000000000000000000e+03 2.091549199999999664e-01 6.343631637320691630e-02
1.000000000000000000e+04 2.514108599999999583e-01 6.967129004129606062e-02
1.100000000000000000e+04 1.867535599999999851e-01 5.518047094679783687e-02
1.200000000000000000e+04 2.024584999999999579e-01 3.998093135023244454e-02
1.300000000000000000e+04 2.520874800000000304e-01 3.692063048548332310e-02
1.400000000000000000e+04 2.369759799999999750e-01 5.859265412856461824e-02
1.500000000000000000e+04 2.321688199999999980e-01 9.302262390733556652e-02
1.600000000000000000e+04 2.133070599999999928e-01 3.979478231520307968e-02
1.700000000000000000e+04 2.596033799999999947e-01 8.354252275461640509e-02
1.800000000000000000e+04 2.822016200000000419e-01 8.138477711737988896e-02
1.900000000000000000e+04 3.063652000000000042e-01 1.229672816707273464e-01
2.000000000000000000e+04 3.128561799999999837e-01 1.212054296976897011e-01
2.100000000000000000e+04 3.141042399999999790e-01 1.302957252178842673e-01
2.200000000000000000e+04 3.234640800000000427e-01 1.183725794260714892e-01
2.300000000000000000e+04 3.336795399999999967e-01 1.141302961645960096e-01
2.400000000000000000e+04 2.881913999999999865e-01 8.849939150559171797e-02
2.500000000000000000e+04 3.036398200000000047e-01 1.067911341667537456e-01
2.600000000000000000e+04 2.835919399999999868e-01 1.224280695191850288e-01
2.700000000000000000e+04 3.453108799999999867e-01 9.788167598400426828e-02
2.800000000000000000e+04 3.256341799999999953e-01 7.129428582200399156e-02
2.900000000000000000e+04 3.237778800000000179e-01 8.521880305679961631e-02
3.000000000000000000e+04 2.560314599999999885e-01 5.126567464452603390e-02
3.100000000000000000e+04 3.356849199999999978e-01 8.245724541218678316e-02
3.200000000000000000e+04 3.440765199999999968e-01 6.233520257955051103e-02
3.300000000000000000e+04 3.241795200000000543e-01 8.079127685784895374e-02
3.400000000000000000e+04 3.356572199999999784e-01 4.390865633532414075e-02
3.500000000000000000e+04 3.038688999999999973e-01 4.517267987874971913e-02
3.600000000000000000e+04 3.303371399999999736e-01 9.179050052905474155e-02
3.700000000000000000e+04 3.794622399999999507e-01 1.088110689437356837e-01
3.800000000000000000e+04 3.306198200000000087e-01 8.235694706982284174e-02
3.900000000000000000e+04 3.556907599999999947e-01 1.113074260165169693e-01
4.000000000000000000e+04 3.641515399999999958e-01 1.089730003319280688e-01
4.100000000000000000e+04 3.147060600000000097e-01 3.426754185666663205e-02
4.200000000000000000e+04 3.071211400000000147e-01 7.411181115769874261e-02
4.300000000000000000e+04 3.238767399999999408e-01 7.220845978660950237e-02
4.400000000000000000e+04 3.172650799999999771e-01 5.079719065253116700e-02
4.500000000000000000e+04 2.995168799999999854e-01 9.029875619934971120e-02
4.600000000000000000e+04 3.338619200000000342e-01 7.104624742158871520e-02
4.700000000000000000e+04 3.201913600000000359e-01 5.675636778880761846e-02
4.800000000000000000e+04 2.851943399999999906e-01 4.429510069190947807e-02
4.900000000000000000e+04 3.525706800000000252e-01 8.185625018106804096e-02
5.000000000000000000e+04 3.559572799999999870e-01 9.311670207818573131e-02
5.100000000000000000e+04 3.311975400000000125e-01 7.927940438064857986e-02
5.200000000000000000e+04 3.563719199999999532e-01 7.777208817763350823e-02
5.300000000000000000e+04 3.669019999999999504e-01 1.188916415491518275e-01
5.400000000000000000e+04 3.437365200000000454e-01 1.448620345583397084e-01
5.500000000000000000e+04 3.409826599999999930e-01 1.286751090083330940e-01
5.600000000000000000e+04 3.540531399999999884e-01 9.430314903192998921e-02
5.700000000000000000e+04 3.663200799999999924e-01 1.023706590686491447e-01
5.800000000000000000e+04 3.698259199999999747e-01 1.129964408383627023e-01
5.900000000000000000e+04 4.046423000000000658e-01 1.147435130405375092e-01
6.000000000000000000e+04 3.683980000000000032e-01 1.225616201340860301e-01
6.100000000000000000e+04 3.991824999999999957e-01 1.202991225051454616e-01
6.200000000000000000e+04 3.744124400000000130e-01 1.444121397423582254e-01
6.300000000000000000e+04 3.418831400000000298e-01 8.083067550413269853e-02
6.400000000000000000e+04 3.594796800000000236e-01 1.549704302016536583e-01
6.500000000000000000e+04 3.609135799999999561e-01 1.513079157814871401e-01
6.600000000000000000e+04 3.553292000000000117e-01 1.179178405980536998e-01
6.700000000000000000e+04 3.796487199999999396e-01 1.421398035516779346e-01
6.800000000000000000e+04 4.165763599999999789e-01 1.567941647608685762e-01
6.900000000000000000e+04 4.099199999999999511e-01 1.604855561072085768e-01
7.000000000000000000e+04 3.792251799999999951e-01 1.839971718669653755e-01
7.100000000000000000e+04 3.717567400000000299e-01 1.235418839675289926e-01
7.200000000000000000e+04 4.310749200000000281e-01 1.764478011634080801e-01
7.300000000000000000e+04 3.602935800000000022e-01 1.050375789672134547e-01
7.400000000000000000e+04 3.936186799999999986e-01 1.285911114621908768e-01
7.500000000000000000e+04 3.839261999999999952e-01 1.454215921117630872e-01
7.600000000000000000e+04 3.494498000000000326e-01 1.337769440774156660e-01
7.700000000000000000e+04 4.084782999999999609e-01 1.622706836705015976e-01
7.800000000000000000e+04 3.393614999999999826e-01 1.398869276870143841e-01
7.900000000000000000e+04 3.956683200000000178e-01 1.675834583373000952e-01
8.000000000000000000e+04 3.761791999999999914e-01 1.775404341081320836e-01
8.100000000000000000e+04 4.080078999999999789e-01 1.195886577458915995e-01
8.200000000000000000e+04 3.864323399999999853e-01 1.380880515552971588e-01
8.300000000000000000e+04 4.016864799999999569e-01 1.551893063231536141e-01
8.400000000000000000e+04 4.129361799999999860e-01 9.530890378035833388e-02
8.500000000000000000e+04 3.436413600000000068e-01 1.232418010003197006e-01
8.600000000000000000e+04 3.447788399999999198e-01 1.370450686096745252e-01
8.700000000000000000e+04 3.677197200000000277e-01 1.683573436406431423e-01
8.800000000000000000e+04 3.759241400000000177e-01 1.699196855162885544e-01
8.900000000000000000e+04 3.990284399999999843e-01 1.474494254260843296e-01
9.000000000000000000e+04 4.336541800000000002e-01 1.744933637677880400e-01
9.100000000000000000e+04 4.459096999999999644e-01 1.160804029560028733e-01
9.200000000000000000e+04 4.373116599999999354e-01 1.716053447846960234e-01
9.300000000000000000e+04 4.607429200000000558e-01 1.608816678230108321e-01
9.400000000000000000e+04 4.279433799999999843e-01 1.480822288796383446e-01
9.500000000000000000e+04 4.094827600000000567e-01 9.877438660182302765e-02
9.600000000000000000e+04 4.175153400000000126e-01 1.448141937837807425e-01
9.700000000000000000e+04 4.188392399999999460e-01 1.804287338665058471e-01
9.800000000000000000e+04 4.211711599999999334e-01 1.583034816576893711e-01
9.900000000000000000e+04 4.565051399999999759e-01 1.870138324290756826e-01
1.000000000000000000e+05 4.389144199999999718e-01 1.721024892667784856e-01
1.010000000000000000e+05 4.272186599999999723e-01 1.462172110257558000e-01
1.020000000000000000e+05 3.891919600000000035e-01 6.146646885372869518e-02
1.030000000000000000e+05 4.114558400000000171e-01 8.926034525722159607e-02
1.040000000000000000e+05 4.032617799999999586e-01 8.868458229300964224e-02
1.050000000000000000e+05 4.329870600000000347e-01 1.024719435457452504e-01
1.060000000000000000e+05 4.127502000000000670e-01 1.142494874621151207e-01
1.070000000000000000e+05 4.811505199999999149e-01 1.211723832060985634e-01
1.080000000000000000e+05 4.453782800000000153e-01 1.321628609616695427e-01
1.090000000000000000e+05 3.901644000000000223e-01 8.124458867954224839e-02
1.100000000000000000e+05 3.777630000000000154e-01 9.812852387678110133e-02
1.110000000000000000e+05 3.465962999999999683e-01 8.322203078077343441e-02
1.120000000000000000e+05 4.033955399999999969e-01 1.000034247913060004e-01
1.130000000000000000e+05 4.070123999999999964e-01 8.190070187330508733e-02
1.140000000000000000e+05 3.821278599999999859e-01 1.140069115082870954e-01
1.150000000000000000e+05 3.558139399999999952e-01 1.043221947754282841e-01
1.160000000000000000e+05 3.985046600000000105e-01 1.035302467320850378e-01
1.170000000000000000e+05 3.702704800000000129e-01 1.480113638510016372e-01
1.180000000000000000e+05 4.131756799999999896e-01 1.343518176220686589e-01
1.190000000000000000e+05 3.796366400000000807e-01 9.162042413552998199e-02
1.200000000000000000e+05 4.414786399999999777e-01 9.044517008938839087e-02
1.210000000000000000e+05 3.903946600000000045e-01 1.194383580094535574e-01
1.220000000000000000e+05 4.150104399999999805e-01 1.103822418429449836e-01
1.230000000000000000e+05 4.579983799999999827e-01 1.109466287448771238e-01
1.240000000000000000e+05 4.414995600000000131e-01 8.773545575853809730e-02
1.250000000000000000e+05 4.402078999999999853e-01 8.995560592354429064e-02
1.260000000000000000e+05 4.397964399999999552e-01 9.003904450109628810e-02
1.270000000000000000e+05 4.074868799999999958e-01 6.028553557630220161e-02
1.280000000000000000e+05 4.109428800000000104e-01 6.701768833847972229e-02
1.290000000000000000e+05 3.867897800000000275e-01 6.792486833183852823e-02
1.300000000000000000e+05 4.144883799999999896e-01 6.928633006677147044e-02
1.310000000000000000e+05 3.818111999999999617e-01 6.939819181021936179e-02
1.320000000000000000e+05 3.887425200000000358e-01 8.841163029123261241e-02
1.330000000000000000e+05 4.143146999999999802e-01 6.896891487552923861e-02
1.340000000000000000e+05 3.748775800000000435e-01 7.558476054039994785e-02
1.350000000000000000e+05 4.102075000000000027e-01 6.345125092317722981e-02
1.360000000000000000e+05 4.124472599999999822e-01 6.395618641309375185e-02
1.370000000000000000e+05 4.183707600000000082e-01 7.151214898003277476e-02
1.380000000000000000e+05 4.250918599999999326e-01 7.752309497001780292e-02
1.390000000000000000e+05 4.159802000000000222e-01 6.863613488948806796e-02
1.400000000000000000e+05 4.329863599999999590e-01 8.269191142252305116e-02
1.410000000000000000e+05 4.108308399999999194e-01 6.242867568352222091e-02
1.420000000000000000e+05 4.283019599999999261e-01 7.890001415806209561e-02
1.430000000000000000e+05 4.175693400000000111e-01 6.851422667232258401e-02
1.440000000000000000e+05 3.898374599999999690e-01 5.761713746550064380e-02
1.450000000000000000e+05 4.182797399999999000e-01 6.862550789488117142e-02
1.460000000000000000e+05 4.102695399999999881e-01 6.245701179520518620e-02
1.470000000000000000e+05 4.215662000000000020e-01 7.584479692593287803e-02
1.480000000000000000e+05 4.098425399999999774e-01 6.251195816874080546e-02
1.490000000000000000e+05 4.338997799999999572e-01 8.694486610854949837e-02
1.500000000000000000e+05 4.351160199999999922e-01 8.931620926791283832e-02
1.510000000000000000e+05 4.502598400000000223e-01 1.138899630029196336e-01
1.520000000000000000e+05 4.509910199999999092e-01 1.081131893533698179e-01
1.530000000000000000e+05 4.463932400000000245e-01 1.065970098181295012e-01
