# Time RMSD_average RMSD_std
0.000000000000000000e+00 6.039999999999999091e-05 6.776263578034402713e-21
1.000000000000000000e+03 1.368403800000000115e-01 1.489316163659012981e-02
2.000000000000000000e+03 1.152864600000000211e-01 3.432450716025504250e-02
3.000000000000000000e+03 1.132556000000000118e-01 4.714322855490488823e-02
4.000000000000000000e+03 1.299161999999999817e-01 3.277264025122175045e-02
5.000000000000000000e+03 1.571673799999999954e-01 3.474502687138981277e-02
6.000000000000000000e+03 1.158412399999999981e-01 2.667021161097901313e-02
7.000000000000000000e+03 1.317827600000000265e-01 4.384713601523365645e-02
8.000000000000000000e+03 1.843910799999999850e-01 2.656791684384757560e-02
9.000000000000000000e+03 1.382247000000000059e-01 2.266028158298126829e-02
1.000000000000000000e+04 1.501403600000000005e-01 5.081298099984295213e-02
1.100000000000000000e+04 1.219230400000000103e-01 4.491666476347503517e-02
1.200000000000000000e+04 1.120031199999999838e-01 2.381526775993920986e-02
1.300000000000000000e+04 1.453138399999999997e-01 5.150730248271986195e-02
1.400000000000000000e+04 9.763089999999999269e-02 3.108132745845967881e-02
1.500000000000000000e+04 8.193678000000000072e-02 3.859178807717517784e-02
1.600000000000000000e+04 1.320932400000000007e-01 3.511901074743421086e-02
1.700000000000000000e+04 1.196925000000000072e-01 4.389127136016909847e-02
1.800000000000000000e+04 1.425632400000000077e-01 5.156894721677378335e-02
1.900000000000000000e+04 1.361346999999999974e-01 2.230649301768433679e-02
2.000000000000000000e+04 1.323632400000000209e-01 4.242308984049134035e-02
2.100000000000000000e+04 1.458254000000000217e-01 5.192666844549147231e-02
2.200000000000000000e+04 1.449014599999999819e-01 4.380285404754353379e-02
2.300000000000000000e+04 1.372920800000000108e-01 4.292005782504958178e-02
2.400000000000000000e+04 1.551900599999999630e-01 6.995562852950718002e-02
2.500000000000000000e+04 1.257396400000000136e-01 2.577164890468594191e-02
2.600000000000000000e+04 1.449803399999999853e-01 4.253899400708014561e-02
2.700000000000000000e+04 1.912739800000000101e-01 7.660421516090089311e-02
2.800000000000000000e+04 1.424520400000000020e-01 2.463256844485365790e-02
2.900000000000000000e+04 1.302229200000000198e-01 5.939252377790996129e-02
3.000000000000000000e+04 1.222922199999999932e-01 5.653961135895435586e-02
3.100000000000000000e+04 1.341362999999999861e-01 4.482378637228228574e-02
3.200000000000000000e+04 1.310522799999999932e-01 4.783415898114650594e-02
3.300000000000000000e+04 1.628102800000000294e-01 3.580084254005203720e-02
3.400000000000000000e+04 1.613298999999999706e-01 5.649252528637748599e-02
3.500000000000000000e+04 1.270371200000000034e-01 1.842286936906408976e-02
3.600000000000000000e+04 1.346461800000000042e-01 7.394425059533432654e-02
3.700000000000000000e+04 1.417935600000000129e-01 4.781429612660213768e-02
3.800000000000000000e+04 1.198192000000000146e-01 4.035027110446719190e-02
3.900000000000000000e+04 1.588913000000000131e-01 6.353930009554717429e-02
4.000000000000000000e+04 1.302163600000000032e-01 3.086915039314169773e-02
4.100000000000000000e+04 9.935887999999999665e-02 2.663778431111717138e-02
4.200000000000000000e+04 1.471284999999999954e-01 7.505922650408809738e-02
4.300000000000000000e+04 1.426673399999999758e-01 3.906828749605490564e-02
