# Time RMSD_average RMSD_std
0.000000000000000000e+00 2.566000000000000166e-05 8.479999999999998430e-06
1.000000000000000000e+03 1.876067800000000008e-01 3.667041540628630802e-02
2.000000000000000000e+03 1.717451000000000116e-01 4.033182178950015656e-02
3.000000000000000000e+03 1.537323800000000296e-01 5.466665910020111069e-02
4.000000000000000000e+03 1.927487799999999807e-01 2.911673739562178204e-02
5.000000000000000000e+03 2.170330400000000104e-01 3.048141213202563288e-02
6.000000000000000000e+03 2.386213399999999873e-01 2.875634116702610599e-02
7.000000000000000000e+03 2.297386800000000007e-01 4.439463472796684879e-02
8.000000000000000000e+03 2.407024599999999792e-01 8.267053440762554828e-02
9.000000000000000000e+03 2.310399799999999781e-01 8.016477251442556684e-02
1.000000000000000000e+04 2.660829399999999900e-01 1.014662365037473923e-01
1.100000000000000000e+04 1.918955599999999928e-01 6.351610917588072780e-02
1.200000000000000000e+04 2.373877000000000348e-01 7.921550344757015416e-02
1.300000000000000000e+04 1.923105599999999915e-01 5.786191991490086117e-02
1.400000000000000000e+04 1.666808999999999930e-01 1.688030287453397629e-02
1.500000000000000000e+04 2.438512999999999931e-01 5.736547448753474138e-02
1.600000000000000000e+04 2.018568799999999608e-01 6.784018679769093785e-02
1.700000000000000000e+04 2.711429599999999884e-01 4.565675287506108793e-02
1.800000000000000000e+04 2.008535799999999760e-01 3.905753077179355270e-02
1.900000000000000000e+04 2.107698400000000416e-01 4.299855255748035593e-02
2.000000000000000000e+04 2.998173999999999562e-01 6.946296365528899230e-02
2.100000000000000000e+04 2.765760199999999780e-01 1.009923279582642386e-01
2.200000000000000000e+04 3.153422200000000064e-01 8.571948142711550978e-02
2.300000000000000000e+04 2.967133000000000131e-01 1.458483982342486940e-01
2.400000000000000000e+04 2.930399600000000437e-01 1.261588369752131011e-01
2.500000000000000000e+04 2.660543000000000213e-01 8.343675297224839582e-02
2.600000000000000000e+04 2.029184199999999882e-01 7.991735807738892250e-02
2.700000000000000000e+04 2.623102199999999828e-01 7.953249785277460848e-02
2.800000000000000000e+04 2.201343399999999839e-01 5.092860990820777950e-02
2.900000000000000000e+04 2.255491599999999985e-01 7.798045104115773618e-02
3.000000000000000000e+04 2.268200199999999833e-01 8.789543636670564541e-02
3.100000000000000000e+04 2.356335399999999747e-01 8.150527799951608199e-02
3.200000000000000000e+04 2.706083199999999578e-01 1.063499328829952684e-01
3.300000000000000000e+04 2.987815799999999911e-01 5.570953223574579005e-02
3.400000000000000000e+04 3.097029000000000032e-01 9.764441780151079942e-02
3.500000000000000000e+04 2.614230600000000404e-01 1.044979504043136859e-01
3.600000000000000000e+04 2.811418600000000212e-01 6.299923540166499358e-02
3.700000000000000000e+04 2.762082799999999727e-01 1.327669396131341273e-01
3.800000000000000000e+04 2.048758799999999825e-01 5.334342571666728094e-02
3.900000000000000000e+04 2.192127599999999510e-01 6.209643339189780537e-02
4.000000000000000000e+04 2.521713800000000005e-01 7.798208310706761237e-02
4.100000000000000000e+04 2.394393800000000350e-01 1.306431839482550261e-01
4.200000000000000000e+04 2.295841000000000132e-01 8.443126911738328688e-02
4.300000000000000000e+04 2.718501799999999968e-01 1.090670433725495214e-01
4.400000000000000000e+04 2.242039000000000115e-01 1.148632215237061910e-01
4.500000000000000000e+04 2.328581600000000085e-01 9.281544147661206778e-02
4.600000000000000000e+04 2.386265999999999943e-01 1.105701299619567118e-01
4.700000000000000000e+04 3.007906399999999980e-01 1.145016614250919940e-01
4.800000000000000000e+04 2.737263799999999914e-01 7.115064215059201114e-02
4.900000000000000000e+04 1.890901199999999727e-01 2.147434456791639037e-02
5.000000000000000000e+04 2.082243199999999628e-01 1.047656548749904132e-01
5.100000000000000000e+04 2.312151200000000240e-01 8.666258148604620570e-02
5.200000000000000000e+04 2.381013999999999908e-01 1.466799214348439850e-01
5.300000000000000000e+04 1.993640400000000201e-01 8.591355993940887059e-02
5.400000000000000000e+04 2.303350000000000120e-01 1.062334879193373716e-01
5.500000000000000000e+04 2.076893400000000001e-01 3.754528425986944362e-02
5.600000000000000000e+04 2.280617600000000300e-01 8.251581620621829816e-02
5.700000000000000000e+04 2.498868799999999779e-01 4.345976940051108489e-02
5.800000000000000000e+04 3.158268000000000186e-01 1.052359999757687542e-01
