# Time RMSD_average RMSD_std
0.000000000000000000e+00 2.710000000000000142e-05 0.000000000000000000e+00
1.000000000000000000e+03 9.773234000000000088e-02 5.878924091673917718e-02
2.000000000000000000e+03 1.135759400000000002e-01 5.574943070699825420e-02
3.000000000000000000e+03 1.112372799999999939e-01 1.858946021587501787e-02
4.000000000000000000e+03 1.575581200000000237e-01 5.535309290633722012e-02
5.000000000000000000e+03 1.352225800000000089e-01 3.620025929550228783e-02
6.000000000000000000e+03 1.380718799999999802e-01 6.529277466367620908e-02
7.000000000000000000e+03 1.895999800000000013e-01 7.578669436713544871e-02
8.000000000000000000e+03 1.884582199999999819e-01 4.601171117154414375e-02
9.000000000000000000e+03 1.934425000000000172e-01 5.420739076428601061e-02
1.000000000000000000e+04 1.726108199999999981e-01 5.627840122950900775e-02
1.100000000000000000e+04 1.744519400000000275e-01 4.500657852246046919e-02
1.200000000000000000e+04 1.769796400000000214e-01 8.070065907886007917e-02
1.300000000000000000e+04 1.909455399999999969e-01 1.133844653657739843e-01
1.400000000000000000e+04 1.709390400000000143e-01 5.687604967652377247e-02
1.500000000000000000e+04 2.022794199999999876e-01 2.454993025533066739e-02
1.600000000000000000e+04 1.764238800000000051e-01 4.404518030388342165e-02
1.700000000000000000e+04 2.242248399999999808e-01 6.259023412825996668e-02
1.800000000000000000e+04 2.063419400000000015e-01 4.456067024390902853e-02
1.900000000000000000e+04 2.155247600000000097e-01 9.270550983339878592e-02
2.000000000000000000e+04 1.893206199999999950e-01 5.423144561862241336e-02
2.100000000000000000e+04 1.523438399999999804e-01 6.781433530753214201e-02
2.200000000000000000e+04 1.767626800000000054e-01 4.495148222430046109e-02
2.300000000000000000e+04 2.209796600000000222e-01 5.790695308256513241e-02
2.400000000000000000e+04 1.934762000000000148e-01 7.245434524369122331e-02
2.500000000000000000e+04 1.448678600000000150e-01 3.582494711681233346e-02
2.600000000000000000e+04 1.866570000000000173e-01 6.888454134297476716e-02
2.700000000000000000e+04 1.910806000000000171e-01 5.131182488405571646e-02
2.800000000000000000e+04 2.341155799999999620e-01 4.717111967373256720e-02
2.900000000000000000e+04 2.396361399999999975e-01 4.095132665936966621e-02
3.000000000000000000e+04 1.737436200000000153e-01 4.834370657727435350e-02
3.100000000000000000e+04 1.789249199999999873e-01 7.962187475776741352e-02
3.200000000000000000e+04 2.057033399999999845e-01 5.671884245019815501e-02
3.300000000000000000e+04 2.331393199999999832e-01 6.609210367505032047e-02
3.400000000000000000e+04 2.380862399999999768e-01 3.670856188153384658e-02
3.500000000000000000e+04 2.083369600000000155e-01 4.650578179356196218e-02
3.600000000000000000e+04 2.036019200000000196e-01 4.997610778435630785e-02
3.700000000000000000e+04 2.202892399999999695e-01 3.588617354768267043e-02
3.800000000000000000e+04 1.778747800000000101e-01 2.680807077209398925e-02
3.900000000000000000e+04 1.790350199999999892e-01 4.351929921234486132e-02
4.000000000000000000e+04 1.581298999999999899e-01 4.897056371637966560e-02
4.100000000000000000e+04 1.493588600000000099e-01 2.392665596957502250e-02
4.200000000000000000e+04 1.643460800000000055e-01 1.301024113925640900e-02
4.300000000000000000e+04 2.142631200000000291e-01 2.846904446780045006e-02
4.400000000000000000e+04 1.893445400000000056e-01 5.887741256089978198e-02
4.500000000000000000e+04 1.879694999999999838e-01 3.776097225708045790e-02
4.600000000000000000e+04 1.801063199999999864e-01 4.745007992433310229e-02
4.700000000000000000e+04 1.644834799999999875e-01 2.851898738618886819e-02
4.800000000000000000e+04 1.821365800000000201e-01 5.993451828151787064e-02
4.900000000000000000e+04 1.969214200000000137e-01 5.722069746018131758e-02
5.000000000000000000e+04 1.643255200000000027e-01 5.714759137361434538e-02
5.100000000000000000e+04 1.891606200000000015e-01 4.634822139462958790e-02
5.200000000000000000e+04 1.863325399999999910e-01 5.095534154263318960e-02
5.300000000000000000e+04 1.750996400000000008e-01 5.516128442785210584e-02
5.400000000000000000e+04 1.814745799999999964e-01 4.455443350017594673e-02
5.500000000000000000e+04 1.863089399999999785e-01 3.938474902038097136e-02
5.600000000000000000e+04 2.092205599999999721e-01 2.982756793099967940e-02
5.700000000000000000e+04 2.206161400000000161e-01 5.888381407927308769e-02
5.800000000000000000e+04 2.031872200000000017e-01 2.628152952934055889e-02
5.900000000000000000e+04 2.020454599999999823e-01 4.092392701364813701e-02
6.000000000000000000e+04 1.944033400000000078e-01 2.666036267792319323e-02
6.100000000000000000e+04 1.904682999999999793e-01 3.442565930041138061e-02
6.200000000000000000e+04 2.071435600000000044e-01 4.365060052693891385e-02
6.300000000000000000e+04 1.956991599999999831e-01 3.245390915046136859e-02
6.400000000000000000e+04 2.207081399999999971e-01 7.403209168733786150e-02
6.500000000000000000e+04 1.859004799999999791e-01 2.583223149001262833e-02
6.600000000000000000e+04 1.878773400000000315e-01 2.544980533784885549e-02
6.700000000000000000e+04 1.903256799999999971e-01 3.826111996125570319e-02
6.800000000000000000e+04 1.920160200000000095e-01 6.552321979855385559e-02
6.900000000000000000e+04 1.797398400000000118e-01 2.882639574449778752e-02
7.000000000000000000e+04 1.874632199999999860e-01 3.687737237360601272e-02
7.100000000000000000e+04 1.989863800000000182e-01 3.299948944558991903e-02
7.200000000000000000e+04 1.688613800000000054e-01 6.906683236403418635e-02
7.300000000000000000e+04 1.512056399999999745e-01 3.149772091987609879e-02
7.400000000000000000e+04 1.693391599999999886e-01 3.653209104973872273e-02
7.500000000000000000e+04 1.763690200000000430e-01 4.925487262293549301e-02
7.600000000000000000e+04 1.778742600000000063e-01 4.726960270726209695e-02
7.700000000000000000e+04 1.989343199999999701e-01 6.170796511107460441e-02
7.800000000000000000e+04 1.637126999999999888e-01 3.032049523230119850e-02
7.900000000000000000e+04 1.489840000000000053e-01 2.831467320072757546e-02
8.000000000000000000e+04 1.535874600000000090e-01 2.342244402624115568e-02
8.100000000000000000e+04 1.752836000000000116e-01 4.513353105091601203e-02
8.200000000000000000e+04 1.923473200000000161e-01 4.081901247994126208e-02
8.300000000000000000e+04 1.798406399999999961e-01 4.846203555252709405e-02
8.400000000000000000e+04 1.898879400000000051e-01 4.250855074987149040e-02
8.500000000000000000e+04 1.713549200000000217e-01 4.930321097382604073e-02
8.600000000000000000e+04 1.927986200000000039e-01 3.653138178352415000e-02
8.700000000000000000e+04 2.021596600000000188e-01 4.669529334061838649e-02
8.800000000000000000e+04 1.677516199999999902e-01 3.600212789085668191e-02
