# Time RMSD_average RMSD_std
0.000000000000000000e+00 9.390000000000000560e-05 0.000000000000000000e+00
1.000000000000000000e+03 1.003491600000000067e-01 3.235782489739382622e-02
2.000000000000000000e+03 6.353953999999999158e-02 2.056548768316472306e-02
3.000000000000000000e+03 9.941214000000000994e-02 4.039645227004966255e-02
4.000000000000000000e+03 6.538367999999999958e-02 2.423605637007803307e-02
5.000000000000000000e+03 1.207226200000000027e-01 2.355022622782210889e-02
6.000000000000000000e+03 9.504789999999999073e-02 1.562156625924557805e-02
7.000000000000000000e+03 8.535652000000000517e-02 2.933517294016859886e-02
8.000000000000000000e+03 8.636911999999999368e-02 2.777864883124447556e-02
9.000000000000000000e+03 8.662786000000000097e-02 2.049455021224910745e-02
1.000000000000000000e+04 8.357161999999999924e-02 5.203829018876005019e-02
1.100000000000000000e+04 8.992404000000001063e-02 2.669202033909011396e-02
1.200000000000000000e+04 7.936340000000000061e-02 2.410371898292875195e-02
1.300000000000000000e+04 1.549862399999999973e-01 1.090244396873398247e-01
1.400000000000000000e+04 1.442266999999999855e-01 1.030367144350206737e-01
1.500000000000000000e+04 1.398204200000000008e-01 1.050813594965615133e-01
1.600000000000000000e+04 1.747799400000000225e-01 1.121515338903503328e-01
1.700000000000000000e+04 1.587258799999999859e-01 1.138149186391555628e-01
1.800000000000000000e+04 1.615864200000000084e-01 1.154446780960023400e-01
1.900000000000000000e+04 1.436390799999999746e-01 1.017553296596772905e-01
2.000000000000000000e+04 1.293723800000000090e-01 1.219535458858560656e-01
2.100000000000000000e+04 1.618172400000000011e-01 9.379037086619500252e-02
2.200000000000000000e+04 1.882022999999999890e-01 9.895545281523399073e-02
2.300000000000000000e+04 1.910013000000000127e-01 1.095083852548470460e-01
2.400000000000000000e+04 1.959659600000000224e-01 1.208351372111870631e-01
2.500000000000000000e+04 1.607531999999999850e-01 1.259962521115449707e-01
2.600000000000000000e+04 1.884935799999999939e-01 1.197576613149638897e-01
2.700000000000000000e+04 1.822043399999999924e-01 1.131662706290633008e-01
2.800000000000000000e+04 1.563200999999999896e-01 1.380701378582204486e-01
2.900000000000000000e+04 1.726667000000000063e-01 1.280211125177249665e-01
3.000000000000000000e+04 1.702156199999999842e-01 1.186869105764810084e-01
3.100000000000000000e+04 1.458799600000000030e-01 1.314344718651937194e-01
3.200000000000000000e+04 1.685570799999999703e-01 1.268508378921069657e-01
3.300000000000000000e+04 1.764138599999999779e-01 1.318125383684359275e-01
3.400000000000000000e+04 1.509541999999999828e-01 1.355774467684799089e-01
3.500000000000000000e+04 1.886181599999999792e-01 1.096921412114578026e-01
3.600000000000000000e+04 1.928696000000000299e-01 1.037604766773938675e-01
3.700000000000000000e+04 1.949773199999999818e-01 1.288140996923612946e-01
3.800000000000000000e+04 1.788644799999999924e-01 1.301037525364952818e-01
3.900000000000000000e+04 1.790837400000000190e-01 1.225626098151895577e-01
4.000000000000000000e+04 1.750788999999999818e-01 1.045767107572809357e-01
4.100000000000000000e+04 1.976720000000000144e-01 1.293823847235009150e-01
4.200000000000000000e+04 1.792457000000000078e-01 1.142992585653117982e-01
4.300000000000000000e+04 2.427154400000000045e-01 1.592111271118397675e-01
4.400000000000000000e+04 2.437096400000000052e-01 1.509588901661455818e-01
4.500000000000000000e+04 2.421450400000000336e-01 1.535135436962042077e-01
4.600000000000000000e+04 2.434418000000000415e-01 1.438317252128472612e-01
4.700000000000000000e+04 2.480537800000000015e-01 1.554736260780895385e-01
4.800000000000000000e+04 2.277836199999999922e-01 1.482986273610298611e-01
