# Time RMSD_average RMSD_std
0.000000000000000000e+00 2.611999999999999386e-05 8.959999999999998917e-06
1.000000000000000000e+03 9.626548000000000049e-02 3.709295288010379388e-02
2.000000000000000000e+03 1.012710600000000100e-01 1.953447856110830314e-02
3.000000000000000000e+03 9.223968000000000445e-02 1.010417106652495081e-02
4.000000000000000000e+03 8.024546000000000456e-02 3.309525491792441459e-02
5.000000000000000000e+03 1.085462199999999988e-01 2.820948685526910096e-02
6.000000000000000000e+03 1.538756000000000013e-01 8.536787847318218214e-02
7.000000000000000000e+03 2.394833600000000062e-01 9.649681295304211870e-02
8.000000000000000000e+03 2.131064600000000253e-01 1.124385263657897704e-01
9.000000000000000000e+03 2.207634199999999880e-01 1.000923921945199441e-01
1.000000000000000000e+04 2.326146200000000219e-01 1.201991616700449489e-01
1.100000000000000000e+04 2.297699199999999886e-01 9.426182296886477519e-02
1.200000000000000000e+04 2.328000199999999964e-01 9.540307493592438404e-02
1.300000000000000000e+04 2.528748600000000346e-01 8.206292968593309478e-02
1.400000000000000000e+04 2.863341199999999698e-01 1.240831031447618138e-01
1.500000000000000000e+04 2.300519000000000036e-01 1.036287525864901943e-01
1.600000000000000000e+04 2.494026400000000088e-01 7.387709010684163913e-02
1.700000000000000000e+04 2.411065800000000148e-01 1.076427760381977461e-01
1.800000000000000000e+04 2.655387999999999638e-01 8.150396783195280881e-02
1.900000000000000000e+04 2.321851200000000226e-01 7.560373233240273716e-02
2.000000000000000000e+04 2.460032200000000224e-01 9.641489038059213035e-02
2.100000000000000000e+04 2.302658200000000099e-01 9.481585453037694178e-02
2.200000000000000000e+04 2.267665600000000059e-01 6.695862173774487502e-02
2.300000000000000000e+04 2.379745799999999911e-01 9.725460412783344666e-02
2.400000000000000000e+04 2.209847800000000473e-01 1.095617822554452725e-01
2.500000000000000000e+04 2.244620200000000398e-01 7.832016493104186627e-02
2.600000000000000000e+04 2.381150400000000000e-01 1.013033401278872064e-01
2.700000000000000000e+04 2.535143400000000047e-01 8.185462800877174594e-02
2.800000000000000000e+04 2.483514199999999617e-01 1.002761681886658457e-01
2.900000000000000000e+04 2.502130799999999766e-01 7.946491508441697049e-02
3.000000000000000000e+04 2.462788000000000199e-01 1.183608037756249814e-01
3.100000000000000000e+04 2.621606199999999554e-01 8.669069161042376737e-02
3.200000000000000000e+04 2.499012200000000072e-01 6.183912879759545511e-02
3.300000000000000000e+04 2.533419600000000327e-01 8.069557166607346788e-02
3.400000000000000000e+04 2.313153200000000465e-01 1.042072958975598790e-01
3.500000000000000000e+04 2.741776000000000213e-01 1.003199700713272718e-01
3.600000000000000000e+04 2.406688600000000400e-01 7.972786349282413865e-02
3.700000000000000000e+04 2.638403999999999749e-01 9.983054252708435661e-02
3.800000000000000000e+04 2.320747599999999911e-01 9.611601906547316554e-02
3.900000000000000000e+04 2.514461599999999741e-01 8.533496517307780083e-02
4.000000000000000000e+04 2.445915599999999857e-01 9.117669056522285931e-02
4.100000000000000000e+04 2.256674799999999759e-01 9.615208570377244135e-02
4.200000000000000000e+04 2.364927400000000068e-01 1.107888146558053954e-01
4.300000000000000000e+04 2.707999600000000617e-01 1.001721776823405186e-01
4.400000000000000000e+04 2.695791200000000054e-01 1.133743283021407811e-01
4.500000000000000000e+04 2.322109000000000256e-01 1.179554877016410902e-01
4.600000000000000000e+04 2.402556599999999543e-01 8.849691773797774275e-02
4.700000000000000000e+04 2.466242600000000118e-01 1.141865570719355766e-01
4.800000000000000000e+04 2.485564999999999858e-01 8.664913588081532558e-02
4.900000000000000000e+04 1.927625000000000033e-01 8.648121051886357991e-02
5.000000000000000000e+04 2.027683000000000124e-01 9.077420628528790059e-02
5.100000000000000000e+04 1.919368599999999869e-01 9.714379737240251556e-02
5.200000000000000000e+04 2.074647199999999914e-01 9.029410352239840287e-02
5.300000000000000000e+04 2.107286799999999738e-01 7.930135399949739261e-02
5.400000000000000000e+04 2.223383800000000021e-01 1.034966423154567855e-01
5.500000000000000000e+04 1.985831799999999703e-01 7.086799593016300525e-02
5.600000000000000000e+04 2.117665400000000031e-01 7.915604056830029267e-02
5.700000000000000000e+04 2.137787999999999911e-01 1.048106787932794465e-01
5.800000000000000000e+04 2.047301400000000327e-01 8.005870140751972230e-02
5.900000000000000000e+04 2.078527000000000291e-01 9.514612124869832599e-02
6.000000000000000000e+04 2.014597200000000365e-01 9.101016982263906985e-02
6.100000000000000000e+04 2.142729800000000018e-01 8.937944724119521733e-02
6.200000000000000000e+04 1.948337800000000120e-01 1.098146317327413218e-01
6.300000000000000000e+04 2.075732399999999644e-01 8.986376381333245622e-02
6.400000000000000000e+04 1.940208000000000210e-01 1.042518351140160893e-01
6.500000000000000000e+04 2.590369800000000278e-01 8.508437179325942235e-02
6.600000000000000000e+04 2.451291599999999848e-01 1.166154807621457984e-01
6.700000000000000000e+04 2.465373999999999621e-01 1.012354471247299825e-01
6.800000000000000000e+04 2.229577799999999943e-01 9.428869159803629496e-02
6.900000000000000000e+04 2.394041399999999875e-01 8.196543326350687331e-02
7.000000000000000000e+04 2.274604800000000204e-01 1.256115230835992969e-01
7.100000000000000000e+04 2.825973999999999431e-01 1.260383405182724514e-01
7.200000000000000000e+04 2.742025000000000157e-01 1.156573463336073582e-01
7.300000000000000000e+04 2.533729800000000254e-01 9.654488806789100763e-02
7.400000000000000000e+04 2.456945000000000101e-01 1.281414414184419981e-01
7.500000000000000000e+04 2.253956999999999766e-01 8.814625917044920100e-02
7.600000000000000000e+04 2.274831800000000348e-01 9.135648001380963779e-02
7.700000000000000000e+04 2.348222999999999838e-01 8.234629273333439470e-02
7.800000000000000000e+04 2.302484600000000159e-01 6.962066435634178818e-02
7.900000000000000000e+04 2.161259600000000058e-01 1.005376258843145715e-01
8.000000000000000000e+04 2.499294799999999817e-01 1.125358518009687558e-01
8.100000000000000000e+04 2.770553999999999517e-01 1.200982825326657177e-01
8.200000000000000000e+04 2.473680399999999557e-01 9.399129030148697939e-02
8.300000000000000000e+04 2.391632399999999714e-01 7.960143345298750783e-02
8.400000000000000000e+04 2.317295000000000049e-01 1.038502849976445652e-01
8.500000000000000000e+04 2.271643600000000096e-01 8.644116063137051442e-02
8.600000000000000000e+04 2.148659600000000225e-01 6.815123237305691084e-02
8.700000000000000000e+04 2.211339600000000183e-01 9.605023226051252749e-02
8.800000000000000000e+04 2.376068199999999686e-01 7.773682756360462964e-02
8.900000000000000000e+04 2.490305600000000119e-01 8.324615721914375988e-02
9.000000000000000000e+04 2.137233000000000049e-01 6.127253397377981081e-02
9.100000000000000000e+04 2.374085800000000357e-01 7.302344025372674297e-02
9.200000000000000000e+04 2.419732799999999850e-01 6.287238113949239482e-02
9.300000000000000000e+04 2.634101199999999698e-01 1.141796227512667794e-01
9.400000000000000000e+04 2.517708600000000407e-01 1.044714949242060015e-01
9.500000000000000000e+04 2.581408799999999615e-01 6.759044199761975180e-02
9.600000000000000000e+04 2.474076599999999737e-01 9.764900421506815531e-02
9.700000000000000000e+04 3.003259200000000240e-01 8.424834195843619589e-02
9.800000000000000000e+04 2.292556799999999340e-01 7.519250412713754383e-02
9.900000000000000000e+04 2.213029999999999720e-01 9.919807614963103981e-02
