# Time RMSD_average RMSD_std
0.000000000000000000e+00 2.720000000000000046e-05 0.000000000000000000e+00
1.000000000000000000e+03 8.180605999999999989e-02 2.547680510005915014e-02
2.000000000000000000e+03 6.242820000000001007e-02 1.795027139026037291e-02
3.000000000000000000e+03 1.133830800000000111e-01 1.516532982079848817e-02
4.000000000000000000e+03 1.008205200000000107e-01 2.538328324645178560e-02
5.000000000000000000e+03 9.486617999999999440e-02 3.130441744542772353e-02
6.000000000000000000e+03 9.598904000000001158e-02 3.555898106462557912e-02
7.000000000000000000e+03 8.787986000000000408e-02 4.136837405026211334e-02
8.000000000000000000e+03 1.027703400000000017e-01 2.389321474976525625e-02
9.000000000000000000e+03 1.094097599999999948e-01 3.969244450590565104e-02
1.000000000000000000e+04 9.292167999999999262e-02 2.539156827920638695e-02
1.100000000000000000e+04 1.091869599999999857e-01 3.023370011934364485e-02
1.200000000000000000e+04 1.115015400000000101e-01 2.590402510210334033e-02
1.300000000000000000e+04 9.905927999999999956e-02 1.685824018803860902e-02
1.400000000000000000e+04 1.366949000000000081e-01 5.650637172124927526e-02
1.500000000000000000e+04 1.313268599999999897e-01 9.629153525085369647e-02
1.600000000000000000e+04 1.353742000000000001e-01 9.333601413964494331e-02
1.700000000000000000e+04 9.548789999999998668e-02 8.525919534321207971e-02
1.800000000000000000e+04 1.359715199999999846e-01 5.965996769313239301e-02
1.900000000000000000e+04 9.843065999999998927e-02 3.987310466360000083e-02
2.000000000000000000e+04 1.147269799999999923e-01 3.518023368509083648e-02
2.100000000000000000e+04 8.642629999999999757e-02 1.810222860920721044e-02
2.200000000000000000e+04 1.100173400000000051e-01 3.017106001310526989e-02
2.300000000000000000e+04 9.134919999999999152e-02 1.236870327301936752e-02
2.400000000000000000e+04 7.155267999999999351e-02 2.408642614913220764e-02
2.500000000000000000e+04 1.353247999999999951e-01 7.543827828944668634e-02
2.600000000000000000e+04 9.397650000000000448e-02 3.840836943901680678e-02
2.700000000000000000e+04 1.415410600000000241e-01 6.138330603666114493e-02
2.800000000000000000e+04 1.280557000000000223e-01 8.583934305734171322e-02
2.900000000000000000e+04 1.416228999999999960e-01 7.590793049182674446e-02
3.000000000000000000e+04 1.382307399999999908e-01 6.876179457342863899e-02
3.100000000000000000e+04 1.311917199999999839e-01 7.997579265288716488e-02
3.200000000000000000e+04 1.424106800000000117e-01 7.151304399882303653e-02
3.300000000000000000e+04 1.277053800000000072e-01 8.353694588593479908e-02
3.400000000000000000e+04 1.486862399999999973e-01 6.767608462517907264e-02
3.500000000000000000e+04 1.404952800000000002e-01 8.327338689116468851e-02
3.600000000000000000e+04 1.256916599999999828e-01 7.277381655619279133e-02
3.700000000000000000e+04 1.332907400000000187e-01 6.795322450172913697e-02
3.800000000000000000e+04 1.462386200000000136e-01 6.629431488815309970e-02
3.900000000000000000e+04 1.372816400000000103e-01 6.848361863165819408e-02
4.000000000000000000e+04 1.325861200000000018e-01 8.007635859334265305e-02
4.100000000000000000e+04 1.256180600000000036e-01 6.618031230030876899e-02
4.200000000000000000e+04 1.210616000000000192e-01 7.552962605857387046e-02
4.300000000000000000e+04 1.566725800000000057e-01 9.097187750784083149e-02
4.400000000000000000e+04 1.661210800000000043e-01 9.759470668120069636e-02
4.500000000000000000e+04 1.267558000000000018e-01 8.029836638756730760e-02
4.600000000000000000e+04 1.406301199999999973e-01 7.590987853810332586e-02
4.700000000000000000e+04 1.428238599999999969e-01 6.923949979896155960e-02
4.800000000000000000e+04 1.410703999999999847e-01 6.782058161192662527e-02
4.900000000000000000e+04 1.494735399999999881e-01 7.537084298487314871e-02
5.000000000000000000e+04 1.319039800000000040e-01 7.095171091663400598e-02
5.100000000000000000e+04 1.316396799999999812e-01 6.956365778828482727e-02
5.200000000000000000e+04 1.506533599999999862e-01 6.858396732991171862e-02
5.300000000000000000e+04 1.318724599999999969e-01 8.005397286297788462e-02
5.400000000000000000e+04 1.444920199999999988e-01 6.803222018806676097e-02
5.500000000000000000e+04 1.365341599999999878e-01 8.959603491643143569e-02
5.600000000000000000e+04 1.936661000000000077e-01 7.488325340905001293e-02
5.700000000000000000e+04 1.767105400000000270e-01 8.798568298887268768e-02
5.800000000000000000e+04 1.633061800000000230e-01 9.693657830636276396e-02
5.900000000000000000e+04 1.776706200000000013e-01 8.992328940781470215e-02
6.000000000000000000e+04 1.823989399999999816e-01 7.733857341918325135e-02
6.100000000000000000e+04 1.921573399999999820e-01 9.709450767481339617e-02
6.200000000000000000e+04 1.832703400000000038e-01 8.831636828958944196e-02
6.300000000000000000e+04 1.855568400000000007e-01 8.434796009077161205e-02
6.400000000000000000e+04 1.937726000000000171e-01 8.379608954129065534e-02
6.500000000000000000e+04 1.795302199999999626e-01 7.889386368265657867e-02
6.600000000000000000e+04 2.193665799999999777e-01 8.545899798699725658e-02
6.700000000000000000e+04 2.044262600000000263e-01 7.606989472658944040e-02
6.800000000000000000e+04 2.097465199999999919e-01 9.025463762846537563e-02
6.900000000000000000e+04 2.336986799999999920e-01 8.776570192001885429e-02
7.000000000000000000e+04 2.462705000000000033e-01 6.622414967695697263e-02
7.100000000000000000e+04 2.304113600000000095e-01 6.613653480528293438e-02
7.200000000000000000e+04 2.479019799999999663e-01 7.355023596768128780e-02
7.300000000000000000e+04 2.630409999999999693e-01 6.134005598914952367e-02
7.400000000000000000e+04 2.568318399999999779e-01 5.592716368304760655e-02
7.500000000000000000e+04 2.506045999999999552e-01 6.093180551675782958e-02
7.600000000000000000e+04 2.451463399999999626e-01 7.477731459710490469e-02
7.700000000000000000e+04 2.460637600000000202e-01 5.342564280424148132e-02
7.800000000000000000e+04 2.686070999999999875e-01 1.655659377251250675e-02
7.900000000000000000e+04 2.891823800000000166e-01 4.806292467361511500e-02
8.000000000000000000e+04 2.668175799999999986e-01 5.908273886682641196e-02
8.100000000000000000e+04 2.590489400000000053e-01 7.298577966126278127e-02
8.200000000000000000e+04 2.568258800000000064e-01 4.720179804398980800e-02
8.300000000000000000e+04 2.816696800000000334e-01 2.564552609204185166e-02
8.400000000000000000e+04 2.635957000000000439e-01 6.152419908426277201e-02
8.500000000000000000e+04 2.549098800000000331e-01 3.089002109629580828e-02
8.600000000000000000e+04 2.700837799999999955e-01 4.869677879393666947e-02
8.700000000000000000e+04 2.642623400000000400e-01 3.114873116257547633e-02
8.800000000000000000e+04 2.663207400000000002e-01 4.804445066788046170e-02
8.900000000000000000e+04 2.559232399999999963e-01 6.427892646348723482e-02
9.000000000000000000e+04 2.918274000000000146e-01 4.103161704388459674e-02
9.100000000000000000e+04 2.621327999999999991e-01 5.083609061039214005e-02
