# Time RMSD_average RMSD_std
0.000000000000000000e+00 5.450000000000000336e-05 0.000000000000000000e+00
1.000000000000000000e+03 6.390885999999999789e-02 1.447503032654508942e-02
2.000000000000000000e+03 6.218510000000000704e-02 1.999884738548699664e-02
3.000000000000000000e+03 6.511972000000000593e-02 1.899623928585866123e-02
4.000000000000000000e+03 6.463874000000000009e-02 7.837029552987534800e-03
5.000000000000000000e+03 6.431990000000001317e-02 1.956084237736197343e-02
6.000000000000000000e+03 7.264864000000000044e-02 2.387292431359007427e-02
7.000000000000000000e+03 5.243717999999999296e-02 1.838818181304503058e-02
8.000000000000000000e+03 8.850734000000000379e-02 3.908631168394378214e-02
9.000000000000000000e+03 9.172031999999999408e-02 2.112821900893683755e-02
1.000000000000000000e+04 8.107128000000000945e-02 3.163774422624975741e-02
1.100000000000000000e+04 7.870497999999999383e-02 2.804668564899603228e-02
1.200000000000000000e+04 8.565137999999998530e-02 3.273244323135075795e-02
1.300000000000000000e+04 7.694596000000000768e-02 2.891606096947507351e-02
1.400000000000000000e+04 6.684194000000001634e-02 3.527870738927944838e-02
1.500000000000000000e+04 8.831880000000000286e-02 2.468010609045268727e-02
1.600000000000000000e+04 7.008230000000000015e-02 1.870734120296093858e-02
1.700000000000000000e+04 8.597981999999999847e-02 1.056086753110747206e-02
1.800000000000000000e+04 8.007451999999999626e-02 2.089485229968376587e-02
1.900000000000000000e+04 6.182785999999999837e-02 1.860805954134928109e-02
2.000000000000000000e+04 5.760159999999999586e-02 1.760204113811804361e-02
2.100000000000000000e+04 7.458778000000000630e-02 3.476617822513138056e-02
2.200000000000000000e+04 6.111136000000000346e-02 2.213662328022049722e-02
2.300000000000000000e+04 9.832770000000000399e-02 2.421247377886034946e-02
2.400000000000000000e+04 7.868299999999998906e-02 3.869407732917274495e-02
2.500000000000000000e+04 8.552692000000000627e-02 3.216510737488062488e-02
2.600000000000000000e+04 7.211742000000000152e-02 2.800313219433854528e-02
2.700000000000000000e+04 7.076659999999999895e-02 3.213294940088756019e-02
2.800000000000000000e+04 7.068801999999999031e-02 1.310139593530399577e-02
2.900000000000000000e+04 6.425220000000000931e-02 1.390742229185552327e-02
3.000000000000000000e+04 7.213078000000000545e-02 3.063205855141962544e-02
3.100000000000000000e+04 9.143467999999999041e-02 2.917705550389894723e-02
3.200000000000000000e+04 9.120226000000000721e-02 3.174439886711354769e-02
3.300000000000000000e+04 9.257672000000000123e-02 2.861619368744907493e-02
3.400000000000000000e+04 8.355608000000000479e-02 3.579990275894056467e-02
3.500000000000000000e+04 1.008976400000000107e-01 3.414232136909264859e-02
3.600000000000000000e+04 7.847265999999999964e-02 3.496586432168379693e-02
3.700000000000000000e+04 8.765881999999999841e-02 3.735872275800659892e-02
3.800000000000000000e+04 7.535256000000001286e-02 2.002795113980459368e-02
3.900000000000000000e+04 8.154294000000000819e-02 2.857479673471711307e-02
4.000000000000000000e+04 7.905786000000000757e-02 3.429732891562256580e-02
4.100000000000000000e+04 7.093098000000000458e-02 2.727953138676689204e-02
4.200000000000000000e+04 8.941258000000000539e-02 2.668039793446867064e-02
4.300000000000000000e+04 7.070600000000000496e-02 1.994749656964502418e-02
4.400000000000000000e+04 6.920271999999999535e-02 1.716093880676695591e-02
4.500000000000000000e+04 7.290159999999998308e-02 2.603614696893532393e-02
4.600000000000000000e+04 6.492408000000000901e-02 2.591467244611823928e-02
4.700000000000000000e+04 8.339382000000000739e-02 3.012931705089911746e-02
4.800000000000000000e+04 8.048298000000000951e-02 2.098133166921489767e-02
4.900000000000000000e+04 7.886370000000000879e-02 3.319334066634450214e-02
5.000000000000000000e+04 6.665278000000000869e-02 1.050395116961231994e-02
5.100000000000000000e+04 6.877056000000000835e-02 1.768588887385647013e-02
5.200000000000000000e+04 8.396072000000000257e-02 3.633615391443623804e-02
5.300000000000000000e+04 7.387014000000000080e-02 1.685105554220269267e-02
5.400000000000000000e+04 7.485342000000000384e-02 2.822925338583363516e-02
5.500000000000000000e+04 7.258649999999999824e-02 2.291700902430332532e-02
5.600000000000000000e+04 7.310579999999999856e-02 2.079555508246894516e-02
5.700000000000000000e+04 7.286699999999998734e-02 2.889744299172506206e-02
5.800000000000000000e+04 8.046137999999999901e-02 2.034887543304543175e-02
5.900000000000000000e+04 7.062672000000000394e-02 1.738014166333520100e-02
6.000000000000000000e+04 6.851199999999998957e-02 2.422335212153759951e-02
6.100000000000000000e+04 6.633095999999999437e-02 2.321256283425851899e-02
6.200000000000000000e+04 7.768934000000000950e-02 2.023980229612927853e-02
6.300000000000000000e+04 8.634316000000000213e-02 1.955632885012931199e-02
6.400000000000000000e+04 6.926991999999999872e-02 2.059171160893625077e-02
6.500000000000000000e+04 8.950294000000000305e-02 9.344826340301889619e-03
6.600000000000000000e+04 8.317923999999998763e-02 1.166281556273612678e-02
6.700000000000000000e+04 9.066405999999999077e-02 2.902148520228418557e-02
6.800000000000000000e+04 7.560160000000001879e-02 2.368183312929976470e-02
6.900000000000000000e+04 7.761345999999999523e-02 8.988431085701218543e-03
7.000000000000000000e+04 8.797699999999999965e-02 1.304830058298781133e-02
7.100000000000000000e+04 7.366426000000000918e-02 1.499377718316502114e-02
7.200000000000000000e+04 6.575823999999999558e-02 2.199999067523438628e-02
7.300000000000000000e+04 7.272162000000000071e-02 2.511621565892441579e-02
7.400000000000000000e+04 8.836457999999999813e-02 2.863553728417890173e-02
7.500000000000000000e+04 8.383682000000000634e-02 2.532123539232633558e-02
7.600000000000000000e+04 8.669928000000000357e-02 2.450531558102445745e-02
7.700000000000000000e+04 7.225445999999999258e-02 1.740319179008264355e-02
7.800000000000000000e+04 8.029548000000000241e-02 2.887387357258461296e-02
7.900000000000000000e+04 6.928405999999999454e-02 1.213534486079402563e-02
8.000000000000000000e+04 6.309074000000000626e-02 1.841376145241379117e-02
8.100000000000000000e+04 6.269990000000000285e-02 1.227726536570746332e-02
8.200000000000000000e+04 7.254358000000001028e-02 1.636831817449795404e-02
8.300000000000000000e+04 5.729449999999999127e-02 1.879377328425561183e-02
8.400000000000000000e+04 6.838516000000001427e-02 2.826539294823972662e-02
8.500000000000000000e+04 9.514722000000000457e-02 2.133951090970924447e-02
8.600000000000000000e+04 5.675603999999999372e-02 1.106747525329964364e-02
8.700000000000000000e+04 6.325440000000000229e-02 1.493861949110425469e-02
8.800000000000000000e+04 5.577022000000000229e-02 1.521530836958620396e-02
8.900000000000000000e+04 7.512720000000000509e-02 2.910624350458162340e-02
9.000000000000000000e+04 5.166288000000000130e-02 1.324212057178154531e-02
9.100000000000000000e+04 7.110779999999999879e-02 1.998724682341217543e-02
9.200000000000000000e+04 7.284422000000000119e-02 1.876114629071475720e-02
9.300000000000000000e+04 7.139789999999998638e-02 2.425360477314661076e-02
9.400000000000000000e+04 6.732664000000000704e-02 2.848229469643202838e-02
9.500000000000000000e+04 6.890933999999999948e-02 2.866897504345769856e-02
9.600000000000000000e+04 7.043831999999999871e-02 2.036583635006429180e-02
9.700000000000000000e+04 9.816784000000000621e-02 3.977266548656752804e-02
9.800000000000000000e+04 6.462132000000000986e-02 1.198083887253309152e-02
9.900000000000000000e+04 7.265859999999998986e-02 2.238009478442841774e-02
1.000000000000000000e+05 8.187389999999999946e-02 2.707121510830276523e-02
