# x average std
0.000000000000000000e+00 9.370000000000000074e-05 0.000000000000000000e+00
1.000000000000000000e+03 8.414246000000000225e-02 1.293344639105911340e-02
2.000000000000000000e+03 8.344221999999999750e-02 6.909974154047176208e-03
3.000000000000000000e+03 8.371091999999999422e-02 3.684487073338701176e-03
4.000000000000000000e+03 8.295321999999999418e-02 4.832502024583124403e-03
5.000000000000000000e+03 9.040577999999999115e-02 1.199105203581403954e-02
6.000000000000000000e+03 8.984249999999999181e-02 4.157497217317169050e-03
7.000000000000000000e+03 9.224731999999999377e-02 6.853947611530161570e-03
8.000000000000000000e+03 9.557134000000000462e-02 6.990002848239762652e-03
9.000000000000000000e+03 9.867408000000001123e-02 1.150065276989093409e-02
1.000000000000000000e+04 9.285631999999999220e-02 9.514797382057070194e-03
1.100000000000000000e+04 1.005221599999999993e-01 3.121385829787786618e-03
1.200000000000000000e+04 1.048808999999999853e-01 1.161428759984873063e-02
1.300000000000000000e+04 1.071303600000000078e-01 6.258972433107532277e-03
1.400000000000000000e+04 1.006437400000000093e-01 4.099361298348804146e-03
1.500000000000000000e+04 9.580447999999999742e-02 3.931202975375352494e-03
1.600000000000000000e+04 1.049781800000000043e-01 1.094246262454663492e-02
1.700000000000000000e+04 1.043853400000000209e-01 1.223487700985996518e-02
1.800000000000000000e+04 1.082949799999999990e-01 5.156984662920766765e-03
1.900000000000000000e+04 1.071040800000000043e-01 8.180327848540055319e-03
2.000000000000000000e+04 1.084265999999999980e-01 9.203543940895810710e-03
2.100000000000000000e+04 1.080509200000000086e-01 7.897595728422666245e-03
2.200000000000000000e+04 1.102792599999999901e-01 1.445208061873444992e-02
2.300000000000000000e+04 1.109255999999999992e-01 8.593654345620378721e-03
2.400000000000000000e+04 1.133471399999999851e-01 1.253270576908275223e-02
2.500000000000000000e+04 1.090171800000000052e-01 8.273931472377567611e-03
2.600000000000000000e+04 1.106133400000000044e-01 9.523668750140358574e-03
2.700000000000000000e+04 1.111444399999999832e-01 9.470622122880838906e-03
2.800000000000000000e+04 1.055699999999999833e-01 9.539902004108848088e-03
2.900000000000000000e+04 1.094051799999999908e-01 1.054363822471162011e-02
3.000000000000000000e+04 1.109940399999999883e-01 8.390559090692346553e-03
3.100000000000000000e+04 1.163534999999999986e-01 1.712821267850209855e-02
3.200000000000000000e+04 1.113352199999999986e-01 1.428281306905610989e-02
3.300000000000000000e+04 1.097071200000000052e-01 1.236493868620463718e-02
3.400000000000000000e+04 1.162032200000000098e-01 1.483793139860135890e-02
3.500000000000000000e+04 1.156460400000000055e-01 1.588411228247899043e-02
3.600000000000000000e+04 1.122111199999999975e-01 1.557336023899787841e-02
3.700000000000000000e+04 1.169714599999999993e-01 2.065689699897833506e-02
3.800000000000000000e+04 1.163482399999999917e-01 1.686099732846191648e-02
3.900000000000000000e+04 1.092206000000000010e-01 1.254468450810940217e-02
4.000000000000000000e+04 1.135555199999999931e-01 1.084856831925761107e-02
4.100000000000000000e+04 1.155996400000000035e-01 1.785460441651957192e-02
4.200000000000000000e+04 1.208374200000000009e-01 1.923411356807482042e-02
4.300000000000000000e+04 1.236542399999999847e-01 1.045737308287315696e-02
4.400000000000000000e+04 1.201363000000000153e-01 1.452973322852143395e-02
4.500000000000000000e+04 1.216280799999999995e-01 9.765017009386109045e-03
4.600000000000000000e+04 1.210982399999999820e-01 1.786961915795633529e-02
4.700000000000000000e+04 1.162506199999999990e-01 1.874314982593907816e-02
4.800000000000000000e+04 1.127863999999999950e-01 1.270118146882407567e-02
4.900000000000000000e+04 1.158644600000000163e-01 6.185437212550139174e-03
5.000000000000000000e+04 1.224552799999999858e-01 1.630569698006190463e-02
5.100000000000000000e+04 1.220876600000000006e-01 1.449095749418926639e-02
5.200000000000000000e+04 1.253534800000000171e-01 1.698087074591877674e-02
5.300000000000000000e+04 1.304371400000000070e-01 1.463150968131450395e-02
5.400000000000000000e+04 1.231216599999999939e-01 9.196715155445445850e-03
5.500000000000000000e+04 1.268933200000000039e-01 1.286203103625550501e-02
5.600000000000000000e+04 1.246808599999999767e-01 1.711046138975802142e-02
