# x average std
0.000000000000000000e+00 2.826000000000000387e-05 9.880000000000000273e-06
1.000000000000000000e+03 1.009825399999999956e-01 1.291767868939307229e-02
2.000000000000000000e+03 1.016130400000000017e-01 1.219918370131378889e-02
3.000000000000000000e+03 1.058476799999999995e-01 1.372305936726938257e-02
4.000000000000000000e+03 1.148623600000000106e-01 1.567348163052484714e-02
5.000000000000000000e+03 1.397373399999999877e-01 4.361835287663210631e-02
6.000000000000000000e+03 1.359046599999999827e-01 3.698707325964572384e-02
7.000000000000000000e+03 1.400534199999999840e-01 4.769461553372246476e-02
8.000000000000000000e+03 1.450912799999999891e-01 4.046580198189082822e-02
9.000000000000000000e+03 1.428631999999999957e-01 4.174990939908732046e-02
1.000000000000000000e+04 1.466829000000000049e-01 3.000938947596235029e-02
1.100000000000000000e+04 1.411519999999999997e-01 2.745083899322569090e-02
1.200000000000000000e+04 1.556403199999999987e-01 3.716131493106238082e-02
1.300000000000000000e+04 1.648628600000000000e-01 4.000922919075548118e-02
1.400000000000000000e+04 1.737103000000000119e-01 4.225149390745847056e-02
1.500000000000000000e+04 1.688444000000000056e-01 3.876330103585090558e-02
1.600000000000000000e+04 1.547488200000000091e-01 3.139818256590020534e-02
1.700000000000000000e+04 1.745425800000000305e-01 5.664623591362094590e-02
1.800000000000000000e+04 1.782469200000000309e-01 4.774735203419767232e-02
1.900000000000000000e+04 1.631283799999999895e-01 2.632973125821074650e-02
2.000000000000000000e+04 1.579772200000000015e-01 2.761479729973769642e-02
2.100000000000000000e+04 1.484430199999999811e-01 1.843978573274646787e-02
2.200000000000000000e+04 1.456074999999999731e-01 1.450365584850936591e-02
2.300000000000000000e+04 1.506680999999999993e-01 1.428272609665255308e-02
2.400000000000000000e+04 1.520120799999999939e-01 2.043399156713147577e-02
2.500000000000000000e+04 1.395238799999999890e-01 1.979497244690176308e-02
2.600000000000000000e+04 1.527983599999999942e-01 2.890621710328766455e-02
2.700000000000000000e+04 1.507960000000000134e-01 1.710993451922011507e-02
2.800000000000000000e+04 1.452344999999999886e-01 2.881242532221124641e-02
2.900000000000000000e+04 1.573816000000000381e-01 2.385947096177951782e-02
3.000000000000000000e+04 1.529230799999999890e-01 3.740508558596812583e-02
3.100000000000000000e+04 1.607246800000000087e-01 2.639918168287797712e-02
3.200000000000000000e+04 1.545677200000000195e-01 3.026208039017806717e-02
3.300000000000000000e+04 1.548590999999999995e-01 2.002371471430813149e-02
3.400000000000000000e+04 1.723109399999999680e-01 6.340655806525377636e-02
3.500000000000000000e+04 1.681111999999999884e-01 4.511660351028210642e-02
3.600000000000000000e+04 1.720617400000000186e-01 4.766590682748415159e-02
3.700000000000000000e+04 1.683197200000000060e-01 3.706378430313882200e-02
3.800000000000000000e+04 1.610593400000000230e-01 3.661375131928440441e-02
3.900000000000000000e+04 1.606233800000000100e-01 3.627057767019434276e-02
4.000000000000000000e+04 1.746012400000000186e-01 6.836383490801552221e-02
4.100000000000000000e+04 1.600134400000000068e-01 4.180319998151337674e-02
4.200000000000000000e+04 1.639070199999999866e-01 4.211703947147282107e-02
4.300000000000000000e+04 1.621752399999999705e-01 3.379907195031248146e-02
4.400000000000000000e+04 1.594753799999999999e-01 6.012000407522939682e-02
4.500000000000000000e+04 1.572139200000000070e-01 5.036039031029843765e-02
4.600000000000000000e+04 1.541446800000000061e-01 3.070347855435276441e-02
4.700000000000000000e+04 1.676136599999999977e-01 5.285144347469045156e-02
