# x average std
0.000000000000000000e+00 2.979999999999999929e-05 0.000000000000000000e+00
1.000000000000000000e+03 8.752052000000001830e-02 1.280836573359770900e-02
2.000000000000000000e+03 8.197030000000000982e-02 7.045552167147725413e-03
3.000000000000000000e+03 9.285155999999999965e-02 3.194328241493036256e-03
4.000000000000000000e+03 1.261218199999999956e-01 4.945292510003427428e-02
5.000000000000000000e+03 1.153009399999999907e-01 4.251181137042268909e-02
6.000000000000000000e+03 1.164377800000000046e-01 3.371263780527415654e-02
7.000000000000000000e+03 1.280503800000000192e-01 5.103145149557868770e-02
8.000000000000000000e+03 1.180363200000000001e-01 2.709000733985873419e-02
9.000000000000000000e+03 1.268530200000000108e-01 3.763348391735211323e-02
1.000000000000000000e+04 1.186733800000000089e-01 2.745358576779361598e-02
1.100000000000000000e+04 1.200809800000000038e-01 3.420708656552907956e-02
1.200000000000000000e+04 1.295345600000000208e-01 4.888547025988805583e-02
1.300000000000000000e+04 1.367879200000000073e-01 3.987742975846863408e-02
1.400000000000000000e+04 1.264678800000000047e-01 2.478856170522202376e-02
1.500000000000000000e+04 1.179972600000000205e-01 3.665674308749210936e-02
1.600000000000000000e+04 1.243293600000000138e-01 2.495869364190362108e-02
1.700000000000000000e+04 1.240031600000000012e-01 4.455361610318964161e-02
1.800000000000000000e+04 1.216551600000000122e-01 1.962272294464761577e-02
1.900000000000000000e+04 1.269541799999999998e-01 2.165257401210304161e-02
2.000000000000000000e+04 1.292313400000000001e-01 2.375767091502026945e-02
2.100000000000000000e+04 1.172437200000000096e-01 1.932752633788400315e-02
2.200000000000000000e+04 1.258939400000000097e-01 1.921266618089222805e-02
2.300000000000000000e+04 1.338149000000000144e-01 2.390274212746312105e-02
2.400000000000000000e+04 1.208744800000000064e-01 2.599982303727470245e-02
2.500000000000000000e+04 1.142363400000000057e-01 9.212934083037822158e-03
2.600000000000000000e+04 1.208055999999999991e-01 1.852389948612332901e-02
2.700000000000000000e+04 1.178107199999999938e-01 1.002548083104246729e-02
2.800000000000000000e+04 1.243813399999999791e-01 1.307959597305665550e-02
2.900000000000000000e+04 1.245049199999999912e-01 1.062951052634127265e-02
3.000000000000000000e+04 1.203811800000000043e-01 1.000369783558060187e-02
3.100000000000000000e+04 1.235614600000000118e-01 6.308788111388747254e-03
3.200000000000000000e+04 1.231115799999999982e-01 1.391393145841964864e-02
3.300000000000000000e+04 1.188767800000000152e-01 1.418117638398169386e-02
3.400000000000000000e+04 1.178142000000000078e-01 1.025152552686672131e-02
3.500000000000000000e+04 1.217119400000000046e-01 1.749136046436640390e-02
3.600000000000000000e+04 1.213456599999999941e-01 4.797331055743390971e-03
3.700000000000000000e+04 1.308054200000000056e-01 1.616207651527488617e-02
3.800000000000000000e+04 1.143815800000000105e-01 9.372214792331638039e-03
3.900000000000000000e+04 1.173812399999999839e-01 6.791302366586253469e-03
4.000000000000000000e+04 1.200383200000000039e-01 4.988814627704661088e-03
4.100000000000000000e+04 1.208281999999999828e-01 1.115646985188415222e-02
4.200000000000000000e+04 1.198131000000000057e-01 1.361467908061001625e-02
4.300000000000000000e+04 1.377837799999999946e-01 2.140815180583321292e-02
4.400000000000000000e+04 1.278982799999999753e-01 1.202006862699210935e-02
4.500000000000000000e+04 1.273832599999999982e-01 1.557993643203976937e-02
4.600000000000000000e+04 1.222184600000000010e-01 5.530943303488118287e-03
4.700000000000000000e+04 1.224902600000000036e-01 1.382462835501916884e-02
4.800000000000000000e+04 1.267549400000000104e-01 8.257147380930050795e-03
4.900000000000000000e+04 1.268017599999999856e-01 1.356342040085759502e-02
5.000000000000000000e+04 1.274027600000000038e-01 1.216080062407076667e-02
5.100000000000000000e+04 1.357766999999999724e-01 2.134516390445385936e-02
5.200000000000000000e+04 1.412482000000000182e-01 2.457887556915491073e-02
5.300000000000000000e+04 1.347824400000000034e-01 1.768716908548114905e-02
5.400000000000000000e+04 1.457748799999999956e-01 2.559187505833834808e-02
5.500000000000000000e+04 1.491428600000000160e-01 3.882738572382127273e-02
5.600000000000000000e+04 1.447431599999999818e-01 4.301462406338570077e-02
5.700000000000000000e+04 1.522372399999999959e-01 5.538773303519833185e-02
5.800000000000000000e+04 1.321457399999999838e-01 1.472385079639154312e-02
5.900000000000000000e+04 1.455113799999999957e-01 2.840937643816913993e-02
6.000000000000000000e+04 1.407655200000000051e-01 2.937821204058544897e-02
6.100000000000000000e+04 1.148687599999999864e-01 5.783084367221351385e-03
6.200000000000000000e+04 1.393975600000000037e-01 1.934278267898391704e-02
6.300000000000000000e+04 1.335108999999999879e-01 2.053954457508734566e-02
6.400000000000000000e+04 1.435169000000000028e-01 2.531807705865514110e-02
6.500000000000000000e+04 1.465756400000000070e-01 4.168420436830239800e-02
6.600000000000000000e+04 1.450563599999999953e-01 4.299701808235542599e-02
