# x average std
0.000000000000000000e+00 5.009999999999999127e-05 6.776263578034402713e-21
1.000000000000000000e+03 9.797029999999999628e-02 9.592520603053194400e-03
2.000000000000000000e+03 1.132227199999999989e-01 1.907173818962498366e-02
3.000000000000000000e+03 1.062717200000000001e-01 8.402367470516867651e-03
4.000000000000000000e+03 1.090391799999999856e-01 2.709519727479393642e-03
5.000000000000000000e+03 1.092474799999999940e-01 1.159933846396422365e-02
6.000000000000000000e+03 1.309347399999999939e-01 1.170453269611392878e-02
7.000000000000000000e+03 1.190617999999999954e-01 1.444180136949681573e-02
8.000000000000000000e+03 1.315900200000000297e-01 1.480599507529297906e-02
9.000000000000000000e+03 1.282562800000000003e-01 9.621346746147335996e-03
1.000000000000000000e+04 1.181560000000000110e-01 9.129938020819202901e-03
1.100000000000000000e+04 1.237988799999999862e-01 1.213179312012861895e-02
1.200000000000000000e+04 1.212931000000000009e-01 8.649208508297159814e-03
1.300000000000000000e+04 1.152508200000000038e-01 1.410693763499364095e-02
1.400000000000000000e+04 1.056972599999999873e-01 1.320674441784953912e-02
1.500000000000000000e+04 1.144908000000000037e-01 1.116049609148266931e-02
1.600000000000000000e+04 1.133221600000000190e-01 7.246204038695017689e-03
1.700000000000000000e+04 1.151589999999999836e-01 1.130120639595614228e-02
1.800000000000000000e+04 1.138248399999999966e-01 6.198653827275723768e-03
1.900000000000000000e+04 1.063221200000000061e-01 6.578140241557639024e-03
2.000000000000000000e+04 1.167569599999999930e-01 8.650740890490242821e-03
2.100000000000000000e+04 1.168003999999999987e-01 7.845200739305526610e-03
2.200000000000000000e+04 1.253139999999999810e-01 8.349599821548332051e-03
2.300000000000000000e+04 1.231721800000000061e-01 1.561174149022459372e-02
2.400000000000000000e+04 1.279099999999999959e-01 8.508840894269916952e-03
2.500000000000000000e+04 1.278120799999999946e-01 7.230965823290827661e-03
2.600000000000000000e+04 1.315020199999999972e-01 1.868013657577481321e-02
2.700000000000000000e+04 1.204868199999999945e-01 9.839627604213479692e-03
2.800000000000000000e+04 1.337231000000000114e-01 1.269724364088521511e-02
2.900000000000000000e+04 1.179304600000000008e-01 8.985247801502194501e-03
3.000000000000000000e+04 1.225270799999999827e-01 9.740567101847815226e-03
3.100000000000000000e+04 1.197575800000000024e-01 1.044569001596352617e-02
3.200000000000000000e+04 1.191868199999999989e-01 1.351616528226848996e-02
3.300000000000000000e+04 1.234377000000000113e-01 1.349383307174058938e-02
3.400000000000000000e+04 1.162557400000000102e-01 1.011811878989369792e-02
3.500000000000000000e+04 1.246167400000000036e-01 1.540440047617562709e-02
3.600000000000000000e+04 1.191138599999999881e-01 1.457790723603357048e-02
3.700000000000000000e+04 1.233777799999999925e-01 1.678898342335234661e-02
3.800000000000000000e+04 1.197788199999999942e-01 1.251626216845907850e-02
3.900000000000000000e+04 1.228810399999999969e-01 1.086969172526985536e-02
4.000000000000000000e+04 1.280281600000000020e-01 1.525653454236577077e-02
4.100000000000000000e+04 1.330351999999999923e-01 2.040107688461567648e-02
4.200000000000000000e+04 1.435765599999999920e-01 3.147945586966839626e-02
4.300000000000000000e+04 1.384615399999999941e-01 1.464571298730110195e-02
4.400000000000000000e+04 1.384249599999999858e-01 1.404677452806871174e-02
4.500000000000000000e+04 1.304853400000000052e-01 1.218404200544301839e-02
4.600000000000000000e+04 1.294006400000000112e-01 1.484927648642855695e-02
4.700000000000000000e+04 1.328886599999999918e-01 1.743776491315329399e-02
4.800000000000000000e+04 1.296527399999999886e-01 1.181253400462406976e-02
4.900000000000000000e+04 1.223026799999999970e-01 1.506432909093531180e-03
5.000000000000000000e+04 1.253444600000000186e-01 1.547842060503590300e-02
5.100000000000000000e+04 1.372499600000000319e-01 6.568510952902493517e-03
5.200000000000000000e+04 1.365803000000000156e-01 7.500863161796783411e-03
5.300000000000000000e+04 1.387633599999999745e-01 1.589937601713979631e-02
5.400000000000000000e+04 1.312250200000000255e-01 1.367552396208642981e-02
5.500000000000000000e+04 1.275777600000000123e-01 7.215904922766099190e-03
5.600000000000000000e+04 1.374143999999999921e-01 1.636445996285853730e-02
5.700000000000000000e+04 1.290225999999999873e-01 1.428095174195333911e-02
5.800000000000000000e+04 1.353801000000000032e-01 1.254428910237642865e-02
5.900000000000000000e+04 1.365906600000000026e-01 1.469863406777650004e-02
6.000000000000000000e+04 1.224710000000000243e-01 1.052780476395720477e-02
