# x average std
0.000000000000000000e+00 2.995629999999999882e+02 0.000000000000000000e+00
1.000000000000000000e+03 2.941706000000000358e+02 3.164597200276846323e+00
2.000000000000000000e+03 2.926961999999999762e+02 2.223504567119206410e+00
3.000000000000000000e+03 2.935402000000000271e+02 2.517605958048231951e+00
4.000000000000000000e+03 2.929282000000000039e+02 1.829103211959355990e+00
5.000000000000000000e+03 2.929642000000000053e+02 2.980168679789776398e+00
6.000000000000000000e+03 2.939703999999999837e+02 4.393616278192685187e-01
7.000000000000000000e+03 2.940978000000000634e+02 3.149381297969497506e+00
8.000000000000000000e+03 2.908102000000000089e+02 3.533659655371462982e+00
9.000000000000000000e+03 2.928833999999999946e+02 2.345720580120312260e+00
1.000000000000000000e+04 2.914122000000000412e+02 1.578933488149504960e+00
1.100000000000000000e+04 2.940248000000000275e+02 3.143535105577777600e+00
1.200000000000000000e+04 2.926072000000000344e+02 2.054304884869822434e+00
1.300000000000000000e+04 2.941057999999999879e+02 2.543740112511490015e+00
1.400000000000000000e+04 2.949125999999999976e+02 3.109500705901192763e+00
1.500000000000000000e+04 2.919696000000000140e+02 4.622828813616180810e+00
1.600000000000000000e+04 2.951601999999999748e+02 3.716008310001466253e+00
1.700000000000000000e+04 2.930603999999999587e+02 1.231727015210753562e+00
1.800000000000000000e+04 2.918485999999999763e+02 4.324471972391538799e+00
1.900000000000000000e+04 2.923885999999999967e+02 2.675439223753735440e+00
2.000000000000000000e+04 2.907268000000000256e+02 2.630670363234441478e+00
2.100000000000000000e+04 2.924902000000000157e+02 2.220305240276654324e+00
2.200000000000000000e+04 2.916583999999999719e+02 1.940301997112816368e+00
2.300000000000000000e+04 2.901383999999999901e+02 2.375411257024771849e+00
2.400000000000000000e+04 2.897217999999999734e+02 2.090896401068214949e+00
2.500000000000000000e+04 2.906908000000000243e+02 2.512236565293955337e+00
2.600000000000000000e+04 2.916129999999999995e+02 2.430844544597613677e+00
2.700000000000000000e+04 2.923216000000000463e+02 1.974504960743334037e+00
2.800000000000000000e+04 2.914782000000000153e+02 1.985976475187961166e+00
2.900000000000000000e+04 2.911441999999999553e+02 1.567301298410740618e+00
3.000000000000000000e+04 2.912384000000000128e+02 3.078827867874387447e+00
3.100000000000000000e+04 2.929062000000000126e+02 2.204254468068512551e+00
3.200000000000000000e+04 2.905557999999999765e+02 3.291020899356300156e+00
3.300000000000000000e+04 2.912221999999999866e+02 2.908209579793032074e+00
3.400000000000000000e+04 2.907952000000000226e+02 3.980012834150165713e+00
3.500000000000000000e+04 2.928797999999999888e+02 2.731079156670496833e+00
3.600000000000000000e+04 2.913590000000000373e+02 2.635518924234857341e+00
3.700000000000000000e+04 2.924919999999999618e+02 2.478572976533072403e+00
3.800000000000000000e+04 2.910795999999999708e+02 2.588598586107945909e+00
3.900000000000000000e+04 2.928550000000000182e+02 1.626498939440173652e+00
4.000000000000000000e+04 2.907515999999999394e+02 2.349363454214778102e+00
4.100000000000000000e+04 2.902832000000000221e+02 2.162369755615344058e+00
4.200000000000000000e+04 2.897986000000000217e+02 2.558177444979129245e+00
4.300000000000000000e+04 2.907771999999999366e+02 1.385052980936108957e+00
4.400000000000000000e+04 2.903675999999999817e+02 1.980322862565590869e+00
4.500000000000000000e+04 2.885983999999999696e+02 2.393795363016655742e+00
4.600000000000000000e+04 2.884970000000000141e+02 4.699039476318527697e+00
4.700000000000000000e+04 2.902620000000000005e+02 2.768640460587107999e+00
4.800000000000000000e+04 2.894648000000000252e+02 2.860312248688956061e+00
4.900000000000000000e+04 2.894096000000000117e+02 7.261560713785949472e-01
5.000000000000000000e+04 2.907751999999999271e+02 4.261462678470855359e+00
5.100000000000000000e+04 2.905888000000000488e+02 2.891795110307798566e+00
5.200000000000000000e+04 2.912346000000000004e+02 2.871530365501981041e+00
5.300000000000000000e+04 2.914136000000000308e+02 1.623256677177091767e+00
5.400000000000000000e+04 2.884753999999999792e+02 2.366729017019050918e+00
5.500000000000000000e+04 2.893157999999999674e+02 2.458611591935587093e+00
5.600000000000000000e+04 2.877748000000000275e+02 2.578105381864753909e+00
5.700000000000000000e+04 2.919011999999999603e+02 3.497814140288176610e+00
5.800000000000000000e+04 2.929389999999999645e+02 2.733166149358648767e+00
5.900000000000000000e+04 2.892880000000000109e+02 3.185698353579640152e+00
6.000000000000000000e+04 2.894764000000000124e+02 1.861097697596766576e+00
6.100000000000000000e+04 2.892078000000000202e+02 3.854701098658623426e+00
6.200000000000000000e+04 2.893315999999999804e+02 2.298644261298390390e+00
6.300000000000000000e+04 2.911449999999999818e+02 2.274457913437843093e+00
6.400000000000000000e+04 2.920822000000000003e+02 4.247116734915583613e+00
6.500000000000000000e+04 2.915548000000000002e+02 2.990163233002501197e+00
6.600000000000000000e+04 2.909921999999999684e+02 4.407172626525998282e+00
6.700000000000000000e+04 2.906333999999999946e+02 2.952838336245309669e+00
6.800000000000000000e+04 2.887569999999999482e+02 2.744666027042266698e+00
6.900000000000000000e+04 2.914822000000000344e+02 3.440266698963897696e+00
7.000000000000000000e+04 2.917968000000000188e+02 1.090615495947123925e+00
7.100000000000000000e+04 2.895284000000000333e+02 3.020175133994708272e+00
7.200000000000000000e+04 2.920449999999999591e+02 2.925157773522652160e+00
7.300000000000000000e+04 2.913106000000000222e+02 3.622044980394349967e+00
7.400000000000000000e+04 2.934658000000000015e+02 2.871916391540662250e+00
7.500000000000000000e+04 2.924558000000000106e+02 4.461136509904178205e+00
7.600000000000000000e+04 2.914741999999999962e+02 1.684331368822639341e+00
7.700000000000000000e+04 2.892452000000000112e+02 6.802300787233692692e-01
7.800000000000000000e+04 2.929579999999999700e+02 3.495857663006319616e+00
7.900000000000000000e+04 2.928385999999999854e+02 3.349508656504704973e+00
8.000000000000000000e+04 2.921358000000000175e+02 3.177396003018829962e+00
8.100000000000000000e+04 2.915597999999999956e+02 3.480161341087502969e+00
8.200000000000000000e+04 2.918899999999999864e+02 2.355862644552941365e+00
8.300000000000000000e+04 2.912866000000000213e+02 1.922461193366464371e+00
8.400000000000000000e+04 2.908127999999999815e+02 2.147338389728079555e+00
8.500000000000000000e+04 2.904082000000000221e+02 2.262637699677084058e+00
8.600000000000000000e+04 2.900406000000000404e+02 9.414657933244285903e-01
8.700000000000000000e+04 2.902552000000000021e+02 2.322244724399229021e+00
8.800000000000000000e+04 2.907423999999999751e+02 2.229161869402946916e+00
8.900000000000000000e+04 2.898509999999999991e+02 4.102298087657706205e+00
9.000000000000000000e+04 2.881182000000000016e+02 1.841037033848037519e+00
9.100000000000000000e+04 2.917488000000000170e+02 2.761059897937749419e+00
9.200000000000000000e+04 2.874506000000000085e+02 7.310897619307822337e-01
9.300000000000000000e+04 2.918786000000000058e+02 2.631819416297402903e+00
9.400000000000000000e+04 2.920455999999999790e+02 2.759166149400946733e+00
9.500000000000000000e+04 2.926221999999999639e+02 3.478175751741140243e+00
9.600000000000000000e+04 2.946917999999999438e+02 2.686769539800533124e+00
9.700000000000000000e+04 2.944438000000000102e+02 3.197886952348378387e+00
9.800000000000000000e+04 2.945597999999999956e+02 3.451504217004519592e+00
9.900000000000000000e+04 2.944746000000000095e+02 1.869885087378374999e+00
1.000000000000000000e+05 2.930628000000000384e+02 2.863941856951703446e+00
1.010000000000000000e+05 2.911333999999999946e+02 1.179970779299212458e+00
1.020000000000000000e+05 2.927435999999999581e+02 1.931279534402007059e+00
1.030000000000000000e+05 2.930542000000000371e+02 1.829685918402383038e+00
1.040000000000000000e+05 2.928057999999999765e+02 2.933450214338055417e+00
1.050000000000000000e+05 2.936829999999999927e+02 1.872235134805459111e+00
1.060000000000000000e+05 2.926320000000000618e+02 1.523620425171569703e+00
1.070000000000000000e+05 2.917985999999999649e+02 3.932878162364044528e+00
1.080000000000000000e+05 2.931039999999999281e+02 2.724270544567851893e+00
1.090000000000000000e+05 2.923991999999999507e+02 2.107173215471392247e+00
1.100000000000000000e+05 2.916262000000000398e+02 2.491844329006132508e+00
1.110000000000000000e+05 2.928537999999999784e+02 3.659381991539022660e+00
1.120000000000000000e+05 2.929961999999999875e+02 4.879208107879807521e+00
1.130000000000000000e+05 2.931306000000000154e+02 2.118607335019873528e+00
1.140000000000000000e+05 2.908472000000000435e+02 4.194163106031995270e+00
1.150000000000000000e+05 2.930307999999999993e+02 4.948624956490442095e+00
1.160000000000000000e+05 2.904833999999999605e+02 3.103073676212033671e+00
1.170000000000000000e+05 2.932576000000000249e+02 3.557243573330349129e+00
1.180000000000000000e+05 2.912830000000000155e+02 2.861073085399946425e+00
1.190000000000000000e+05 2.916341999999999643e+02 3.004221656269727259e+00
1.200000000000000000e+05 2.920934000000000310e+02 4.792966872407943946e+00
1.210000000000000000e+05 2.902065999999999804e+02 4.452094410499410237e+00
1.220000000000000000e+05 2.915602000000000089e+02 2.741537043339016932e+00
1.230000000000000000e+05 2.915921999999999343e+02 3.965695974226956633e+00
1.240000000000000000e+05 2.904576000000000136e+02 3.669583823814364987e+00
1.250000000000000000e+05 2.911279999999999859e+02 2.792142259986045705e+00
1.260000000000000000e+05 2.914057999999999993e+02 2.661406124589028810e+00
1.270000000000000000e+05 2.924069999999999823e+02 2.957077273254796079e+00
1.280000000000000000e+05 2.911403999999999428e+02 2.733640620125477483e+00
1.290000000000000000e+05 2.919077999999999520e+02 3.201849178209366542e+00
1.300000000000000000e+05 2.911915999999999940e+02 2.798197105280467945e+00
1.310000000000000000e+05 2.931939999999999600e+02 3.585708967554395610e+00
1.320000000000000000e+05 2.911144000000000460e+02 2.900716573538336007e+00
1.330000000000000000e+05 2.908814000000000419e+02 3.043753643118962238e+00
1.340000000000000000e+05 2.900743999999999687e+02 3.105560921959181098e+00
1.350000000000000000e+05 2.924764000000000124e+02 3.673462432093190788e+00
1.360000000000000000e+05 2.902848000000000184e+02 2.928312305748820510e+00
1.370000000000000000e+05 2.908949999999999818e+02 2.778554732230410718e+00
1.380000000000000000e+05 2.907877999999999474e+02 3.095215042610121259e+00
1.390000000000000000e+05 2.906236000000000104e+02 2.924714933117413818e+00
1.400000000000000000e+05 2.905515999999999508e+02 3.006174286364649895e+00
1.410000000000000000e+05 2.911014000000000124e+02 3.682390017366433899e+00
1.420000000000000000e+05 2.903891999999999598e+02 3.072479155340200219e+00
1.430000000000000000e+05 2.923108000000000288e+02 3.551258503685706724e+00
1.440000000000000000e+05 2.913685999999999581e+02 3.113605858165097828e+00
1.450000000000000000e+05 2.917702000000000453e+02 4.930802263323887935e+00
1.460000000000000000e+05 2.907536000000000058e+02 2.711055410721071812e+00
1.470000000000000000e+05 2.919587999999999965e+02 3.530207382010297046e+00
1.480000000000000000e+05 2.913220000000000027e+02 2.624922094082030810e+00
1.490000000000000000e+05 2.904851999999999634e+02 3.073859619436126067e+00
1.500000000000000000e+05 2.909311999999999898e+02 2.850765398976212950e+00
1.510000000000000000e+05 2.908377999999999588e+02 2.672234899854426526e+00
1.520000000000000000e+05 2.908105999999999653e+02 2.802492933086540017e+00
1.530000000000000000e+05 2.910305999999999358e+02 3.548279447845112511e+00
1.540000000000000000e+05 2.906533999999999764e+02 2.739748426407064841e+00
1.550000000000000000e+05 2.907153999999999314e+02 2.993545897426662439e+00
1.560000000000000000e+05 2.906798000000000002e+02 2.808267109802771166e+00
1.570000000000000000e+05 2.899370000000000118e+02 3.525294427420216259e+00
1.580000000000000000e+05 2.897488000000000170e+02 3.233440916423243827e+00
1.590000000000000000e+05 2.904612000000000194e+02 3.417754022746508635e+00
1.600000000000000000e+05 2.906435999999999922e+02 3.136088111007089729e+00
1.610000000000000000e+05 2.895243999999999573e+02 3.770775601915332675e+00
1.620000000000000000e+05 2.895587999999999624e+02 3.375581988339192208e+00
1.630000000000000000e+05 2.910090000000000146e+02 2.666564231365897708e+00
1.640000000000000000e+05 2.911073999999999842e+02 3.233118964715040455e+00
1.650000000000000000e+05 2.897738000000000511e+02 3.291622967473642358e+00
1.660000000000000000e+05 2.913147999999999911e+02 2.607992515326683414e+00
1.670000000000000000e+05 2.906783999999999537e+02 3.105948331830388209e+00
1.680000000000000000e+05 2.904372000000000185e+02 2.812792946521302184e+00
1.690000000000000000e+05 2.910751999999999384e+02 2.675941882776978975e+00
1.700000000000000000e+05 2.908475999999999431e+02 2.975973494505622430e+00
1.710000000000000000e+05 2.915895999999999617e+02 2.657430006604124539e+00
1.720000000000000000e+05 2.898750000000000000e+02 3.426853075344783228e+00
1.730000000000000000e+05 2.921345999999999776e+02 4.198230751161740493e+00
1.740000000000000000e+05 2.910446000000000026e+02 2.650796906592429725e+00
1.750000000000000000e+05 2.916050000000000182e+02 2.749881961103058714e+00
1.760000000000000000e+05 2.900917999999999779e+02 3.483393024049967757e+00
1.770000000000000000e+05 2.909849999999999568e+02 2.652788721327048016e+00
1.780000000000000000e+05 2.908720000000000141e+02 2.662115098939184410e+00
1.790000000000000000e+05 2.901055999999999813e+02 3.045175305298531754e+00
1.800000000000000000e+05 2.908733999999999469e+02 2.660377913004090100e+00
1.810000000000000000e+05 2.909693999999999505e+02 3.676590246410389451e+00
1.820000000000000000e+05 2.892513999999999896e+02 3.687815646151527904e+00
1.830000000000000000e+05 2.902032000000000380e+02 2.939983700635089292e+00
1.840000000000000000e+05 2.903453999999999837e+02 3.177082787715800549e+00
1.850000000000000000e+05 2.906485999999999876e+02 2.836572692528781747e+00
1.860000000000000000e+05 2.901861999999999853e+02 3.791118220261668448e+00
1.870000000000000000e+05 2.905797999999999774e+02 2.912692939532073311e+00
1.880000000000000000e+05 2.908623999999999796e+02 3.567892688969225734e+00
1.890000000000000000e+05 2.909430000000000405e+02 2.655252681007967297e+00
1.900000000000000000e+05 2.915783999999999878e+02 2.701277001716040793e+00
1.910000000000000000e+05 2.914166000000000167e+02 2.625956404817111345e+00
1.920000000000000000e+05 2.899843999999999937e+02 3.614772778474456327e+00
1.930000000000000000e+05 2.909193999999999392e+02 2.784306707243294099e+00
1.940000000000000000e+05 2.912312000000000012e+02 2.814250337123544998e+00
1.950000000000000000e+05 2.915420000000000300e+02 3.280364004192219074e+00
1.960000000000000000e+05 2.913949999999999818e+02 2.973880966010579829e+00
1.970000000000000000e+05 2.931231999999999971e+02 3.698076494611759468e+00
1.980000000000000000e+05 2.909449999999999932e+02 2.645906423137446506e+00
1.990000000000000000e+05 2.910739999999999554e+02 3.357165471048459970e+00
2.000000000000000000e+05 2.910409999999999968e+02 2.704533601196333237e+00
2.010000000000000000e+05 2.907443999999999278e+02 3.143688254264412674e+00
2.020000000000000000e+05 2.911406000000000063e+02 2.640766979496678157e+00
2.030000000000000000e+05 2.916209999999999809e+02 3.299508266393651024e+00
2.040000000000000000e+05 2.910677999999999770e+02 4.018258498404494894e+00
2.050000000000000000e+05 2.912689999999999486e+02 2.864287345920450978e+00
2.060000000000000000e+05 2.922293999999999983e+02 3.305310974779836819e+00
2.070000000000000000e+05 2.934689999999999372e+02 4.321536578579423526e+00
2.080000000000000000e+05 2.904867999999999597e+02 2.807366908688636364e+00
2.090000000000000000e+05 2.922729999999999677e+02 2.868463491139469301e+00
2.100000000000000000e+05 2.907760000000000105e+02 2.779407131026326194e+00
2.110000000000000000e+05 2.926363999999999805e+02 3.144181012600896441e+00
2.120000000000000000e+05 2.918380000000000223e+02 2.848624931436218422e+00
2.130000000000000000e+05 2.913073999999999728e+02 3.421534661522520615e+00
2.140000000000000000e+05 2.920935999999999808e+02 3.303858810542609881e+00
2.150000000000000000e+05 2.908525999999999954e+02 3.385978239741067597e+00
2.160000000000000000e+05 2.921153999999999655e+02 4.101876136598958666e+00
2.170000000000000000e+05 2.912366000000000099e+02 3.964607097809314418e+00
2.180000000000000000e+05 2.917613999999999805e+02 3.266668370067586480e+00
2.190000000000000000e+05 2.909671999999999343e+02 4.048633863416151613e+00
2.200000000000000000e+05 2.924532000000000380e+02 3.713463849292191199e+00
2.210000000000000000e+05 2.910082000000000448e+02 3.930156760232348390e+00
2.220000000000000000e+05 2.912903999999999769e+02 2.892033167168035934e+00
2.230000000000000000e+05 2.909685999999999808e+02 3.083141164461979944e+00
2.240000000000000000e+05 2.918163999999999874e+02 2.990457864608692340e+00
2.250000000000000000e+05 2.901716000000000122e+02 3.127459646422312556e+00
2.260000000000000000e+05 2.904651999999999816e+02 3.778983905760906925e+00
2.270000000000000000e+05 2.898559999999999377e+02 3.152605271834706624e+00
2.280000000000000000e+05 2.901627999999999474e+02 2.983411094703510624e+00
2.290000000000000000e+05 2.904830000000000041e+02 3.040849355032235302e+00
2.300000000000000000e+05 2.896242000000000303e+02 3.570826817419173071e+00
2.310000000000000000e+05 2.908981999999999744e+02 4.291488291956531143e+00
2.320000000000000000e+05 2.901461999999999648e+02 3.238681423048581198e+00
2.330000000000000000e+05 2.907486000000000104e+02 3.711542083824461269e+00
2.340000000000000000e+05 2.923019999999999641e+02 3.781164688293808140e+00
2.350000000000000000e+05 2.903332000000000335e+02 4.719562708556799713e+00
2.360000000000000000e+05 2.909797999999999547e+02 2.784529504243038467e+00
2.370000000000000000e+05 2.913939999999999486e+02 2.612125264990176721e+00
2.380000000000000000e+05 2.906951999999999998e+02 4.101064954374654903e+00
2.390000000000000000e+05 2.908912000000000262e+02 2.705837866539676284e+00
2.400000000000000000e+05 2.908575999999999908e+02 3.385193028469728027e+00
2.410000000000000000e+05 2.894334000000000060e+02 3.898700378331218186e+00
2.420000000000000000e+05 2.896681999999999562e+02 4.128805851575003238e+00
2.430000000000000000e+05 2.906703999999999724e+02 4.605871887058953007e+00
2.440000000000000000e+05 2.899894000000000460e+02 4.746490981767474082e+00
2.450000000000000000e+05 2.911460000000000150e+02 3.256061547329840433e+00
2.460000000000000000e+05 2.908870000000000005e+02 4.701543236002402537e+00
2.470000000000000000e+05 2.911347999999999843e+02 3.112764199228725381e+00
2.480000000000000000e+05 2.901727999999999952e+02 2.968596597720886354e+00
2.490000000000000000e+05 2.910854000000000497e+02 3.685499293175883206e+00
2.500000000000000000e+05 2.917684000000000424e+02 4.262516045717597457e+00
2.510000000000000000e+05 2.909637999999999920e+02 5.877438197037887058e+00
2.520000000000000000e+05 2.920097999999999843e+02 3.988546873235922607e+00
2.530000000000000000e+05 2.933996000000000208e+02 3.793901190068084350e+00
2.540000000000000000e+05 2.918862000000000307e+02 3.790334623750259535e+00
2.550000000000000000e+05 2.915300000000000296e+02 3.430675152211305257e+00
2.560000000000000000e+05 2.918706000000000245e+02 2.704810943485699060e+00
2.570000000000000000e+05 2.900234000000000378e+02 3.213171243491381723e+00
2.580000000000000000e+05 2.912631999999999834e+02 2.733720863585014982e+00
2.590000000000000000e+05 2.918410000000000082e+02 3.107214572571385780e+00
2.600000000000000000e+05 2.919189999999999827e+02 2.739649320624814699e+00
2.610000000000000000e+05 2.917626000000000204e+02 2.698083883054790189e+00
2.620000000000000000e+05 2.914343999999999824e+02 2.685551086834879086e+00
2.630000000000000000e+05 2.900345999999999549e+02 3.519112422188304556e+00
2.640000000000000000e+05 2.911541999999999462e+02 3.620912503775816749e+00
2.650000000000000000e+05 2.916852000000000089e+02 2.654114119626359791e+00
2.660000000000000000e+05 2.918311999999999671e+02 3.773440785278070475e+00
2.670000000000000000e+05 2.916604000000000383e+02 2.993938516402765870e+00
2.680000000000000000e+05 2.915235999999999876e+02 3.201901410099938339e+00
2.690000000000000000e+05 2.920452000000000226e+02 2.992470176960837502e+00
2.700000000000000000e+05 2.923256000000000085e+02 3.038862129152954061e+00
2.710000000000000000e+05 2.899296000000000504e+02 3.129071018689091765e+00
2.720000000000000000e+05 2.925892000000000053e+02 3.849967189470576923e+00
2.730000000000000000e+05 2.910474000000000387e+02 2.659723714974922881e+00
2.740000000000000000e+05 2.910443999999999392e+02 2.791197563770787760e+00
2.750000000000000000e+05 2.920597999999999956e+02 2.783921507514177662e+00
2.760000000000000000e+05 2.909117999999999711e+02 2.662483006518537643e+00
2.770000000000000000e+05 2.903425999999999476e+02 3.952281194449605906e+00
2.780000000000000000e+05 2.924243999999999915e+02 3.156961805280512845e+00
2.790000000000000000e+05 2.913775999999999726e+02 3.212678359251039062e+00
2.800000000000000000e+05 2.930572000000000230e+02 3.437614894079911387e+00
2.810000000000000000e+05 2.915854000000000497e+02 2.634734339549248183e+00
2.820000000000000000e+05 2.931479999999999677e+02 3.788985616230283515e+00
