# x average std
0.000000000000000000e+00 2.916782000000000039e+02 1.359999999999672582e-02
1.000000000000000000e+03 2.917934000000000196e+02 2.186050557512341452e+00
2.000000000000000000e+03 2.924471999999999525e+02 4.258498110836722361e+00
3.000000000000000000e+03 2.919832000000000107e+02 4.595803276903830614e+00
4.000000000000000000e+03 2.897805999999999926e+02 1.689030917419808375e+00
5.000000000000000000e+03 2.877596000000000345e+02 2.656144770150901557e+00
6.000000000000000000e+03 2.885249999999999773e+02 2.211491352006596411e+00
7.000000000000000000e+03 2.864617999999999824e+02 3.218613577303137241e+00
8.000000000000000000e+03 2.883525999999999954e+02 2.482443683147715241e+00
9.000000000000000000e+03 2.865615999999999985e+02 3.014849024412344480e+00
1.000000000000000000e+04 2.882475999999999772e+02 3.610189335755112694e+00
1.100000000000000000e+04 2.865634000000000015e+02 5.798521832329350367e+00
1.200000000000000000e+04 2.850695999999999799e+02 1.991763098362850259e+00
1.300000000000000000e+04 2.861052000000000817e+02 3.196236311664081953e+00
1.400000000000000000e+04 2.867889999999999873e+02 5.534263275269787563e+00
1.500000000000000000e+04 2.871378000000000270e+02 3.992392736192160729e+00
1.600000000000000000e+04 2.854963999999999942e+02 3.588443762970227713e+00
1.700000000000000000e+04 2.856573999999999955e+02 4.289613577002007183e+00
1.800000000000000000e+04 2.841586000000000354e+02 3.270788137437215859e+00
1.900000000000000000e+04 2.859214000000000055e+02 5.384659045844962577e+00
2.000000000000000000e+04 2.886861999999999853e+02 4.922085387312989724e+00
2.100000000000000000e+04 2.861717999999999620e+02 4.584177326413111153e+00
2.200000000000000000e+04 2.871236000000000104e+02 3.543900991844997961e+00
2.300000000000000000e+04 2.868038000000000238e+02 4.881529571763329578e+00
2.400000000000000000e+04 2.870780000000000314e+02 2.010116116049023738e+00
2.500000000000000000e+04 2.861446000000000254e+02 3.663256070765454897e+00
2.600000000000000000e+04 2.876163999999999987e+02 2.867589412729784293e+00
2.700000000000000000e+04 2.854276000000000408e+02 3.772112543389977368e+00
2.800000000000000000e+04 2.879253999999999678e+02 2.975313738078735781e+00
2.900000000000000000e+04 2.896471999999999980e+02 2.967598786898249852e+00
3.000000000000000000e+04 2.891675999999999931e+02 3.238969626285503001e+00
3.100000000000000000e+04 2.902253999999999792e+02 1.881973708636770937e+00
3.200000000000000000e+04 2.874879999999999995e+02 1.237534969202886304e+00
3.300000000000000000e+04 2.904216000000000122e+02 5.487145582176584213e+00
3.400000000000000000e+04 2.884177999999999997e+02 3.422935839305211392e+00
3.500000000000000000e+04 2.894037999999999897e+02 3.453362210947463318e+00
3.600000000000000000e+04 2.862404000000000224e+02 1.507713978180204695e+00
3.700000000000000000e+04 2.860970000000000368e+02 4.281001331464397097e+00
3.800000000000000000e+04 2.859199999999999591e+02 1.930817236301775708e+00
3.900000000000000000e+04 2.885138000000000034e+02 2.015641972176611230e+00
4.000000000000000000e+04 2.876234000000000037e+02 4.030723736501925281e+00
4.100000000000000000e+04 2.879913999999999987e+02 2.535924336410677160e+00
4.200000000000000000e+04 2.896046000000000049e+02 1.791538177098105367e+00
4.300000000000000000e+04 2.868310000000000173e+02 3.114976211787167326e+00
4.400000000000000000e+04 2.873173999999999637e+02 3.364416894500438460e+00
4.500000000000000000e+04 2.866623999999999910e+02 3.218470481455425691e+00
4.600000000000000000e+04 2.862682000000000357e+02 1.724889144264060592e+00
4.700000000000000000e+04 2.874718000000000302e+02 1.940094162663255073e+00
4.800000000000000000e+04 2.861845999999999890e+02 2.811597311138289701e+00
4.900000000000000000e+04 2.892830000000000155e+02 1.987081175996599836e+00
5.000000000000000000e+04 2.869343999999999824e+02 2.236538629221498375e+00
5.100000000000000000e+04 2.876386000000000536e+02 2.308887576301631661e+00
5.200000000000000000e+04 2.881190000000000282e+02 1.686856247580094337e+00
5.300000000000000000e+04 2.876604000000000383e+02 3.987674740998810918e+00
5.400000000000000000e+04 2.885323999999999955e+02 3.564285712453494348e+00
5.500000000000000000e+04 2.864039999999999964e+02 2.307372098297103324e+00
5.600000000000000000e+04 2.875531999999999471e+02 2.669524107401915813e+00
5.700000000000000000e+04 2.872187999999999874e+02 2.469794355811838482e+00
5.800000000000000000e+04 2.878480000000000132e+02 4.194331984953044490e+00
5.900000000000000000e+04 2.870728000000000293e+02 3.558861694418588240e+00
6.000000000000000000e+04 2.870000000000000000e+02 2.391046632753107026e+00
6.100000000000000000e+04 2.882887999999999806e+02 3.542785085211916485e+00
6.200000000000000000e+04 2.896016000000000759e+02 2.599618556634814226e+00
6.300000000000000000e+04 2.907452000000000112e+02 2.869288720223184264e+00
6.400000000000000000e+04 2.889121999999999844e+02 3.783125131422437448e+00
6.500000000000000000e+04 2.922079999999999700e+02 3.859541578996135591e+00
6.600000000000000000e+04 2.918981999999999744e+02 4.083966033159436293e+00
6.700000000000000000e+04 2.890901999999999816e+02 9.820782860851907659e-01
6.800000000000000000e+04 2.901281999999999925e+02 1.126658670583048805e+00
6.900000000000000000e+04 2.889394000000000347e+02 2.209794614890706388e+00
7.000000000000000000e+04 2.866573999999999955e+02 1.925242904155210155e+00
7.100000000000000000e+04 2.882198000000000206e+02 3.558472897184971284e+00
7.200000000000000000e+04 2.871539999999999964e+02 3.226179846195799783e+00
7.300000000000000000e+04 2.882344000000000506e+02 2.563544156046462241e+00
7.400000000000000000e+04 2.887161999999999580e+02 2.798888379339198096e+00
7.500000000000000000e+04 2.874812000000000012e+02 1.522734435152747423e+00
7.600000000000000000e+04 2.884977999999999838e+02 2.397920715953738124e+00
7.700000000000000000e+04 2.872202000000000339e+02 3.446825461203393726e+00
7.800000000000000000e+04 2.878426000000000045e+02 3.044190637920037190e+00
7.900000000000000000e+04 2.860416000000000167e+02 2.716988008806807464e+00
8.000000000000000000e+04 2.882666000000000395e+02 3.532868839909003800e+00
8.100000000000000000e+04 2.895709999999999695e+02 1.755855233212582744e+00
8.200000000000000000e+04 2.862114000000000260e+02 2.003023774197395745e+00
8.300000000000000000e+04 2.914715999999999667e+02 3.642150222052898290e+00
8.400000000000000000e+04 2.893020000000000209e+02 2.029441203878548539e+00
8.500000000000000000e+04 2.892073999999999501e+02 4.691964816577368858e+00
8.600000000000000000e+04 2.861108000000000402e+02 3.384107055044201395e+00
8.700000000000000000e+04 2.875908000000000015e+02 3.958973927673677284e+00
8.800000000000000000e+04 2.885002000000000066e+02 4.025252608222257500e+00
8.900000000000000000e+04 2.863512000000000057e+02 3.396790685338144655e+00
9.000000000000000000e+04 2.869643999999999551e+02 4.448991373333954336e+00
9.100000000000000000e+04 2.856341999999999643e+02 3.146462928432494532e+00
9.200000000000000000e+04 2.872774000000000001e+02 3.762669137726574409e+00
9.300000000000000000e+04 2.888392000000000053e+02 4.033361297974678905e+00
9.400000000000000000e+04 2.880221999999999980e+02 2.600958392593004209e+00
9.500000000000000000e+04 2.895921999999999343e+02 1.673465314848203933e+00
9.600000000000000000e+04 2.863945999999999685e+02 4.564204622932662048e+00
9.700000000000000000e+04 2.861670000000000300e+02 2.700145551632355811e+00
9.800000000000000000e+04 2.887181999999999675e+02 2.580352022496157804e+00
9.900000000000000000e+04 2.877552000000000021e+02 3.455888736634910696e+00
1.000000000000000000e+05 2.860962000000000103e+02 2.764815827500995749e+00
1.010000000000000000e+05 2.843428000000000111e+02 3.159959771895827885e+00
1.020000000000000000e+05 2.858999999999999773e+02 2.549175788367674222e+00
1.030000000000000000e+05 2.888113999999999919e+02 2.186745216068846531e+00
1.040000000000000000e+05 2.857938000000000329e+02 1.525539825766611290e+00
1.050000000000000000e+05 2.842740000000000009e+02 2.251279902633162688e+00
1.060000000000000000e+05 2.865618000000000052e+02 3.573528754606574154e+00
1.070000000000000000e+05 2.873671999999999684e+02 1.693476235439985045e+00
1.080000000000000000e+05 2.880397999999999570e+02 3.856210803366436846e+00
1.090000000000000000e+05 2.852030000000000314e+02 3.255677686749727684e+00
1.100000000000000000e+05 2.858139999999999645e+02 2.658885480798302670e+00
1.110000000000000000e+05 2.869815999999999576e+02 1.565609223273801032e+00
1.120000000000000000e+05 2.876355999999999540e+02 8.899569877246910066e-01
1.130000000000000000e+05 2.854887999999999693e+02 2.328229576309011506e+00
1.140000000000000000e+05 2.869016000000000304e+02 2.838135909360231857e+00
1.150000000000000000e+05 2.876562000000000126e+02 2.215426857289572560e+00
1.160000000000000000e+05 2.879755999999999858e+02 1.590542624389543525e+00
1.170000000000000000e+05 2.884124000000000478e+02 4.401751860339253142e+00
1.180000000000000000e+05 2.868840000000000146e+02 2.198767563886651288e+00
1.190000000000000000e+05 2.844379999999999882e+02 6.408385131996890971e-01
1.200000000000000000e+05 2.851539999999999964e+02 7.541806149722911634e-01
1.210000000000000000e+05 2.870818000000000438e+02 1.241941931009651556e+00
1.220000000000000000e+05 2.886183999999999514e+02 2.562636267596325901e+00
1.230000000000000000e+05 2.881591999999999985e+02 4.107337794727864200e+00
1.240000000000000000e+05 2.907056000000000608e+02 4.341195623327746667e+00
1.250000000000000000e+05 2.887658000000000129e+02 4.294939086878870604e+00
1.260000000000000000e+05 2.890592000000000326e+02 1.648053567090591365e+00
1.270000000000000000e+05 2.890674000000000206e+02 2.763747426954922037e+00
1.280000000000000000e+05 2.882968000000000188e+02 6.046529894079752054e+00
1.290000000000000000e+05 2.894968000000000075e+02 4.294267453245078414e+00
1.300000000000000000e+05 2.891571999999999889e+02 5.843143380065219716e+00
1.310000000000000000e+05 2.878736000000000104e+02 6.102130172325074042e+00
1.320000000000000000e+05 2.853702000000000112e+02 5.891679977731295814e+00
1.330000000000000000e+05 2.852097999999999729e+02 3.514285668524984807e+00
1.340000000000000000e+05 2.866970000000000027e+02 4.149216215142329744e+00
1.350000000000000000e+05 2.882770000000000437e+02 4.696206085767541616e+00
1.360000000000000000e+05 2.881658000000000470e+02 4.086722765248445022e+00
1.370000000000000000e+05 2.884232000000000085e+02 4.015327503454724223e+00
1.380000000000000000e+05 2.904085999999999785e+02 2.719089156316874423e+00
1.390000000000000000e+05 2.877219999999999800e+02 5.488412703141043458e+00
1.400000000000000000e+05 2.865470000000000255e+02 4.593664114843395652e+00
1.410000000000000000e+05 2.844475999999999658e+02 4.990569129868847931e+00
1.420000000000000000e+05 2.881430000000000291e+02 2.173673204508909773e+00
1.430000000000000000e+05 2.877830000000000155e+02 2.582775638726678480e+00
1.440000000000000000e+05 2.904729999999999563e+02 3.668897273023587591e+00
1.450000000000000000e+05 2.890752000000000521e+02 4.565542526359815945e+00
1.460000000000000000e+05 2.873197999999999865e+02 4.905496321474521082e+00
1.470000000000000000e+05 2.872476000000000340e+02 4.639347479980345135e+00
1.480000000000000000e+05 2.871897999999999911e+02 6.704398239961583350e+00
1.490000000000000000e+05 2.861190000000000282e+02 5.004657790498773018e+00
1.500000000000000000e+05 2.873323999999999501e+02 4.539480789693901563e+00
1.510000000000000000e+05 2.886345999999999776e+02 5.405292724728244735e+00
1.520000000000000000e+05 2.869168000000000234e+02 5.225671914691918829e+00
1.530000000000000000e+05 2.872795999999999594e+02 4.585632458014937463e+00
1.540000000000000000e+05 2.876218000000000075e+02 4.505269954175879832e+00
1.550000000000000000e+05 2.879379999999999882e+02 3.170289450507636886e+00
1.560000000000000000e+05 2.872399999999999523e+02 2.567003934550954991e+00
1.570000000000000000e+05 2.869091999999999985e+02 6.608440978021970835e+00
1.580000000000000000e+05 2.887490000000000236e+02 5.831642753118544853e+00
1.590000000000000000e+05 2.872995999999999981e+02 4.344410505465618577e+00
1.600000000000000000e+05 2.896279999999999859e+02 5.308737326332890305e+00
1.610000000000000000e+05 2.899569999999999936e+02 5.873181182289546776e+00
1.620000000000000000e+05 2.891173999999999751e+02 5.812955826427736561e+00
1.630000000000000000e+05 2.879467999999999961e+02 5.938288184317099372e+00
1.640000000000000000e+05 2.912179999999999609e+02 4.520904201595064009e+00
1.650000000000000000e+05 2.897839999999999918e+02 7.714632434536329519e+00
1.660000000000000000e+05 2.883437999999999874e+02 7.340461631259988629e+00
1.670000000000000000e+05 2.893122000000000185e+02 9.117620685244581580e+00
1.680000000000000000e+05 2.904768000000000256e+02 8.031256723576962742e+00
1.690000000000000000e+05 2.895665999999999940e+02 9.899025984408780232e+00
1.700000000000000000e+05 2.903885999999999967e+02 8.230421680570202625e+00
1.710000000000000000e+05 2.902492000000000303e+02 6.548865593368069504e+00
1.720000000000000000e+05 2.886613999999999578e+02 9.189345996315518406e+00
1.730000000000000000e+05 2.894720000000000368e+02 5.711237063894298416e+00
1.740000000000000000e+05 2.939734000000000265e+02 9.100766178734616574e+00
1.750000000000000000e+05 2.905287999999999897e+02 7.081314324332740107e+00
1.760000000000000000e+05 2.915765999999999849e+02 6.202567745700158675e+00
1.770000000000000000e+05 2.883740000000000236e+02 6.110381428356179256e+00
1.780000000000000000e+05 2.898364000000000260e+02 7.321838091626996281e+00
1.790000000000000000e+05 2.900105999999999540e+02 6.956422747360909042e+00
1.800000000000000000e+05 2.875323999999999387e+02 6.834059660260514590e+00
1.810000000000000000e+05 2.889890000000000327e+02 8.455580547780254363e+00
1.820000000000000000e+05 2.894566000000000372e+02 7.308102341921604683e+00
1.830000000000000000e+05 2.921824000000000296e+02 6.706990162509550935e+00
1.840000000000000000e+05 2.909962000000000444e+02 6.767237853068269970e+00
1.850000000000000000e+05 2.913018000000000143e+02 7.554537481540489985e+00
1.860000000000000000e+05 2.913862000000000307e+02 7.150558590767576383e+00
1.870000000000000000e+05 2.890018000000000029e+02 6.544684297962739095e+00
1.880000000000000000e+05 2.922820000000000391e+02 5.545773273403797887e+00
1.890000000000000000e+05 2.908221999999999525e+02 4.397680770588056731e+00
1.900000000000000000e+05 2.904196000000000026e+02 7.398796296695829611e+00
1.910000000000000000e+05 2.900590000000000259e+02 5.566731500620442752e+00
1.920000000000000000e+05 2.893641999999999825e+02 7.064288878577939634e+00
1.930000000000000000e+05 2.887251999999999725e+02 5.073465182693184694e+00
1.940000000000000000e+05 2.885550000000000068e+02 6.519188385067583802e+00
1.950000000000000000e+05 2.893138000000000147e+02 4.178707331220977039e+00
1.960000000000000000e+05 2.879911999999999921e+02 4.663292802301816309e+00
1.970000000000000000e+05 2.879612000000000194e+02 3.869727969767386089e+00
1.980000000000000000e+05 2.878223999999999592e+02 5.513135137106645267e+00
1.990000000000000000e+05 2.886213999999999942e+02 3.597401150830966898e+00
2.000000000000000000e+05 2.881682000000000130e+02 4.821775415757155514e+00
2.010000000000000000e+05 2.894010000000000105e+02 6.809404467352491608e+00
2.020000000000000000e+05 2.905250000000000341e+02 6.979266007253190018e+00
2.030000000000000000e+05 2.890556000000000267e+02 5.640424721596778213e+00
2.040000000000000000e+05 2.874830000000000041e+02 6.336107196062889635e+00
2.050000000000000000e+05 2.871759999999999877e+02 6.223240538497622154e+00
2.060000000000000000e+05 2.882864000000000146e+02 5.743511664478448964e+00
2.070000000000000000e+05 2.903691999999999780e+02 7.012487986442462073e+00
2.080000000000000000e+05 2.899042000000000598e+02 6.523821101164576142e+00
2.090000000000000000e+05 2.879173999999999864e+02 7.210476866338320079e+00
2.100000000000000000e+05 2.892846000000000117e+02 5.959214465011299922e+00
2.110000000000000000e+05 2.910908000000000584e+02 5.527409461945082647e+00
2.120000000000000000e+05 2.889499999999999886e+02 7.178665614165351982e+00
2.130000000000000000e+05 2.906893999999999778e+02 4.273585595258396097e+00
2.140000000000000000e+05 2.864905999999999722e+02 4.298991258423312978e+00
2.150000000000000000e+05 2.873618000000000166e+02 5.744741922836907655e+00
2.160000000000000000e+05 2.893365999999999758e+02 4.724000448772219585e+00
2.170000000000000000e+05 2.887857999999999947e+02 5.348341178346800007e+00
2.180000000000000000e+05 2.894357999999999720e+02 6.000698939290312950e+00
2.190000000000000000e+05 2.894155999999999835e+02 6.460102246868870246e+00
2.200000000000000000e+05 2.890692000000000235e+02 5.902542414925965097e+00
2.210000000000000000e+05 2.898423999999999978e+02 6.121511042218257259e+00
2.220000000000000000e+05 2.884245999999999981e+02 6.099347427389258947e+00
2.230000000000000000e+05 2.872004000000000019e+02 5.999908552636449066e+00
2.240000000000000000e+05 2.874265999999999508e+02 6.403461645079171483e+00
2.250000000000000000e+05 2.900814000000000306e+02 4.038748152583899298e+00
2.260000000000000000e+05 2.882406000000000290e+02 6.703121350535129253e+00
2.270000000000000000e+05 2.917782000000000266e+02 5.290241257258493590e+00
2.280000000000000000e+05 2.916273999999999660e+02 5.702820831834023885e+00
2.290000000000000000e+05 2.900587999999999624e+02 7.812243247620997977e+00
2.300000000000000000e+05 2.881065999999999576e+02 5.337365589876714722e+00
2.310000000000000000e+05 2.905577999999999861e+02 6.563172903405803282e+00
2.320000000000000000e+05 2.902941999999999894e+02 4.484532234246962901e+00
2.330000000000000000e+05 2.872422000000000253e+02 3.633494373189526172e+00
2.340000000000000000e+05 2.877381999999999493e+02 5.509876165577579421e+00
2.350000000000000000e+05 2.905387999999999806e+02 5.448714174922369757e+00
2.360000000000000000e+05 2.854919999999999618e+02 5.104376161687153690e+00
2.370000000000000000e+05 2.867327999999999975e+02 5.150129916807936858e+00
2.380000000000000000e+05 2.882072000000000003e+02 5.535581393132985362e+00
2.390000000000000000e+05 2.891435999999999922e+02 6.745670896211890977e+00
2.400000000000000000e+05 2.879859999999999900e+02 5.646510037182259190e+00
2.410000000000000000e+05 2.876329999999999814e+02 6.167295485056643045e+00
2.420000000000000000e+05 2.890164000000000328e+02 7.563447986203118312e+00
2.430000000000000000e+05 2.879112000000000080e+02 5.230906093594113848e+00
2.440000000000000000e+05 2.906847999999999956e+02 5.901122449161666061e+00
2.450000000000000000e+05 2.893127999999999815e+02 6.686051312994848672e+00
2.460000000000000000e+05 2.897492000000000303e+02 4.287807943460165916e+00
2.470000000000000000e+05 2.909299999999999500e+02 6.891577671331859278e+00
2.480000000000000000e+05 2.896635999999999740e+02 5.860056812011291250e+00
2.490000000000000000e+05 2.901245999999999867e+02 5.976794478648223219e+00
2.500000000000000000e+05 2.893779999999999859e+02 7.866683799416371414e+00
2.510000000000000000e+05 2.890860000000000127e+02 9.072070656691332502e+00
2.520000000000000000e+05 2.879658000000000584e+02 6.632400000000007623e+00
2.530000000000000000e+05 2.884422000000000139e+02 6.779204655414958758e+00
2.540000000000000000e+05 2.887217999999999734e+02 6.018945402643215203e+00
2.550000000000000000e+05 2.907800000000000296e+02 5.653094338501705174e+00
2.560000000000000000e+05 2.891150000000000091e+02 5.926640194916503290e+00
2.570000000000000000e+05 2.893365999999999758e+02 5.091700368246351083e+00
2.580000000000000000e+05 2.879771999999999821e+02 5.478887237386793174e+00
2.590000000000000000e+05 2.873940000000000055e+02 6.845313345640199998e+00
2.600000000000000000e+05 2.876743999999999915e+02 6.390562497933954589e+00
2.610000000000000000e+05 2.856727999999999952e+02 6.389295372730873446e+00
2.620000000000000000e+05 2.879507999999999583e+02 6.126294455868080746e+00
2.630000000000000000e+05 2.894763999999999555e+02 5.564480805969227895e+00
2.640000000000000000e+05 2.912019999999999413e+02 4.448195274490538864e+00
2.650000000000000000e+05 2.895595999999999890e+02 5.769282125186802723e+00
2.660000000000000000e+05 2.873703999999999610e+02 4.955853411875700942e+00
