# x average std
0.000000000000000000e+00 2.916510000000000105e+02 0.000000000000000000e+00
1.000000000000000000e+03 2.917030000000000314e+02 1.141092809547072040e+00
2.000000000000000000e+03 2.909218000000000188e+02 2.550421173061425240e+00
3.000000000000000000e+03 2.920680000000000405e+02 2.166522928565491224e+00
4.000000000000000000e+03 2.922459999999999809e+02 3.976075854407204346e+00
5.000000000000000000e+03 2.932053999999999405e+02 4.160238771993747697e+00
6.000000000000000000e+03 2.945876000000000090e+02 5.211709262804299136e+00
7.000000000000000000e+03 2.942985999999999649e+02 7.071715084758432468e+00
8.000000000000000000e+03 2.934782000000000153e+02 5.604316564934586076e+00
9.000000000000000000e+03 2.938589999999999804e+02 6.490684648016713965e+00
1.000000000000000000e+04 2.934183999999999628e+02 5.473981205667406869e+00
1.100000000000000000e+04 2.916535999999999831e+02 3.892264770027850318e+00
1.200000000000000000e+04 2.898962000000000216e+02 2.283081987139310876e+00
1.300000000000000000e+04 2.914306000000000267e+02 2.745296093320367170e+00
1.400000000000000000e+04 2.903499999999999659e+02 1.312027133865764084e+00
1.500000000000000000e+04 2.897529999999999859e+02 4.194996495826892158e+00
1.600000000000000000e+04 2.889541999999999575e+02 4.942484816365131373e+00
1.700000000000000000e+04 2.895448000000000093e+02 4.068166092971134518e+00
1.800000000000000000e+04 2.895058000000000220e+02 2.689200728841186994e+00
1.900000000000000000e+04 2.884953999999999610e+02 5.164534968416803373e+00
2.000000000000000000e+04 2.891059999999999945e+02 3.750004159997704090e+00
2.100000000000000000e+04 2.910916000000000281e+02 3.383214897105996766e+00
2.200000000000000000e+04 2.899899999999999523e+02 3.211736788717276525e+00
2.300000000000000000e+04 2.890826000000000136e+02 1.945562808032678115e+00
2.400000000000000000e+04 2.899851999999999634e+02 4.292514340104181869e+00
2.500000000000000000e+04 2.903408000000000015e+02 2.311825720074939472e+00
2.600000000000000000e+04 2.927398000000000025e+02 1.478572067908759058e+00
2.700000000000000000e+04 2.906218000000000075e+02 2.286141150497930319e+00
2.800000000000000000e+04 2.895044000000000324e+02 2.443908067010707619e+00
2.900000000000000000e+04 2.877078000000000202e+02 1.712392758685933991e+00
3.000000000000000000e+04 2.884056000000000495e+02 2.589220933022133408e+00
3.100000000000000000e+04 2.891757999999999811e+02 4.952094845618362662e+00
3.200000000000000000e+04 2.906108000000000402e+02 2.942785238511304247e+00
3.300000000000000000e+04 2.902194000000000074e+02 2.263871427444580142e+00
3.400000000000000000e+04 2.888429999999999609e+02 3.488957322754186574e+00
3.500000000000000000e+04 2.899762000000000057e+02 3.458732334251958918e+00
3.600000000000000000e+04 2.907635999999999967e+02 1.708916217958037498e+00
3.700000000000000000e+04 2.885526000000000408e+02 2.491779572915704399e+00
3.800000000000000000e+04 2.886470000000000482e+02 2.996021695515562744e+00
3.900000000000000000e+04 2.904170000000000300e+02 4.199883665055502924e+00
4.000000000000000000e+04 2.900224000000000046e+02 2.575208931329658668e+00
4.100000000000000000e+04 2.892959999999999923e+02 2.215678947862266934e+00
4.200000000000000000e+04 2.883405999999999949e+02 1.106400216919723567e+00
4.300000000000000000e+04 2.905452000000000226e+02 2.551892819065860518e+00
4.400000000000000000e+04 2.927477999999999838e+02 2.113312887387952532e+00
4.500000000000000000e+04 2.897933999999999628e+02 1.270751053511274264e+00
4.600000000000000000e+04 2.910962000000000103e+02 1.839632071910037636e+00
4.700000000000000000e+04 2.908682000000000016e+02 3.845582993513473546e+00
4.800000000000000000e+04 2.906101999999999634e+02 2.999588065051605135e+00
4.900000000000000000e+04 2.910135999999999399e+02 3.734568387377593446e+00
5.000000000000000000e+04 2.910617999999999483e+02 1.513340067532736866e+00
5.100000000000000000e+04 2.905668000000000006e+02 1.461513653716581373e+00
5.200000000000000000e+04 2.887730000000000246e+02 2.164491349024052269e+00
5.300000000000000000e+04 2.900525999999999840e+02 3.846045740757645603e+00
5.400000000000000000e+04 2.926195999999999913e+02 2.699764774938716805e+00
5.500000000000000000e+04 2.927767999999999802e+02 3.388414520096389992e+00
5.600000000000000000e+04 2.940911999999999580e+02 3.292614851451647340e+00
5.700000000000000000e+04 2.934112000000000080e+02 5.403542741572411323e+00
5.800000000000000000e+04 2.911850000000000023e+02 3.973628316790585036e+00
5.900000000000000000e+04 2.922104000000000497e+02 4.442941215006111833e+00
6.000000000000000000e+04 2.945549999999999500e+02 3.587527616618458648e+00
6.100000000000000000e+04 2.919608000000000061e+02 9.739735930711929113e-01
6.200000000000000000e+04 2.928172000000000708e+02 4.676374638542121431e+00
6.300000000000000000e+04 2.929489999999999554e+02 4.667031990462457536e+00
6.400000000000000000e+04 2.952291999999999916e+02 4.137689277845773006e+00
6.500000000000000000e+04 2.947658000000000129e+02 6.154254931346281765e+00
6.600000000000000000e+04 2.938596000000000004e+02 3.751992196153928649e+00
6.700000000000000000e+04 2.919381999999999948e+02 3.868687084787291397e+00
6.800000000000000000e+04 2.922761999999999603e+02 3.929929129131987775e+00
6.900000000000000000e+04 2.923448000000000206e+02 4.011450730097521955e+00
7.000000000000000000e+04 2.922010000000000218e+02 5.572811211587916702e+00
7.100000000000000000e+04 2.915803999999999405e+02 6.044529116482111775e+00
7.200000000000000000e+04 2.905004000000000133e+02 6.185733411649741775e+00
7.300000000000000000e+04 2.916145999999999958e+02 6.148772937749447109e+00
7.400000000000000000e+04 2.916286000000000058e+02 5.430726566491816065e+00
7.500000000000000000e+04 2.909032000000000266e+02 4.625547941595685941e+00
7.600000000000000000e+04 2.905140000000000100e+02 6.109628532079507401e+00
7.700000000000000000e+04 2.913170000000000073e+02 5.517815727260193093e+00
7.800000000000000000e+04 2.934912000000000489e+02 5.378319789674090856e+00
7.900000000000000000e+04 2.943808000000000220e+02 7.045608771426361550e+00
8.000000000000000000e+04 2.911625999999999976e+02 4.934264873311934529e+00
8.100000000000000000e+04 2.892272000000000389e+02 5.609388287505157500e+00
8.200000000000000000e+04 2.907926000000000499e+02 3.827636064204652300e+00
8.300000000000000000e+04 2.929248000000000616e+02 4.955853323091809592e+00
8.400000000000000000e+04 2.931927999999999770e+02 5.673788237148092328e+00
8.500000000000000000e+04 2.927371999999999730e+02 3.542973293718149286e+00
8.600000000000000000e+04 2.902712000000000216e+02 2.719547712396308103e+00
8.700000000000000000e+04 2.907507999999999697e+02 3.951858570343844690e+00
8.800000000000000000e+04 2.932753999999999905e+02 5.205270390671375758e+00
8.900000000000000000e+04 2.929660000000000082e+02 5.668273776027418442e+00
9.000000000000000000e+04 2.916687999999999761e+02 6.800320092466224153e+00
9.100000000000000000e+04 2.915277999999999565e+02 6.744156178500015031e+00
9.200000000000000000e+04 2.914679999999999609e+02 4.360782590315629648e+00
9.300000000000000000e+04 2.922440000000000282e+02 5.651228999076214343e+00
9.400000000000000000e+04 2.916286000000000058e+02 5.501267257641642594e+00
9.500000000000000000e+04 2.907563999999999851e+02 6.944764865709990964e+00
9.600000000000000000e+04 2.903301999999999907e+02 4.422717372837656313e+00
9.700000000000000000e+04 2.910796000000000276e+02 4.874536515403280923e+00
9.800000000000000000e+04 2.894141999999999939e+02 5.652233130365383218e+00
9.900000000000000000e+04 2.925893999999999551e+02 4.260232885653072898e+00
1.000000000000000000e+05 2.923808000000000220e+02 3.951766359490398006e+00
1.010000000000000000e+05 2.920237999999999943e+02 4.184407551852459939e+00
1.020000000000000000e+05 2.915556000000000267e+02 4.809600839986631016e+00
1.030000000000000000e+05 2.904806000000000381e+02 3.327614617109373896e+00
1.040000000000000000e+05 2.913826000000000249e+02 4.849982251513911713e+00
1.050000000000000000e+05 2.903706000000000245e+02 4.047940444225925916e+00
1.060000000000000000e+05 2.918172000000000139e+02 4.457327333728143159e+00
1.070000000000000000e+05 2.910559999999999832e+02 3.902106097993743195e+00
1.080000000000000000e+05 2.887702000000000453e+02 1.544979016038719566e+00
1.090000000000000000e+05 2.875850000000000364e+02 3.782399820219964681e+00
1.100000000000000000e+05 2.893598000000000070e+02 3.452548647014274774e+00
1.110000000000000000e+05 2.897964000000000055e+02 5.375695847050875997e+00
1.120000000000000000e+05 2.897916000000000167e+02 3.228092291121795299e+00
1.130000000000000000e+05 2.927512000000000398e+02 3.328240460062952266e+00
1.140000000000000000e+05 2.913034000000000106e+02 4.250859188446488801e+00
1.150000000000000000e+05 2.905064000000000419e+02 4.957463448175886356e+00
1.160000000000000000e+05 2.912941999999999894e+02 4.003779334578764448e+00
1.170000000000000000e+05 2.897715999999999781e+02 4.156847969315211166e+00
1.180000000000000000e+05 2.919323999999999728e+02 2.246033178739801794e+00
1.190000000000000000e+05 2.886576000000000022e+02 3.864597448635500587e+00
1.200000000000000000e+05 2.898329999999999700e+02 3.815882545362220490e+00
1.210000000000000000e+05 2.912531999999999925e+02 3.561296190995625999e+00
1.220000000000000000e+05 2.897694000000000187e+02 3.118411941998675996e+00
1.230000000000000000e+05 2.904445999999999799e+02 3.793222988436089960e+00
1.240000000000000000e+05 2.907677999999999656e+02 3.855663284053724826e+00
1.250000000000000000e+05 2.899417999999999438e+02 4.505154887459476676e+00
1.260000000000000000e+05 2.907831999999999653e+02 3.887468194082099870e+00
1.270000000000000000e+05 2.916242000000000303e+02 5.185994577706385833e+00
1.280000000000000000e+05 2.917064000000000306e+02 3.641203350542230766e+00
1.290000000000000000e+05 2.903739999999999668e+02 3.809923568787187520e+00
1.300000000000000000e+05 2.910532000000000039e+02 6.395976247610677845e+00
1.310000000000000000e+05 2.912194000000000074e+02 2.887559564753598984e+00
1.320000000000000000e+05 2.895502000000000180e+02 4.998508073415508512e+00
1.330000000000000000e+05 2.900874000000000024e+02 3.678186216058126234e+00
1.340000000000000000e+05 2.883768000000000029e+02 4.443061034917262120e+00
1.350000000000000000e+05 2.888449999999999704e+02 3.163607940311186084e+00
1.360000000000000000e+05 2.895757999999999583e+02 3.279122833929819070e+00
1.370000000000000000e+05 2.906313999999999851e+02 5.362868098322019605e+00
1.380000000000000000e+05 2.905456000000000358e+02 4.134066308128108602e+00
1.390000000000000000e+05 2.884388000000000147e+02 2.790420857146822087e+00
1.400000000000000000e+05 2.881881999999999948e+02 2.444579423950056452e+00
1.410000000000000000e+05 2.870674000000000206e+02 2.222752671801344615e+00
1.420000000000000000e+05 2.891311999999999784e+02 4.472859371811282791e+00
1.430000000000000000e+05 2.901125999999999863e+02 4.628278842075093102e+00
1.440000000000000000e+05 2.873000000000000114e+02 2.857166918470121164e+00
1.450000000000000000e+05 2.885144000000000233e+02 4.048670280474803818e+00
1.460000000000000000e+05 2.874035999999999831e+02 3.106718950919120203e+00
1.470000000000000000e+05 2.887286000000000286e+02 3.555583642666840127e+00
1.480000000000000000e+05 2.866473999999999478e+02 3.315214478732864123e+00
1.490000000000000000e+05 2.878963999999999714e+02 3.265554078560036544e+00
1.500000000000000000e+05 2.900998000000000729e+02 4.708996215755539616e+00
1.510000000000000000e+05 2.909261999999999944e+02 4.871537597104215855e+00
1.520000000000000000e+05 2.892783999999999764e+02 3.951625366858562138e+00
1.530000000000000000e+05 2.883631999999999493e+02 3.204188596197167005e+00
1.540000000000000000e+05 2.894578000000000202e+02 4.740610779213992210e+00
1.550000000000000000e+05 2.892894000000000005e+02 4.040026960306079218e+00
1.560000000000000000e+05 2.896015999999999622e+02 2.315047783524134761e+00
1.570000000000000000e+05 2.874841999999999871e+02 3.920191648376399662e+00
