# x average std
0.000000000000000000e+00 2.954010000000000105e+02 0.000000000000000000e+00
1.000000000000000000e+03 2.931935999999999467e+02 1.529478943954440506e+00
2.000000000000000000e+03 2.931902000000000044e+02 3.882336636614607261e+00
3.000000000000000000e+03 2.939538000000000011e+02 8.844567598249107876e-01
4.000000000000000000e+03 2.918154000000000110e+02 3.251741970083119160e+00
5.000000000000000000e+03 2.914096000000000686e+02 4.795409371471850868e+00
6.000000000000000000e+03 2.916539999999999964e+02 2.424908410641512635e+00
7.000000000000000000e+03 2.903635999999999626e+02 2.926147132322623801e+00
8.000000000000000000e+03 2.909814000000000078e+02 1.567509948931740116e+00
9.000000000000000000e+03 2.917914000000000101e+02 2.332011800999295392e+00
1.000000000000000000e+04 2.907749999999999773e+02 2.660035262924159483e+00
1.100000000000000000e+04 2.900710000000000264e+02 1.231873857178576337e+00
1.200000000000000000e+04 2.916052000000000248e+02 3.343758448213616674e+00
1.300000000000000000e+04 2.890190000000000055e+02 1.883347763956514154e+00
1.400000000000000000e+04 2.900305999999999926e+02 3.344146025519820764e+00
1.500000000000000000e+04 2.882504000000000133e+02 4.059515862759986327e+00
1.600000000000000000e+04 2.916225999999999772e+02 3.607035602818474018e+00
1.700000000000000000e+04 2.907434000000000083e+02 2.408985894520777382e+00
1.800000000000000000e+04 2.910646000000000413e+02 2.173193833968800615e+00
1.900000000000000000e+04 2.898145999999999844e+02 3.438681991693918416e+00
2.000000000000000000e+04 2.923216000000000463e+02 2.415318827815497116e+00
2.100000000000000000e+04 2.909292000000000371e+02 2.744286384472296891e+00
2.200000000000000000e+04 2.919026000000000067e+02 3.890142907400695460e+00
2.300000000000000000e+04 2.912993999999999915e+02 4.221769278395006708e+00
2.400000000000000000e+04 2.897776000000000067e+02 3.661347708153382730e+00
2.500000000000000000e+04 2.919245999999999981e+02 4.617466647416082814e+00
2.600000000000000000e+04 2.926992000000000189e+02 3.690222183012839441e+00
2.700000000000000000e+04 2.919889999999999759e+02 5.733128221137211433e+00
2.800000000000000000e+04 2.911750000000000114e+02 2.077709508088178669e+00
2.900000000000000000e+04 2.914597999999999729e+02 4.054908945956737121e+00
3.000000000000000000e+04 2.912145999999999617e+02 2.343292009118811858e+00
3.100000000000000000e+04 2.929470000000000027e+02 2.386433657154544807e+00
3.200000000000000000e+04 2.929298000000000002e+02 2.251746380034853612e+00
3.300000000000000000e+04 2.910269999999999868e+02 2.788868659510523429e+00
3.400000000000000000e+04 2.921281999999999925e+02 1.959207023262231617e+00
3.500000000000000000e+04 2.911444000000000187e+02 2.504002763576741675e+00
3.600000000000000000e+04 2.897222000000000435e+02 1.932341108603744972e+00
3.700000000000000000e+04 2.925657999999999674e+02 2.092826547996760933e+00
3.800000000000000000e+04 2.916317999999999984e+02 2.376669215519908729e+00
3.900000000000000000e+04 2.926545999999999594e+02 3.308674332719970579e+00
4.000000000000000000e+04 2.921612000000000080e+02 2.609220144027720067e+00
4.100000000000000000e+04 2.922818000000000325e+02 1.644769211774103734e+00
4.200000000000000000e+04 2.938645999999999958e+02 3.514606697768608790e+00
4.300000000000000000e+04 2.924858000000000402e+02 2.438819419309267378e+00
4.400000000000000000e+04 2.932007999999999583e+02 1.933817199220225325e+00
4.500000000000000000e+04 2.931050000000000182e+02 3.375229355169812262e+00
4.600000000000000000e+04 2.915536000000000172e+02 1.404209898839912096e+00
4.700000000000000000e+04 2.941647999999999570e+02 1.561356128498558204e+00
4.800000000000000000e+04 2.935237999999999943e+02 1.678095158207653981e+00
4.900000000000000000e+04 2.937429999999999950e+02 1.405690293058889040e+00
5.000000000000000000e+04 2.930355999999999881e+02 3.096847855481442036e+00
5.100000000000000000e+04 2.920446000000000026e+02 3.888383859651719732e+00
5.200000000000000000e+04 2.927366000000000099e+02 3.717111276246642948e+00
5.300000000000000000e+04 2.915717999999999961e+02 3.154993717901831474e+00
5.400000000000000000e+04 2.900384000000000242e+02 2.566256464190584730e+00
5.500000000000000000e+04 2.931993999999999687e+02 4.896100023488085817e+00
5.600000000000000000e+04 2.924926000000000386e+02 9.096930471318442901e-01
5.700000000000000000e+04 2.926078000000000543e+02 2.562214307976596661e+00
5.800000000000000000e+04 2.934466000000000463e+02 2.166727818624194501e+00
5.900000000000000000e+04 2.911798000000000002e+02 1.718831044634690164e+00
6.000000000000000000e+04 2.926978000000000293e+02 2.886767770361872376e+00
6.100000000000000000e+04 2.925046000000000390e+02 1.771997020313526905e+00
6.200000000000000000e+04 2.916327999999999747e+02 2.741076678971241520e+00
6.300000000000000000e+04 2.900643999999999778e+02 2.073492859886438833e+00
6.400000000000000000e+04 2.912651999999999930e+02 3.129540822548887657e+00
6.500000000000000000e+04 2.920120000000000005e+02 1.273198649072490474e+00
6.600000000000000000e+04 2.926796000000000504e+02 1.197421663408515302e+00
6.700000000000000000e+04 2.917531999999999925e+02 2.362489737543849166e+00
6.800000000000000000e+04 2.928516000000000190e+02 1.682311933025501194e+00
6.900000000000000000e+04 2.900743999999999687e+02 1.190072031433399236e+00
7.000000000000000000e+04 2.930523999999999774e+02 2.657681214893926391e+00
7.100000000000000000e+04 2.915693999999999733e+02 2.252631847417601030e+00
7.200000000000000000e+04 2.924082000000000221e+02 1.867868346538387181e+00
7.300000000000000000e+04 2.910235999999999876e+02 1.891259537979909089e+00
7.400000000000000000e+04 2.919381999999999380e+02 3.750762663779194206e+00
7.500000000000000000e+04 2.924266000000000076e+02 1.039491914350468837e+00
7.600000000000000000e+04 2.915900000000000318e+02 1.542523127865512267e+00
7.700000000000000000e+04 2.926743999999999915e+02 2.781444200410994050e+00
7.800000000000000000e+04 2.928152000000000044e+02 2.630361830623314301e+00
7.900000000000000000e+04 2.938465999999999667e+02 2.628051491124179240e+00
8.000000000000000000e+04 2.915808000000000675e+02 1.722587170508370624e+00
8.100000000000000000e+04 2.932866000000000213e+02 1.694899595846312890e+00
8.200000000000000000e+04 2.921190000000000282e+02 3.430049095858532127e+00
8.300000000000000000e+04 2.938809999999999718e+02 2.975221000194765875e+00
8.400000000000000000e+04 2.916206000000000245e+02 2.227364415626681637e+00
8.500000000000000000e+04 2.921673999999999864e+02 1.636345758084141622e+00
8.600000000000000000e+04 2.935453999999999724e+02 1.403110487452793320e+00
8.700000000000000000e+04 2.931161999999999921e+02 2.820626767227446763e+00
8.800000000000000000e+04 2.936028000000000020e+02 3.393880457529412364e+00
8.900000000000000000e+04 2.913780000000000427e+02 2.950418411005468755e+00
9.000000000000000000e+04 2.920054000000000087e+02 5.175081742349572522e+00
9.100000000000000000e+04 2.926427999999999656e+02 2.584094379081389281e+00
9.200000000000000000e+04 2.919617999999999824e+02 2.605193996615223995e+00
9.300000000000000000e+04 2.929117999999999711e+02 3.934338338272395763e+00
9.400000000000000000e+04 2.928154000000000110e+02 4.679470935907178664e+00
9.500000000000000000e+04 2.917257999999999925e+02 2.628187847167692048e+00
9.600000000000000000e+04 2.925219999999999914e+02 2.878789398340905414e+00
9.700000000000000000e+04 2.919286000000000172e+02 1.811345091361656445e+00
9.800000000000000000e+04 2.924725999999999999e+02 3.477412865910515016e+00
9.900000000000000000e+04 2.932623999999999569e+02 4.297934043235194679e+00
1.000000000000000000e+05 2.935112000000000307e+02 2.797915895805299424e+00
1.010000000000000000e+05 2.935305999999999926e+02 3.502509648808974863e+00
1.020000000000000000e+05 2.929714000000000169e+02 4.315099563161903795e+00
1.030000000000000000e+05 2.950788000000000011e+02 4.014461029827039340e+00
1.040000000000000000e+05 2.936382000000000403e+02 4.356746648589969517e+00
1.050000000000000000e+05 2.921182000000000016e+02 3.174722879244731288e+00
1.060000000000000000e+05 2.929836000000000240e+02 5.365917464888924293e+00
1.070000000000000000e+05 2.910792000000000144e+02 1.483168149604090491e+00
1.080000000000000000e+05 2.909055999999999926e+02 1.216892205579440001e+00
1.090000000000000000e+05 2.927734000000000378e+02 2.837172085017042544e+00
1.100000000000000000e+05 2.945754000000000019e+02 3.854213413914701292e+00
1.110000000000000000e+05 2.924866000000000099e+02 4.008952162348657922e+00
1.120000000000000000e+05 2.918554000000000315e+02 3.498497140201784816e+00
1.130000000000000000e+05 2.934819999999999709e+02 2.667056204882083392e+00
1.140000000000000000e+05 2.924587999999999965e+02 1.138658754851517907e+00
1.150000000000000000e+05 2.933355999999999995e+02 1.712774894724923502e+00
1.160000000000000000e+05 2.937386000000000195e+02 1.678114608720155498e+00
1.170000000000000000e+05 2.923663999999999987e+02 2.655464599651062407e+00
1.180000000000000000e+05 2.924037999999999329e+02 2.776212628744420208e+00
1.190000000000000000e+05 2.961346000000000345e+02 1.560830496882989138e+00
1.200000000000000000e+05 2.950611999999999853e+02 2.477764024276730925e+00
1.210000000000000000e+05 2.947493999999999801e+02 3.711122288472853192e+00
1.220000000000000000e+05 2.926162000000000489e+02 2.316303209858328049e+00
1.230000000000000000e+05 2.931565999999999690e+02 3.826152668151121539e+00
1.240000000000000000e+05 2.914540000000000077e+02 2.704737547341711235e+00
1.250000000000000000e+05 2.933526000000000522e+02 2.164842774891517330e+00
1.260000000000000000e+05 2.918673999999999751e+02 2.628375361321140691e+00
1.270000000000000000e+05 2.915380000000000109e+02 1.308837499462792708e+00
1.280000000000000000e+05 2.892594000000000278e+02 2.069410795371465106e+00
1.290000000000000000e+05 2.923394000000000119e+02 3.484371025020146728e+00
1.300000000000000000e+05 2.921036000000000286e+02 3.305593175210759682e+00
1.310000000000000000e+05 2.933636000000000195e+02 2.475639279054998809e+00
1.320000000000000000e+05 2.914331999999999994e+02 2.816031562323116244e+00
1.330000000000000000e+05 2.903970000000000482e+02 2.693943429250140742e+00
1.340000000000000000e+05 2.906863999999999351e+02 3.178623890931419727e+00
1.350000000000000000e+05 2.918367999999999824e+02 3.282847142344571090e+00
1.360000000000000000e+05 2.902546000000000390e+02 3.071122049023772949e+00
1.370000000000000000e+05 2.916775999999999840e+02 1.216223268976540650e+00
1.380000000000000000e+05 2.917989999999999782e+02 2.266015092624058092e+00
1.390000000000000000e+05 2.929762000000000057e+02 1.883785380556928235e+00
1.400000000000000000e+05 2.930122000000000071e+02 2.755910550072332654e+00
1.410000000000000000e+05 2.938171999999999571e+02 3.150613045107252042e+00
1.420000000000000000e+05 2.918478000000000065e+02 3.152328815336367107e+00
1.430000000000000000e+05 2.938080000000000496e+02 3.731805568354272129e+00
1.440000000000000000e+05 2.949699999999999704e+02 1.798933795335436070e+00
1.450000000000000000e+05 2.939148000000000138e+02 3.192280777124714586e+00
1.460000000000000000e+05 2.927715999999999212e+02 2.673394890396854517e+00
1.470000000000000000e+05 2.923589999999999804e+02 2.859714111585291096e+00
1.480000000000000000e+05 2.950536000000000172e+02 3.646294590402700653e+00
1.490000000000000000e+05 2.911356000000000108e+02 3.953557567558624530e+00
1.500000000000000000e+05 2.930996000000000095e+02 1.794315646702109079e+00
1.510000000000000000e+05 2.931380000000000337e+02 2.937679832793208767e+00
1.520000000000000000e+05 2.905028000000000361e+02 3.746444042021702892e+00
1.530000000000000000e+05 2.929924000000000319e+02 3.559630014481852012e+00
1.540000000000000000e+05 2.913738000000000170e+02 4.533013673043577718e+00
1.550000000000000000e+05 2.928084000000000060e+02 2.652051477630093856e+00
1.560000000000000000e+05 2.934947999999999979e+02 1.741040998942875451e+00
1.570000000000000000e+05 2.936403999999999996e+02 3.167222354050940769e+00
1.580000000000000000e+05 2.929595999999999663e+02 2.312282387598879385e+00
1.590000000000000000e+05 2.942479999999999336e+02 2.145697275945521287e+00
1.600000000000000000e+05 2.931756000000000313e+02 3.119279698904870557e+00
1.610000000000000000e+05 2.932216000000000236e+02 3.074645059189767160e+00
1.620000000000000000e+05 2.925511999999999944e+02 4.349213142627071704e+00
1.630000000000000000e+05 2.918750000000000000e+02 3.008517442196410041e+00
1.640000000000000000e+05 2.933666000000000054e+02 2.605884924550594839e+00
1.650000000000000000e+05 2.943780000000000427e+02 3.637367289675321747e+00
1.660000000000000000e+05 2.941313999999999851e+02 4.568363383094747876e-01
1.670000000000000000e+05 2.953216000000000463e+02 2.253890556349178009e+00
1.680000000000000000e+05 2.936362000000000307e+02 2.341482470572867403e+00
1.690000000000000000e+05 2.940369999999999777e+02 1.309224961570771395e+00
1.700000000000000000e+05 2.953720000000000141e+02 3.474491444801670603e+00
1.710000000000000000e+05 2.946709999999999354e+02 2.351247243485889982e+00
1.720000000000000000e+05 2.927046000000000276e+02 3.422656079713529476e+00
1.730000000000000000e+05 2.922717999999999847e+02 2.565036873029323150e+00
1.740000000000000000e+05 2.927343999999999937e+02 2.002285254403080916e+00
1.750000000000000000e+05 2.932007999999999583e+02 3.184764883001564240e+00
1.760000000000000000e+05 2.938028000000000475e+02 3.015634487135338659e+00
1.770000000000000000e+05 2.931634000000000242e+02 4.297648826975041025e+00
1.780000000000000000e+05 2.938020000000000209e+02 2.888319719144675890e+00
1.790000000000000000e+05 2.951433999999999855e+02 8.969409345101820863e-01
1.800000000000000000e+05 2.947974000000000387e+02 2.649388729499684736e+00
1.810000000000000000e+05 2.924590000000000032e+02 3.223168999602717300e+00
1.820000000000000000e+05 2.942429999999999950e+02 4.092029081030593929e+00
1.830000000000000000e+05 2.938243999999999687e+02 1.731533493756337361e+00
1.840000000000000000e+05 2.951403999999999996e+02 4.270812690811907508e+00
1.850000000000000000e+05 2.937359999999999900e+02 2.233226902936645608e+00
1.860000000000000000e+05 2.946903999999999542e+02 6.015112587474996886e+00
1.870000000000000000e+05 2.949622000000000526e+02 3.912816346316300820e+00
1.880000000000000000e+05 2.946888000000000147e+02 3.403392918838498815e+00
1.890000000000000000e+05 2.923810000000000286e+02 4.547089046851845673e+00
1.900000000000000000e+05 2.948411999999999580e+02 3.196634818054757687e+00
1.910000000000000000e+05 2.956498000000000275e+02 3.642554400417374438e+00
1.920000000000000000e+05 2.929869999999999663e+02 3.333964186970220123e+00
1.930000000000000000e+05 2.954916000000000054e+02 2.032568483471091980e+00
1.940000000000000000e+05 2.947998000000000616e+02 7.544649494840646176e-01
1.950000000000000000e+05 2.938290000000000077e+02 1.704670408026149220e+00
1.960000000000000000e+05 2.954112000000000080e+02 3.959026516708368693e+00
1.970000000000000000e+05 2.939053999999999860e+02 3.860115987894654932e+00
1.980000000000000000e+05 2.940731999999999857e+02 3.541127187775094942e+00
1.990000000000000000e+05 2.940006000000000199e+02 4.120837322680910297e+00
2.000000000000000000e+05 2.933616000000000099e+02 4.368824766456070208e+00
2.010000000000000000e+05 2.923682000000000016e+02 3.873459766152206996e+00
2.020000000000000000e+05 2.929329999999999927e+02 2.028800630914716407e+00
2.030000000000000000e+05 2.933926000000000158e+02 2.394163453066648461e+00
2.040000000000000000e+05 2.931245999999999867e+02 1.750074466987048050e+00
2.050000000000000000e+05 2.924583999999999833e+02 2.456293353815862446e+00
2.060000000000000000e+05 2.940284000000000333e+02 1.974993529103336476e+00
2.070000000000000000e+05 2.935678000000000338e+02 3.367132928768933553e+00
2.080000000000000000e+05 2.939753999999999792e+02 5.860917730185266628e+00
2.090000000000000000e+05 2.941684000000000196e+02 2.980914396623950857e+00
2.100000000000000000e+05 2.946573999999999955e+02 4.799107983781975229e+00
2.110000000000000000e+05 2.959968000000000075e+02 3.032014999962894475e+00
2.120000000000000000e+05 2.940457999999999856e+02 3.681753679973711169e+00
2.130000000000000000e+05 2.958660000000000423e+02 3.106003541530485190e+00
2.140000000000000000e+05 2.966912000000000376e+02 2.925234787158129457e+00
2.150000000000000000e+05 2.945495999999999412e+02 1.997705143408299966e+00
2.160000000000000000e+05 2.928064000000000533e+02 3.178842908984331750e+00
2.170000000000000000e+05 2.949621999999999957e+02 2.376768343781102022e+00
2.180000000000000000e+05 2.950086000000000013e+02 1.980899452269086147e+00
2.190000000000000000e+05 2.941403999999999428e+02 2.638142346424850349e+00
2.200000000000000000e+05 2.935430000000000064e+02 3.187578704910666083e+00
2.210000000000000000e+05 2.921824000000000296e+02 4.482029700927926186e+00
2.220000000000000000e+05 2.931854000000000156e+02 3.700489891892693173e+00
2.230000000000000000e+05 2.921470000000000482e+02 3.218387484439996005e+00
2.240000000000000000e+05 2.943260000000000218e+02 1.925731757021219570e+00
2.250000000000000000e+05 2.950448000000000093e+02 1.248719888525855692e+00
2.260000000000000000e+05 2.921932000000000471e+02 4.464268423829372168e+00
2.270000000000000000e+05 2.950104000000000042e+02 2.556978185280430971e+00
2.280000000000000000e+05 2.960492000000000417e+02 2.239854227399626918e+00
2.290000000000000000e+05 2.944526000000000181e+02 2.707892213512186785e+00
2.300000000000000000e+05 2.931340000000000146e+02 4.076647397065387146e+00
2.310000000000000000e+05 2.921542000000000598e+02 4.374212267368834617e+00
2.320000000000000000e+05 2.937176000000000613e+02 5.407887373087572946e+00
2.330000000000000000e+05 2.942772000000000503e+02 2.844542803334131786e+00
2.340000000000000000e+05 2.940351999999999748e+02 1.989877121834421114e+00
2.350000000000000000e+05 2.934787999999999784e+02 4.510246795908178008e+00
2.360000000000000000e+05 2.923500000000000227e+02 3.009289550707945793e+00
2.370000000000000000e+05 2.933079999999999927e+02 3.670209421817771656e+00
2.380000000000000000e+05 2.941322000000000116e+02 3.253493654519703959e+00
2.390000000000000000e+05 2.926662000000000035e+02 4.243310707454746478e+00
2.400000000000000000e+05 2.949560000000000173e+02 2.509743971005810703e+00
2.410000000000000000e+05 2.954235999999999649e+02 2.563710326850518584e+00
2.420000000000000000e+05 2.952782000000000266e+02 3.933962246895623682e+00
2.430000000000000000e+05 2.955851999999999862e+02 5.132762780413678172e+00
2.440000000000000000e+05 2.968256000000000085e+02 3.166068893754538038e+00
2.450000000000000000e+05 2.968881999999999834e+02 4.247827133959190427e+00
2.460000000000000000e+05 2.941856000000000222e+02 4.045439338316661804e+00
2.470000000000000000e+05 2.947884000000000242e+02 4.998765471593971554e+00
2.480000000000000000e+05 2.935724000000000160e+02 4.151756620997912428e+00
2.490000000000000000e+05 2.933110000000000355e+02 3.455636439210586719e+00
2.500000000000000000e+05 2.937823999999999955e+02 2.609517089424782998e+00
2.510000000000000000e+05 2.926223999999999705e+02 4.188275473270588911e+00
2.520000000000000000e+05 2.916231999999999971e+02 3.369832660533749635e+00
2.530000000000000000e+05 2.936535999999999831e+02 4.724607437660820253e+00
2.540000000000000000e+05 2.912108000000000061e+02 5.050025520727596806e+00
2.550000000000000000e+05 2.912849999999999682e+02 2.420849437697442763e+00
2.560000000000000000e+05 2.938564000000000078e+02 2.808018846090595488e+00
2.570000000000000000e+05 2.911886000000000649e+02 3.887884339843461046e+00
2.580000000000000000e+05 2.925593999999999824e+02 3.784221906812538894e+00
2.590000000000000000e+05 2.923554000000000315e+02 2.012097373389262422e+00
2.600000000000000000e+05 2.922280000000000086e+02 3.216151302410997559e+00
2.610000000000000000e+05 2.932892000000000507e+02 2.623457215202860571e+00
2.620000000000000000e+05 2.931644000000000005e+02 1.323308973747251427e+00
2.630000000000000000e+05 2.933138000000000147e+02 2.225985300939784750e+00
2.640000000000000000e+05 2.921794000000000437e+02 4.938555602602862749e+00
2.650000000000000000e+05 2.932851999999999748e+02 3.139052239132067434e+00
2.660000000000000000e+05 2.918909999999999627e+02 3.262170075271976888e+00
2.670000000000000000e+05 2.924291999999999803e+02 3.078841041690867364e+00
2.680000000000000000e+05 2.919857999999999834e+02 1.528490680377224242e+00
2.690000000000000000e+05 2.925640000000000214e+02 1.971550658745540696e+00
2.700000000000000000e+05 2.919968000000000075e+02 1.313716011929511929e+00
2.710000000000000000e+05 2.924440000000000168e+02 2.612323869660881925e+00
2.720000000000000000e+05 2.945024000000000228e+02 1.796458137558463397e+00
2.730000000000000000e+05 2.938839999999999577e+02 1.797461320863404710e+00
2.740000000000000000e+05 2.946840000000000259e+02 2.350679050827665151e+00
2.750000000000000000e+05 2.941437999999999988e+02 1.923959396660965604e+00
2.760000000000000000e+05 2.930822000000000003e+02 2.893018174847839852e+00
2.770000000000000000e+05 2.945305999999999358e+02 2.818213377301308054e+00
2.780000000000000000e+05 2.946793999999999869e+02 2.724300614836764112e+00
2.790000000000000000e+05 2.931519999999999868e+02 3.375252346121697666e+00
2.800000000000000000e+05 2.918490000000000464e+02 2.991590546849618892e+00
2.810000000000000000e+05 2.922468000000000075e+02 2.521491812399953236e+00
2.820000000000000000e+05 2.927458000000000311e+02 2.729162904628447794e+00
2.830000000000000000e+05 2.909970000000000141e+02 2.855995728288123203e+00
2.840000000000000000e+05 2.944062000000000126e+02 3.617328096813996918e+00
2.850000000000000000e+05 2.915160000000000196e+02 2.065138542568025315e+00
2.860000000000000000e+05 2.917913999999999533e+02 3.114807384092940890e+00
2.870000000000000000e+05 2.904532000000000380e+02 3.720822887480674357e+00
2.880000000000000000e+05 2.935731999999999857e+02 1.889433290698569579e+00
2.890000000000000000e+05 2.919938000000000216e+02 2.694355240127032758e+00
2.900000000000000000e+05 2.908775999999999726e+02 2.694631299454516959e+00
2.910000000000000000e+05 2.917022000000000048e+02 3.574637402590650659e+00
2.920000000000000000e+05 2.913213999999999828e+02 2.287931082878143396e+00
2.930000000000000000e+05 2.917116000000000327e+02 2.153110085434559284e+00
2.940000000000000000e+05 2.937403999999999655e+02 3.602225900745261278e+00
2.950000000000000000e+05 2.924270000000000209e+02 3.199900685958865232e+00
2.960000000000000000e+05 2.919753999999999792e+02 2.591448753110878744e+00
2.970000000000000000e+05 2.925944000000000642e+02 5.003319322209995867e+00
2.980000000000000000e+05 2.919458000000000197e+02 1.342217478652403040e+00
