system,type,frame,time_ps,selected_resids,volume_A3
CRYO-1,CRYO,0,0.0,"555,368,373,551,674,600",1125.6189271554272
CRYO-1,CRYO,1,1000.0,"555,368,373,551,674,600",1125.302122813095
CRYO-1,CRYO,2,2000.0,"555,368,373,551,674,600",1091.973706604267
CRYO-1,CRYO,3,3000.0,"555,368,373,551,674,600",1121.1658788094924
CRYO-1,CRYO,4,4000.0,"555,368,373,551,674,600",1167.7933287144074
CRYO-1,CRYO,5,5000.0,"555,368,373,551,674,600",1162.7459499324011
CRYO-1,CRYO,6,6000.0,"555,368,373,551,674,600",1112.0878173938183
CRYO-1,CRYO,7,7000.0,"555,368,373,551,674,600",1220.1541939664114
CRYO-1,CRYO,8,8000.0,"555,368,373,551,674,600",1103.770167477694
CRYO-1,CRYO,9,9000.0,"555,368,373,551,674,600",1166.7432860309468
CRYO-1,CRYO,10,10000.0,"555,368,373,551,674,600",1248.1790248597554
CRYO-1,CRYO,11,11000.0,"555,368,373,551,674,600",1205.5734908091586
CRYO-1,CRYO,12,12000.0,"555,368,373,551,674,600",1180.3982355797027
CRYO-1,CRYO,13,13000.0,"555,368,373,551,674,600",1250.804681354158
CRYO-1,CRYO,14,14000.0,"555,368,373,551,674,600",1123.2399392267346
CRYO-1,CRYO,15,15000.0,"555,368,373,551,674,600",1246.262628051837
CRYO-1,CRYO,16,16000.0,"555,368,373,551,674,600",1132.6617570913209
CRYO-1,CRYO,17,17000.0,"555,368,373,551,674,600",1179.3270328712351
CRYO-1,CRYO,18,18000.0,"555,368,373,551,674,600",1188.2406919316645
CRYO-1,CRYO,19,19000.0,"555,368,373,551,674,600",1178.350131692505
CRYO-1,CRYO,20,20000.0,"555,368,373,551,674,600",1210.4776778559326
CRYO-1,CRYO,21,21000.0,"555,368,373,551,674,600",1184.5944186809797
CRYO-1,CRYO,22,22000.0,"555,368,373,551,674,600",1208.9166254936806
CRYO-1,CRYO,23,23000.0,"555,368,373,551,674,600",1150.8164371293071
CRYO-1,CRYO,24,24000.0,"555,368,373,551,674,600",1229.7885004861175
CRYO-1,CRYO,25,25000.0,"555,368,373,551,674,600",1205.4351517244331
CRYO-1,CRYO,26,26000.0,"555,368,373,551,674,600",1208.1578606414591
CRYO-1,CRYO,27,27000.0,"555,368,373,551,674,600",1249.270345252892
CRYO-1,CRYO,28,28000.0,"555,368,373,551,674,600",1259.874083192618
CRYO-1,CRYO,29,29000.0,"555,368,373,551,674,600",1212.5583036330631
CRYO-1,CRYO,30,30000.0,"555,368,373,551,674,600",1236.146698359769
CRYO-1,CRYO,31,31000.0,"555,368,373,551,674,600",1253.7490208122374
CRYO-1,CRYO,32,32000.0,"555,368,373,551,674,600",1264.3973015498468
CRYO-1,CRYO,33,33000.0,"555,368,373,551,674,600",1252.4588689061593
