system,type,mean,std,min,max
ATP+out-1,ATP,1208.0905241572084,159.2038153025961,778.575938458765,1654.2864182146423
ATP+out-2,ATP,1099.134389349611,144.20688980184477,761.0823802816097,1525.3675414080024
ATP+out-3,ATP,1097.7929925113308,178.5730312624263,649.3122501222207,1625.4189234131254
ATP+out-4,ATP,978.3999442744577,277.0016899368661,577.288134628586,1728.47877976801
ATP+-5,ATP,1191.0905031029981,120.81287354961538,824.0777682266047,1467.8660660853304
ATP+-1,ATP+,1149.2034660956592,179.7717246944134,684.5903238001954,1600.1893027973772
ATP+-2,ATP+,944.5670362567894,204.41933642542278,548.9903601375182,1444.9399793629618
ATP+-3,ATP+,1121.9787850022121,135.96555891367777,606.3171948247702,1650.980893607575
ATP+-4,ATP+,1020.1781988822108,299.673387120278,484.29582082533744,1800.0334833913441
ATP+-5,ATP+,1215.381154995379,145.21046414538583,889.7859759596586,1556.8938398605578
ATP--1,ATP-,693.7319211697506,73.70961020247354,448.1052123085882,929.1264455251556
ATP--2,ATP-,711.6843578446747,84.4527283681514,518.8282380877578,931.3267379250943
ATP--3,ATP-,874.0595667788465,102.33217841333689,511.1920961220424,1199.4334200840094
ATP--4,ATP-,718.1368105034626,67.80631207863823,514.2643155646643,940.5941404241762
ATP--5,ATP-,613.6173707675307,91.21150112934873,406.176547364248,934.824455849988
